communityID,province,province_eng,city,city_eng,urban_nbs,areatype,versionID
0101041,ÔÆÄÏÊ¡,Yunnan,±£É½ÊÐ,Baoshan,0,220,20151118
0101042,ÔÆÄÏÊ¡,Yunnan,±£É½ÊÐ,Baoshan,1,111,20151118
0101043,ÔÆÄÏÊ¡,Yunnan,±£É½ÊÐ,Baoshan,0,220,20151118
0102061,ÔÆÄÏÊ¡,Yunnan,³þÐÛÒÍ×å×ÔÖÎÖÝ,Chuxiong,0,220,20151118
0102062,ÔÆÄÏÊ¡,Yunnan,³þÐÛÒÍ×å×ÔÖÎÖÝ,Chuxiong,0,220,20151118
0102063,ÔÆÄÏÊ¡,Yunnan,³þÐÛÒÍ×å×ÔÖÎÖÝ,Chuxiong,0,220,20151118
0102331,ÔÆÄÏÊ¡,Yunnan,³þÐÛÒÍ×å×ÔÖÎÖÝ,Chuxiong,0,220,20151118
0102332,ÔÆÄÏÊ¡,Yunnan,³þÐÛÒÍ×å×ÔÖÎÖÝ,Chuxiong,0,220,20151118
0102333,ÔÆÄÏÊ¡,Yunnan,³þÐÛÒÍ×å×ÔÖÎÖÝ,Chuxiong,0,220,20151118
0104461,ÔÆÄÏÊ¡,Yunnan,ÕÑÍ¨ÊÐ,Zhaotong,1,121,20151118
0104462,ÔÆÄÏÊ¡,Yunnan,ÕÑÍ¨ÊÐ,Zhaotong,1,122,20151118
0104463,ÔÆÄÏÊ¡,Yunnan,ÕÑÍ¨ÊÐ,Zhaotong,0,220,20151118
0104511,ÔÆÄÏÊ¡,Yunnan,ÕÑÍ¨ÊÐ,Zhaotong,0,220,20151118
0104512,ÔÆÄÏÊ¡,Yunnan,ÕÑÍ¨ÊÐ,Zhaotong,0,220,20151118
0104513,ÔÆÄÏÊ¡,Yunnan,ÕÑÍ¨ÊÐ,Zhaotong,0,220,20151118
0140311,ÔÆÄÏÊ¡,Yunnan,À¥Ã÷ÊÐ,Kunming,1,111,20151118
0140312,ÔÆÄÏÊ¡,Yunnan,À¥Ã÷ÊÐ,Kunming,0,220,20151118
0140313,ÔÆÄÏÊ¡,Yunnan,À¥Ã÷ÊÐ,Kunming,1,111,20151118
0140511,ÔÆÄÏÊ¡,Yunnan,À¥Ã÷ÊÐ,Kunming,1,121,20151118
0140512,ÔÆÄÏÊ¡,Yunnan,À¥Ã÷ÊÐ,Kunming,1,123,20151118
0140513,ÔÆÄÏÊ¡,Yunnan,À¥Ã÷ÊÐ,Kunming,0,220,20151118
0146431,ÔÆÄÏÊ¡,Yunnan,ÁÙ²×ÊÐ,Lincang,1,122,20151118
0146432,ÔÆÄÏÊ¡,Yunnan,ÁÙ²×ÊÐ,Lincang,1,121,20151118
0146433,ÔÆÄÏÊ¡,Yunnan,ÁÙ²×ÊÐ,Lincang,0,220,20151118
0182061,ÔÆÄÏÊ¡,Yunnan,Àö½­ÊÐ,Lijiang,0,220,20151118
0182062,ÔÆÄÏÊ¡,Yunnan,Àö½­ÊÐ,Lijiang,1,122,20151118
0182063,ÔÆÄÏÊ¡,Yunnan,Àö½­ÊÐ,Lijiang,0,220,20151118
0304761,¸£½¨Ê¡,Fujian,ÕÄÖÝÊÐ,Zhangzhou,1,122,20151118
0304762,¸£½¨Ê¡,Fujian,ÕÄÖÝÊÐ,Zhangzhou,0,220,20151118
0304763,¸£½¨Ê¡,Fujian,ÕÄÖÝÊÐ,Zhangzhou,0,220,20151118
0311061,¸£½¨Ê¡,Fujian,ÆÎÌïÊÐ,Putian,0,220,20151118
0311062,¸£½¨Ê¡,Fujian,ÆÎÌïÊÐ,Putian,0,220,20151118
0311063,¸£½¨Ê¡,Fujian,ÆÎÌïÊÐ,Putian,0,220,20151118
0340431,¸£½¨Ê¡,Fujian,¸£ÖÝÊÐ,Fuzhou,0,220,20151118
0340432,¸£½¨Ê¡,Fujian,¸£ÖÝÊÐ,Fuzhou,1,122,20151118
0340433,¸£½¨Ê¡,Fujian,¸£ÖÝÊÐ,Fuzhou,0,210,20151118
0346761,¸£½¨Ê¡,Fujian,ÄþµÂÊÐ,Ningde,0,220,20151118
0346762,¸£½¨Ê¡,Fujian,ÄþµÂÊÐ,Ningde,0,210,20151118
0346763,¸£½¨Ê¡,Fujian,ÄþµÂÊÐ,Ningde,0,220,20151118
0467461,Çàº£Ê¡,Qinghai,º£¶«µØÇø,Haidong,0,220,20151118
0467462,Çàº£Ê¡,Qinghai,º£¶«µØÇø,Haidong,0,220,20151118
