ID,householdID,communityID,HHmemberID,childID,parentID,a002,a003_1,a003_2,a004,a005,a006,a006_1,a007,a008,a009,a010,a011,a012,a021,a022,a023,a024,a025,a013,a014,a015,a016,a017,a018,a019,versionID
01010410102,010104101,0101041,3,1,,1,1988,11,6,,7,,1,,1,,,1,1,1,,,,2,,5,1,10,1,1,20170920
01010410102,010104101,0101041,4,2,,2,1994,3,6,,7,,1,,1,,,1,1,1,,,,1,12,,1,8,1,1,20170920
01010410202,010104102,0101041,5,,,1,2004,12,,,9,,,,1,,,1,,,,,,1,1,,,,,,20170920
01010410202,010104102,0101041,6,,,2,2010,3,,,9,,,,1,,,1,,,,,,,,,,,,,20170920
01010410202,010104102,0101041,4,,,2,1983,11,1,,8,,,,1,,,1,,,,,,2,,4,2,,,,20170920
01010410202,010104102,0101041,3,1,,1,1978,7,1,,7,,1,,1,,,1,1,1,,,,2,,4,2,,,,20170920
01010410301,010104103,0101041,3,1,,1,1990,12,6,,7,,1,,1,,,1,1,1,,,,2,,7,1,10,1,2,20170920
01010410502,010104105,0101041,3,1,,1,1978,10,6,,7,,1,,1,,,1,1,1,,,,2,,4,1,8,1,2,20170920
01010410602,010104106,0101041,4,,,2,1968,9,1,,8,,,,1,,,1,,,,,,2,,4,2,,,,20170920
01010410602,010104106,0101041,5,,,2,1996,6,,,9,,,,1,,,1,,,,,,1,9,,,,,,20170920
01010410602,010104106,0101041,3,1,,1,1968,6,1,,7,,1,,1,,,1,1,1,,,,2,,5,1,4,1,3,20170920
01010410701,010104107,0101041,5,,,1,1976,12,1,,9,,,,1,,,1,,,,,,2,,4,1,2,1,4,20170920
01010410701,010104107,0101041,6,,,2,1982,10,1,,9,,,,1,,,1,,,,,,2,,4,2,,,,20170920
01010410701,010104107,0101041,3,1,,1,1956,10,1,,7,,1,,1,,,1,1,1,,,,2,,4,2,,,,20170920
01010410701,010104107,0101041,7,,,2,2004,8,,,9,,,,1,,,1,,,,,,1,1,,,,,,20170920
01010410701,010104107,0101041,8,,,1,2005,8,,,9,,,,1,,,1,,,,,,2,,,,,,,20170920
01010410701,010104107,0101041,4,,,2,1958,6,1,,8,,,,1,,,1,,,,,,2,,4,2,,,,20170920
01010410802,010104108,0101041,4,1,,1,1982,4,1,,7,,1,,1,,,1,1,1,,,,2,,4,1,8,1,1,20170920
01010410802,010104108,0101041,5,,,2,1987,1,1,,8,,,,1,,,1,,,,,,2,,4,1,8,1,1,20170920
01010410802,010104108,0101041,3,,,1,2007,5,,,9,,,,1,,,1,,,,,,,,,,,,,20170920
01010410901,010104109,0101041,3,1,,1,1991,1,1,,7,,1,,1,,,1,1,1,,,,2,,5,1,12,2,3,20170920
01010410901,010104109,0101041,5,2,,2,1995,6,6,,7,,1,,1,,,1,1,1,,,,2,,5,1,2,2,3,20170920
01010410901,010104109,0101041,4,,,2,1991,3,1,,8,,,,1,,,2,,,,,,2,,4,1,12,2,3,20170920
01010411002,010104110,0101041,3,1,,1,1978,9,1,,7,,1,,1,,,1,1,1,,,,2,,4,1,2,2,2,20170920
01010411002,010104110,0101041,5,,,2,2003,4,,,9,,,,1,,,1,,,,,,1,2,,,,,,20170920
01010411002,010104110,0101041,4,,,2,1979,6,1,,8,,3,,1,,,1,,,,,,2,,4,2,,,,20170920
01010411002,010104110,0101041,6,,,2,2011,4,,,9,,,,1,,,1,,,,,,,,,,,,,20170920
01010411101,010104111,0101041,2,1,,1,1980,10,1,,7,,,1,1,,,1,1,1,,,,2,,4,2,,,,20170920
01010411101,010104111,0101041,5,,,1,2011,0,,,9,,,,1,,,1,,,,,,,,,,,,,20170920
01010411101,010104111,0101041,3,,,2,1984,6,1,,8,,,,1,,,1,,,,,,2,,4,2,,,,20170920
01010411101,010104111,0101041,4,,,2,2005,11,,,9,,,,1,,,1,,,,,,2,,,,,,,20170920
01010411201,010104112,0101041,3,1,,2,1990,10,1,,7,,1,,1,,,1,1,1,,,,2,,5,1,2,1,1,20170920
01010411301,010104113,0101041,5,,,2,2011,5,,,9,,,,1,,,1,,,,,,,,,,,,,20170920
01010411301,010104113,0101041,6,,,2,2011,5,,,9,,,,1,,,1,,,,,,,,,,,,,20170920
01010411301,010104113,0101041,4,1,,2,1991,3,1,,7,,1,,1,,,1,1,1,,,,2,,4,1,2,1,4,20170920
01010411301,010104113,0101041,3,,,1,1987,5,1,,8,,,,1,,,1,,,,,,2,,5,1,7,1,4,20170920
01010411401,010104114,0101041,3,1,,1,1981,4,1,,7,,1,,1,,,1,1,1,,,,2,,4,2,,,,20170920
01010411401,010104114,0101041,4,,,2,1981,2,1,,8,,,,1,,,1,,,,,,2,,4,2,,,,20170920
01010411401,010104114,0101041,5,,,2,2005,10,,,9,,,,1,,,1,,,,,,2,,,,,,,20170920
01010411701,010104117,0101041,6,,,1,2006,12,,,9,,,,1,,,1,,,,,,,,,,,,,20170920
01010411701,010104117,0101041,5,,,2,1998,1,,,9,,,,1,,,1,,,,,,1,8,,,,,,20170920
01010411701,010104117,0101041,4,,,2,1977,12,1,,8,,,,1,,,1,,,,,,2,,2,2,,,,20170920
01010411701,010104117,0101041,3,1,,1,1976,4,1,,7,,1,,1,,,1,1,1,,,,2,,4,2,,,,20170920
01010411801,010104118,0101041,5,,2,2,1934,7,1,,1,,,,1,,,1,,,,,,2,,1,2,,,,20170920
01010411801,010104118,0101041,4,,1,1,1936,3,1,,2,,,,1,,,1,,,,,,2,,1,2,,,,20170920
01010411801,010104118,0101041,3,1,,1,1988,3,6,,7,,1,,1,,,1,1,1,,,,2,,5,1,2,2,2,20170920
01010411901,010104119,0101041,6,2,,1,1988,3,6,,7,,1,,1,,,1,1,1,,,,2,,4,1,11,2,4,20170920
01010411901,010104119,0101041,3,1,,1,1983,4,1,,7,,1,,1,,,1,1,1,,,,2,,5,1,11,2,4,20170920
