householdID,communityID,i001,i002,i003,i004,i005,i005_1,i006,i007,i008,i009,i010,i011,i012_1,i012_2,i012_3,i012_4,i012_5,i013,i014s1,i014s2,i015,i016,i017,i018,i019,i020,i021,i022,i023,i024,i025,i026
094004113,0940041,10,0,2,2,d,6,1,2,,,2,1,1,1,0,1,0,15,1,2,1,1,1,2,2,1,,2,1,1,4,2
094004103,0940041,30,0,2,2,1945,,1,2,,,2,1,1,1,0,1,0,21,1,2,1,1,1,2,2,1,,2,1,2,3,3
094004111,0940041,12,0,2,2,1990,,1,2,,,2,1,1,0,0,1,0,20,1,2,1,1,1,2,2,1,,4,1,1,2,3
094004105,0940041,15,0,2,2,1980,,1,2,,,2,1,1,1,0,1,0,10,1,2,1,1,1,3,2,1,,2,1,1,3,3
094004110,0940041,21,0,2,2,1940,,1,2,,,2,1,2,0,0,1,0,50,1,2,1,1,1,2,2,1,,2,1,1,4,3
094004115,0940041,14,0,2,2,1986,,1,2,,,2,1,1,0,0,0,0,70,1,e,1,1,1,3,2,1,,2,1,1,4,3
094004108,0940041,17,0,2,2,1945,,1,2,,,1,,1,1,0,1,0,15,1,2,1,1,1,2,2,1,,2,1,2,2,2
094004112,0940041,13,0,2,2,2009,,1,1,,,2,1,1,1,0,1,0,50,1,2,1,1,1,3,2,1,,2,1,2,3,3
094004106,0940041,16,0,2,2,2010,,1,2,,,2,1,1,0,0,1,0,20,1,2,1,1,1,3,2,1,,4,1,2,5,3
094004114,0940041,14,0,2,2,1900,,1,2,,,2,1,1,0,0,1,0,15,1,2,1,1,1,2,2,1,,4,1,1,2,3
094004118,0940041,20,0,2,2,1970,,1,2,,,1,,1,1,0,1,0,10,1,2,1,1,1,2,2,1,,2,1,1,3,4
094004101,0940041,25,0,2,2,1996,,1,1,,,2,1,1,0,0,1,0,500,1,2,1,1,1,2,1,1,,2,1,2,5,3
094004104,0940041,50,0,2,2,d,6,1,2,,,2,1,2,1,0,1,0,10,1,2,1,1,1,2,2,1,,4,2,2,2,3
094004120,0940041,30,0,2,2,1948,,1,1,,,2,1,3,1,0,1,0,7,1,2,1,1,1,2,2,1,,2,1,1,3,3
094004121,0940041,90,0,2,2,1900,,1,2,,,2,1,3,1,1,1,0,,e,2,1,1,1,2,2,1,,4,1,1,2,3
094004119,0940041,14,0,2,2,1985,,1,2,,,2,1,1,0,0,1,0,25,1,2,1,1,1,3,2,1,,5,1,2,3,3
094004122,0940041,22,0,2,2,d,6,1,2,,,2,1,1,1,0,1,0,100,1,2,1,1,1,2,2,1,,4,1,1,2,3
094004109,0940041,85,0,2,2,1900,,1,1,,,2,1,3,1,1,1,0,,1,e,1,1,1,2,2,1,,4,1,1,2,3
094004116,0940041,20,0,2,2,1990,,1,2,,,2,1,1,1,0,1,0,10,1,2,1,1,1,2,2,1,,4,1,1,3,3
094004117,0940041,16,0,2,2,1900,,1,2,,,2,1,1,0,0,1,0,40,1,2,1,1,1,2,2,1,,4,1,1,3,3
094004107,0940041,60,0,2,2,1900,,1,2,,,2,1,2,1,0,1,0,20,1,2,1,1,1,2,2,1,,4,1,2,3,4
094004102,0940041,60,0,2,2,1900,,1,2,,,2,1,2,1,0,1,0,20,1,2,1,1,1,2,1,1,,4,1,2,3,4
094004310,0940043,60,0,2,1,1990,,2,,2,2,2,2,2,1,1,1,1,,e,2,1,1,1,2,1,2,3,2,1,2,4,3
094004301,0940043,76,0,2,1,1990,,2,,3,2,2,4,3,1,1,1,1,,1,e,1,1,1,2,1,1,,2,1,1,2,3
094004302,0940043,68,0,2,1,1990,,2,,2,2,2,3,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,2,3
094004308,0940043,80,0,2,1,1996,,2,,6,2,2,4,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,3,3
094004305,0940043,70,0,2,1,1995,,2,,4,2,2,4,3,1,1,1,1,,e,2,1,1,1,1,1,1,,2,1,1,4,4
094004303,0940043,180,0,2,1,1995,,2,,1,,2,2,6,2,2,2,4,,e,2,1,1,1,2,1,1,,2,1,1,2,3
094004307,0940043,185,0,2,1,1995,,2,,5,2,2,4,6,2,2,2,2,,e,2,1,1,1,2,1,1,,2,1,1,3,3
094004304,0940043,80,80,2,1,1996,,2,,5,2,2,4,2,2,1,1,1,,e,2,1,1,1,2,1,1,,5,1,1,3,3
094004306,0940043,70,0,2,1,2000,,2,,4,2,2,4,3,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,3,3
094004309,0940043,70,0,2,3,1979,,2,,1,,2,1,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,3,3
094004219,0940042,60,0,2,1,1983,,2,,2,1,1,,2,1,1,1,1,,e,2,2,1,1,2,1,1,,2,1,1,1,3
094004220,0940042,54,0,2,1,1990,,2,,11,1,1,,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,1,3
094004210,0940042,48,0,2,1,1981,,2,,8,1,1,,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,1,3
094004215,0940042,75,0,2,1,1984,,2,,10,1,1,,3,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,2,4,4
094004205,0940042,65,0,2,1,1989,,2,,3,1,1,,3,1,1,1,1,,e,2,2,1,1,2,1,1,,2,1,2,2,3
094004217,0940042,70,0,2,1,1985,,2,,1,,2,1,3,1,1,1,1,,1,e,1,1,1,2,1,1,,2,1,2,3,3
094004201,0940042,47,0,2,1,1996,,2,,3,2,2,4,1,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,4,3
094004207,0940042,30,0,2,1,2001,,2,,2,1,2,4,1,1,1,1,1,,e,2,1,1,1,1,1,1,,2,1,2,2,3
094004209,0940042,80,0,2,1,1999,,2,,12,1,1,,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,1,5,2
094004213,0940042,140,0,2,1,2006,,2,,2,1,2,4,3,2,2,1,1,,e,2,1,1,1,1,1,1,,2,1,1,1,4
094004208,0940042,72,0,2,2,1988,,2,,5,2,2,4,3,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,2,1,3
094004218,0940042,76,0,2,2,1982,,2,,5,2,2,4,3,0,1,1,1,,e,2,2,1,1,2,1,1,,2,1,1,3,3
094004214,0940042,52,0,2,1,1985,,2,,2,2,2,2,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,1,3
094004216,0940042,60,0,2,1,1996,,2,,2,1,1,,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,2,3
094004204,0940042,80,0,2,1,1996,,2,,2,1,1,,3,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,2,3
094004212,0940042,60,0,2,1,1996,,2,,4,1,1,,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,2,3
094004211,0940042,47,0,2,1,1996,1,2,,8,1,1,,1,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,2,3
094004222,0940042,47,0,2,1,1996,,2,,11,1,1,,1,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,1,3
094004206,0940042,80,0,2,1,1996,,2,,7,1,1,,3,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,2,1,3
094004221,0940042,87,0,2,1,1995,,2,,12,1,1,,3,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,5,3
094004203,0940042,50,0,2,2,d,d,2,,2,1,1,,1,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,2,5,2
094004202,0940042,54,0,2,1,1978,,2,,1,,2,1,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,2,3
194037216,1940372,100,90,1,3,2002,,2,,1,,1,,2,1,1,1,2,,e,2,1,1,1,2,1,1,,2,1,2,4,3
194037210,1940372,70,80,2,1,1981,,2,,3,2,1,,2,2,1,1,1,,e,2,1,1,1,2,1,1,,2,2,2,1,3
194037217,1940372,80,80,2,2,1983,,2,,4,2,2,4,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,3,3
194037205,1940372,99,87,2,3,2002,,2,,1,,1,,2,2,1,1,2,,e,2,1,1,1,2,1,1,,2,1,2,1,3
194037203,1940372,105,120,2,1,2003,,2,,3,2,2,4,3,1,1,1,1,,e,2,1,1,1,1,1,1,,2,1,2,1,3
194037213,1940372,120,150,2,1,1997,,2,,1,,1,,4,2,1,1,2,,e,2,1,1,1,1,1,1,,2,1,2,1,3
194037208,1940372,105,105,2,2,1993,,2,,2,2,2,3,3,2,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,2,3
194037215,1940372,92,101,2,3,1996,,2,,3,2,2,3,3,1,1,1,2,,e,2,1,1,1,2,1,1,,2,1,1,1,3
194037201,1940372,100,100,2,2,1993,,2,,4,2,2,4,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,2,3,3
194037219,1940372,107,107,2,2,1997,,2,,1,,2,1,3,2,1,1,1,,e,2,1,1,1,2,1,1,,2,2,1,2,3
194037209,1940372,82,100,2,3,1996,,2,,4,2,2,4,3,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,2,3,3
194037214,1940372,85,85,2,3,1996,,2,,4,2,2,4,2,2,1,1,2,,e,2,1,1,1,2,1,1,,2,1,1,1,3
194037202,1940372,84,84,2,2,d,4,2,,5,2,2,4,2,2,1,1,1,,e,2,1,1,1,2,1,1,,2,2,2,2,3
194037206,1940372,100,100,2,3,1997,,2,,6,2,2,4,3,1,1,1,2,,e,2,1,1,1,2,1,1,,2,1,1,1,3
194037207,1940372,90,90,2,2,1993,,2,,2,2,2,3,2,2,1,1,1,,e,2,1,1,1,2,1,1,,2,2,2,3,3
194037218,1940372,54,54,2,2,1989,,2,,3,2,2,4,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,2,2,3
194037204,1940372,52,52,2,2,1993,,2,,1,,2,1,1,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,1,3,3
194037211,1940372,50,70,2,1,1980,,2,,2,2,2,3,2,0,1,1,1,,e,2,1,1,1,2,1,1,,2,2,2,2,3
194037212,1940372,90,90,2,2,1983,,2,,3,2,2,4,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,1,2,3
194037333,1940373,35,60,2,2,1980,,1,1,,,2,1,2,1,0,1,0,10,1,e,2,2,2,3,2,1,2,4,2,2,3,3
194037301,1940373,70,96,2,3,1996,,2,,1,,2,1,3,1,1,1,2,,e,2,1,1,1,2,2,1,,4,2,2,2,3
194037320,1940373,60,90,2,2,1975,,1,1,,,2,1,6,0,0,0,0,40,1,e,2,2,2,3,2,2,2,4,2,2,2,3
194037315,1940373,80,120,2,2,1990,,1,2,,,1,,2,1,0,1,0,50,1,e,2,1,1,3,2,2,2,4,2,2,4,3
194037311,1940373,95,95,2,2,1995,,2,,2,2,2,3,3,1,1,1,1,,e,2,1,1,1,2,2,1,,4,2,2,3,3
194037310,1940373,90,90,2,2,1993,,1,1,,,2,1,3,1,0,1,0,20,1,e,2,2,2,2,2,2,2,4,1,1,2,3
194037329,1940373,70,96,2,3,1996,,2,,1,,2,1,3,1,1,1,2,,e,2,1,1,1,2,2,1,,4,2,1,1,3
194037316,1940373,98,98,2,2,1994,,2,,1,,2,1,2,2,1,1,1,,e,2,1,1,1,2,2,1,,4,2,2,2,4
194037314,1940373,70,96,2,3,1996,,2,,4,2,2,4,3,1,1,1,2,,e,2,1,1,1,2,2,1,,2,1,1,1,3
194037323,1940373,70,96,2,2,1996,,2,,5,2,2,4,3,1,1,1,2,,e,2,1,1,1,3,2,1,,4,1,2,1,3
194037321,1940373,90,90,2,2,1993,,2,,1,,2,1,3,1,1,1,1,,e,2,1,1,1,2,2,1,,5,2,2,2,3
194037319,1940373,100,120,2,1,2008,,2,,3,2,2,4,3,1,1,1,1,,e,2,1,1,1,1,1,1,,2,1,1,1,3
194037306,1940373,95,95,2,2,1993,,2,,1,,2,1,3,1,1,1,1,,e,2,1,1,1,2,2,1,,4,1,1,2,2
194037325,1940373,93,100,2,1,1993,,2,,2,2,1,,3,1,1,1,2,,e,2,1,1,1,2,1,1,,4,1,1,1,3
194037308,1940373,85,85,2,2,1993,,2,,2,2,2,3,2,1,1,1,1,,e,2,1,1,1,2,2,1,,4,2,2,2,3
