ID,householdID,communityID,parentID,HHmemberID,ca001,ca003,ca004,ca005,ca006,ca007,ca008_1,ca008_2,ca009,ca010,ca011,ca012,ca013,ca014,ca015_1,ca015_2,ca016,ca017,ca018,ca019,ca020,ca021,ca022,ca022_a,a002,a003_1,a003_2,a004,a005,a006,a009,a010,a011,a012,a013,a014,a015,a016,a017,a018,a019,versionID
01010410102,010104101,0101041,1,,1,1,1,2,12,1935,,,1,1,,2,2,5,,,2,,1,,1,2,,,,,,,,,,,,,,,,,,,,20170920
01010410102,010104101,0101041,4,,1,1,1,2,1,1935,,,1,1,,2,2,5,,,2,,1,,1,2,,,,,,,,,,,,,,,,,,,,20170920
01010410102,010104101,0101041,2,,1,1,1,2,8,1930,,,1,1,,2,4,5,,,2,,1,,1,2,,,,,,,,,,,,,,,,,,,,20170920
01010410102,010104101,0101041,3,,1,1,1,2,3,1937,,,4,1,,2,2,5,,,2,,1,,1,2,,,,,,,,,,,,,,,,,,,,20170920
01010410202,010104102,0101041,2,,2,1,,,,1927,,82,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410202,010104102,0101041,1,,2,1,,,,9999,,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410202,010104102,0101041,4,,1,1,1,2,,9999,,,1,5,,2,2,5,,,2,,1,,1,2,,,,,,,,,,,,,,,,,,,,20170920
01010410202,010104102,0101041,3,,2,1,,,,9999,,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410301,010104103,0101041,1,,2,1,,,,1929,2001,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410301,010104103,0101041,2,,2,1,,,,1940,1993,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410301,010104103,0101041,4,,1,1,1,2,3,1939,,,1,5,2,1,4,5,100,,2,,1,,1,2,,,,,,,,,,,,,,,,,,,,20170920
01010410301,010104103,0101041,3,,2,1,,,,1934,2005,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410401,010104104,0101041,2,,2,1,,,,1919,,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410401,010104104,0101041,3,,2,1,,,,1925,,87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410401,010104104,0101041,1,,2,1,,,,1916,,84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410401,010104104,0101041,4,,1,1,1,2,2,1925,,,1,5,2,2,3,5,,,4,4,1,,1,2,,,,,,,,,,,,,,,,,,,,20170920
01010410502,010104105,0101041,2,,2,1,,,,1922,1999,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410502,010104105,0101041,1,,2,1,,,,1919,1982,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410502,010104105,0101041,4,,2,1,,,,1926,1980,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410502,010104105,0101041,3,,2,1,2,2,12,1910,1978,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410602,010104106,0101041,1,,2,1,,,,1900,1973,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410602,010104106,0101041,3,,2,1,,,,1900,1975,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410602,010104106,0101041,4,,2,1,,,,1900,1978,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410602,010104106,0101041,2,,2,1,,,,1900,1960,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410701,010104107,0101041,1,,2,1,,,,1895,1962,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410701,010104107,0101041,3,,2,1,,,,1894,,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410701,010104107,0101041,2,,2,1,,,,1898,1957,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410701,010104107,0101041,4,,2,1,,,,1897,,68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
01010410802,010104108,0101041,3,,1,1,1,2,9,1932,,,1,1,,2,4,5,,,2,,1,,1,2,,,,,,,,,,,,,,,,,,,,20170920
01010410802,010104108,0101041,2,,2,1,,,,1924,,83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170920
