ID,householdID,communityID,j001s1,j001s2,j001s3,j001s4,j001s5,j001s6,j002,j003,j004s1,j004s2,j004s3,j005,j006,j007
09400411301,094004113,0940041,e,2,e,e,5,e,,3,e,e,3,5,3,1
09400411302,094004113,0940041,e,2,e,e,5,e,,5,e,e,3,3,4,3
09400410301,094004103,0940041,1,e,e,e,e,e,,5,e,2,e,3,4,3
09400411102,094004111,0940041,e,2,e,e,e,e,2,4,2612760430768,2612000134512,2612000134512,4,3,3
09400411101,094004111,0940041,1,e,e,e,e,e,,2,2612760430960,2612000134512,2612000134512,3,5,3
09400410501,094004105,0940041,1,e,e,e,e,e,,2,2612760431152,2612000134512,2612000134512,4,4,3
09400410502,094004105,0940041,1,e,e,e,e,e,,2,2612760431344,2612000134512,2612000134512,3,4,3
09400411001,094004110,0940041,1,e,e,e,e,e,,2,2612760431536,2612000134512,2612000134512,3,5,3
09400411002,094004110,0940041,1,e,e,e,e,e,,3,2612760431728,2612000134512,2612000134512,4,5,2
09400411501,094004115,0940041,e,2,e,e,5,e,,2,2612760431920,2612000134512,2612000134512,3,4,3
09400411502,094004115,0940041,e,2,e,4,e,e,,6,2612760432112,2612000134512,2612000134512,2,5,3
09400410801,094004108,0940041,1,e,e,e,e,e,,2,2612760432432,2612000134512,2612000134512,5,4,3
09400411201,094004112,0940041,e,2,e,e,e,e,3,2,2612760432880,2612000134512,2612734020592,3,4,1
09400411202,094004112,0940041,e,2,e,e,e,e,2,2,2612760433072,2612000134512,2612000134512,4,4,3
09400410601,094004106,0940041,1,e,e,e,e,e,,2,2612760433264,2612000134512,2612000134512,4,4,2
09400411401,094004114,0940041,1,e,e,e,e,e,,2,2612760433456,2612000134512,2612000134512,3,4,3
09400411801,094004118,0940041,e,2,e,e,e,e,3,2,2612760433648,2612000134512,2612000134512,2,4,3
09400411802,094004118,0940041,e,2,e,e,e,e,3,2,2612760433840,2612000134512,2612000134512,2,4,3
09400410101,094004101,0940041,e,2,e,e,e,e,2,5,e,2,e,3,4,3
09400410102,094004101,0940041,e,2,e,e,e,e,3,5,e,2,e,3,4,3
09400410402,094004104,0940041,e,2,e,e,e,e,3,1,2612760434416,2612000134512,2612000134512,2,6,3
09400410401,094004104,0940041,e,2,e,e,e,e,3,1,2612760434608,2612000134512,2612000134512,3,5,3
09400412001,094004120,0940041,e,2,e,e,e,e,3,2,2612760434800,2612000134512,2612000134512,2,6,3
09400412002,094004120,0940041,e,2,e,e,e,e,3,2,2612760434992,2612000134512,2612000134512,1,6,3
09400412101,094004121,0940041,e,e,e,4,e,e,3,1,2612760435184,2612000134512,2612000134512,2,5,3
09400412102,094004121,0940041,e,e,e,4,e,e,3,1,2612760435504,2612000134512,2612000134512,4,4,3
09400411902,094004119,0940041,e,2,e,e,e,e,3,1,2612760432624,2612000134512,2612000134512,2,6,3
