ID,householdID,communityID,i001,i002,i003,i004,i005,i005_1,i006,i007,i008,i009,i010,i011,i012_1,i012_2,i012_3,i012_4,i012_5,i013,i014s1,i014s2,i015,i016,i017,i018,i019,i020,i021,i022,i023,i024,i025,i026,versionID
010104101002,0101041010,0101041,200,215.0,2,9,1995,,1,1,,,2,1,3,1,1,1,0,,1,,2,1,2,3,2,2,6,6,2,2,3,3,20151118
010104102002,0101041020,0101041,300,180.0,2,2,1998,,1,1,,,2,1,5,1,1,1,1,,1,,2,1,1,3,2,2,6,6,2,2,2,3,20151118
010104103001,0101041030,0101041,160,160.0,2,2,,1,1,1,,,1,,2,1,1,1,0,,1,,2,1,1,3,2,2,6,5,1,2,4,3,20151118
010104104001,0101041040,0101041,200,300.0,2,2,1989,,1,1,,,2,1,4,1,1,1,0,,1,,2,1,1,3,2,2,6,6,2,2,3,3,20151118
010104105002,0101041050,0101041,60,900.0,1,2,1963,,1,1,,,2,1,4,1,1,1,0,,1,,2,1,1,3,2,2,6,6,2,2,4,3,20151118
010104106001,0101041060,0101041,220,220.0,2,9,1976,,1,1,,,1,,3,1,1,0,0,,1,,2,1,1,3,2,2,6,6,2,2,3,3,20151118
010104107001,0101041070,0101041,200,666.0,1,2,1970,,1,1,,,2,1,3,1,1,1,0,,1,,1,1,1,2,2,2,7,3,2,2,3,3,20151118
010104108002,0101041080,0101041,190,260.0,2,2,1981,,1,1,,,2,2,2,1,1,1,0,,1,,2,1,2,3,2,2,6,6,2,2,5,3,20151118
010104109001,0101041090,0101041,200,250.0,1,1,1994,,1,1,,,2,1,3,1,1,1,0,,1,,1,1,1,3,2,2,7,3,2,1,2,3,20151118
010104110002,0101041100,0101041,200,666.0,2,9,1990,,1,1,,,2,1,2,1,1,1,0,,1,,1,1,1,2,2,2,6,3,2,2,3,3,20151118
010104111001,0101041110,0101041,100,333.0,2,2,1992,,1,1,,,2,1,3,1,1,1,0,,1,,2,1,1,3,2,2,6,3,2,2,3,3,20151118
010104112001,0101041120,0101041,666,666.0,1,2,1965,,1,1,,,2,1,1,1,1,1,0,,1,,1,1,1,3,2,2,7,5,2,2,3,3,20151118
010104113001,0101041130,0101041,200,300.0,2,2,1991,,1,1,,,2,1,2,1,1,1,0,,1,,2,1,1,3,2,2,6,6,2,2,4,3,20151118
010104114002,0101041140,0101041,240,333.0,2,9,1997,,1,1,,,2,1,2,1,1,1,0,,1,,2,1,1,2,2,2,6,6,2,2,4,4,20151118
010104115001,0101041150,0101041,333,666.0,2,2,,3,1,1,,,2,1,2,1,1,1,0,,1,,2,1,1,3,2,2,6,6,2,2,4,3,20151118
010104116001,0101041160,0101041,200,200.0,1,2,1900,,1,1,,,2,1,2,1,1,1,0,,1,,2,1,1,3,2,2,7,6,2,2,3,3,20151118
010104117002,0101041170,0101041,200,,2,2,1983,,1,1,,,2,1,3,0,1,1,1,,1,,2,1,1,3,2,2,6,6,2,2,3,3,20151118
010104118001,0101041180,0101041,333,666.0,2,9,1928,,1,1,1,,2,1,3,1,1,1,0,,1,,2,1,1,3,2,2,6,6,2,2,2,3,20151118
010104119001,0101041190,0101041,240,333.0,2,2,1989,,1,1,,,2,1,6,1,1,1,0,,1,,2,1,1,3,2,2,6,6,2,2,3,3,20151118
010104120002,0101041200,0101041,333,333.0,2,9,2004,,1,1,,,2,1,3,1,1,1,0,,1,,2,1,2,2,2,2,6,6,2,2,3,3,20151118
010104121001,0101041210,0101041,200,200.0,2,2,1997,,1,1,,,2,1,4,1,1,1,0,,1,,2,1,1,3,2,2,6,3,2,2,2,2,20151118
010104122002,0101041220,0101041,133,133.0,2,9,1988,,1,1,,,2,1,2,1,1,1,0,,1,,2,1,1,3,2,2,6,6,2,2,3,4,20151118
010104123001,0101041230,0101041,100,,2,2,1989,,1,1,,,2,1,2,1,1,1,0,,1,,2,1,1,3,2,2,6,6,2,2,2,3,20151118
010104124001,0101041240,0101041,377,377.0,2,9,1988,,1,1,,,2,1,5,1,1,1,0,,1,,2,1,1,2,2,2,6,6,2,2,3,3,20151118
010104125002,0101041250,0101041,150,200.0,2,9,1985,,1,1,,,2,1,3,1,1,1,0,,1,,2,1,2,3,2,2,6,6,2,2,5,4,20151118
010104126001,0101041260,0101041,180,666.0,2,2,2002,,1,1,,,2,1,2,1,1,1,0,,1,,1,1,1,2,2,2,6,6,2,2,4,3,20151118
010104127002,0101041270,0101041,180,300.0,2,9,1989,,1,1,,,2,1,1,1,1,1,0,,1,,2,1,1,3,2,2,6,6,2,2,5,4,20151118
010104128002,0101041280,0101041,600,600.0,2,2,1960,,1,1,,,2,1,6,1,1,1,0,,1,,2,1,1,2,2,2,6,6,2,2,2,3,20151118
010104129002,0101041290,0101041,100,666.0,2,9,1980,,1,1,,,2,1,6,1,1,1,0,,1,,2,1,1,3,2,2,6,6,2,2,4,3,20151118
010104130001,0101041300,0101041,130,660.0,2,9,2003,,1,1,,,1,,2,1,1,1,0,,1,,2,1,1,2,2,2,6,6,2,2,4,3,20151118
010104201002,0101042010,0101042,60,0.0,2,3,,4,2,,1,,2,1,2,1,1,1,1,,,2,1,1,1,2,2,2,5,5,1,1,4,3,20151118
010104203001,0101042030,0101042,70,,2,9,,5,1,1,,,2,1,,,,,,10,1,,2,1,1,3,2,2,5,5,2,2,4,3,20151118
010104204001,0101042040,0101042,60,60.0,2,1,,3,2,,4,2,2,4,2,1,1,1,1,,1,,1,1,1,2,2,2,5,5,2,1,2,5,20151118
010104205002,0101042050,0101042,67,0.0,2,1,1989,,2,,5,2,2,4,2,1,1,1,1,,1,,1,1,1,2,2,2,5,5,2,1,2,2,20151118
010104206002,0101042060,0101042,110,0.0,2,2,1996,,1,1,,,2,1,6,0,1,1,1,,1,,1,1,1,2,2,2,6,6,2,2,3,3,20151118
010104207001,0101042070,0101042,600,150.0,2,2,2004,,2,,2,2,2,1,10,1,4,1,0,,1,,1,1,1,2,2,2,6,6,1,1,3,3,20151118
010104208001,0101042080,0101042,100,0.0,1,2,,,1,1,,,2,2,2,0,1,1,1,,1,,1,1,1,3,2,2,,5,2,2,3,3,20151118
010104209001,0101042090,0101042,,90.0,2,2,,,2,,2,2,2,1,8,0,1,1,0,,,2,1,1,1,2,2,2,5,5,2,1,3,3,20151118
010104210001,0101042100,0101042,150,75.0,2,2,2000,,1,1,,,1,,5,1,1,1,0,,1,,1,1,1,2,2,2,5,5,1,1,3,3,20151118
010104212001,0101042120,0101042,130,150.0,1,9,,2,1,2,,,2,1,2,1,0,1,0,3,1,,1,1,1,2,2,2,6,6,2,1,4,3,20151118
010104217002,0101042170,0101042,33,11.0,2,1,1973,,2,,3,2,2,4,1,1,0,0,0,5,1,,2,1,1,2,2,2,5,5,1,1,3,3,20151118
010104218002,0101042180,0101042,79,0.0,2,2,,4,2,,2,2,2,2,2,1,1,1,1,,1,,1,1,1,2,2,2,7,5,2,2,2,3,20151118
010104219001,0101042190,0101042,200,,1,1,1998,,1,1,,,2,1,2,1,1,1,0,,1,2,1,1,1,2,2,2,5,5,1,1,3,3,20151118
010104221001,0101042210,0101042,,,1,1,1998,,1,1,,,2,1,2,1,1,1,1,,1,,1,1,1,2,2,2,7,5,1,1,3,3,20151118
010104222002,0101042220,0101042,70,90.0,2,2,1980,,1,2,,,2,1,4,1,1,1,0,,1,,1,1,1,2,2,2,1,5,2,2,2,3,20151118
010104224001,0101042240,0101042,50,0.0,2,3,1988,,2,,5,2,2,4,2,1,1,1,1,,1,,1,1,1,2,2,2,,5,2,2,1,3,20151118
010104225001,0101042250,0101042,100,0.0,2,2,2001,,2,,2,2,2,1,5,1,1,1,0,,1,2,2,1,1,2,2,2,7,5,1,1,3,3,20151118
010104226002,0101042260,0101042,120,90.0,2,10,1989,,1,1,,,1,1,3,1,1,1,0,,1,,2,1,2,2,2,2,6,6,1,2,3,3,20151118
010104227001,0101042270,0101042,160,200.0,2,3,1995,,2,,1,,2,1,7,0,1,1,0,,1,,1,1,1,2,2,2,7,5,2,2,4,3,20151118
010104228002,0101042280,0101042,59,0.0,2,2,1994,,2,,1,,2,1,3,1,1,1,0,,1,,1,1,1,2,2,2,5,5,1,1,3,3,20151118
010104229002,0101042290,0101042,9,0.0,2,2,1992,,2,,1,,2,1,0,0,0,1,0,200,1,,1,1,1,3,2,2,5,5,2,2,5,4,20151118
010104230001,0101042300,0101042,45,0.0,2,1,1990,,1,1,,,2,1,1,1,1,1,0,,1,,2,1,1,3,2,2,5,5,2,2,3,3,20151118
010104231001,0101042310,0101042,67,0.0,2,1,1988,,2,,2,2,2,3,2,1,1,1,1,,1,,1,1,1,2,2,2,7,5,1,1,3,3,20151118
010104233001,0101042330,0101042,105,0.0,2,1,1996,,2,,5,2,2,3,3,2,1,1,1,,1,,1,1,1,2,2,2,7,5,1,2,1,3,20151118
010104234002,0101042340,0101042,128,0.0,2,1,2003,,2,,3,2,2,4,3,2,1,1,1,,1,,2,2,1,2,2,2,1,5,2,1,2,3,20151118
010104301001,0101043010,0101043,180,300.0,2,9,2000,,1,1,,,2,1,3,1,1,1,0,,1,,2,1,1,2,2,2,6,6,2,2,4,4,20151118
010104302001,0101043020,0101043,180,180.0,2,2,1993,,1,1,,,1,,5,1,1,0,0,,1,,2,1,1,3,2,2,6,3,2,2,3,4,20151118
010104303001,0101043030,0101043,160,50.0,1,2,1995,,1,1,,,2,1,4,1,1,1,0,,1,,1,1,1,2,2,2,6,3,2,2,3,3,20151118
