ID,householdID,communityID,HHmemberID,za006,a006,za002,a002,za003_1,a003_1,a003_2,a004,a009,a013,a014,a015,versionID
010104102002,0101041020,0101041,4,8,8,2,,1983,,,1,1,2,,4,20151118
010104102002,0101041020,0101041,5,9,9,1,,2004,,,6,1,1,2,,20151118
010104102002,0101041020,0101041,6,9,9,2,,2010,,,6,1,,,,20151118
010104106001,0101041060,0101041,4,8,8,2,,1968,,,1,1,2,,3,20151118
010104106001,0101041060,0101041,5,9,9,2,,1996,,,6,1,1,14,,20151118
010104106001,0101041060,0101041,6,,9,,2,,1991,11,6,1,2,,8,20151118
010104107001,0101041070,0101041,4,8,8,2,,1958,,,1,1,2,,1,20151118
010104107001,0101041070,0101041,5,9,9,1,,1976,,,1,1,2,,2,20151118
010104107001,0101041070,0101041,6,9,9,2,,1982,,,1,1,2,,5,20151118
010104107001,0101041070,0101041,7,9,12,2,,2004,,,6,1,1,3,,20151118
010104107001,0101041070,0101041,8,9,12,1,,2005,,,6,1,1,1,,20151118
010104108002,0101041080,0101041,3,9,9,1,,2007,,,6,1,,,,20151118
010104108002,0101041080,0101041,5,8,8,2,,1987,,,3,1,2,,4,20151118
010104110002,0101041100,0101041,4,8,8,2,,1979,,,1,1,2,,4,20151118
010104110002,0101041100,0101041,5,9,9,2,,2003,,,6,1,1,5,,20151118
010104110002,0101041100,0101041,6,9,9,2,,2011,,,6,1,,,,20151118
010104111001,0101041110,0101041,3,8,8,2,,1984,,,1,1,2,,1,20151118
010104111001,0101041110,0101041,4,9,9,2,,2005,,,6,1,1,1,,20151118
010104111001,0101041110,0101041,5,9,9,1,,2011,,,6,1,,,,20151118
010104112001,0101041120,0101041,4,,9,,2,,2011,11,6,1,,,,20151118
010104113001,0101041130,0101041,3,8,7,1,,1987,,,1,1,2,,5,20151118
010104113001,0101041130,0101041,5,9,9,2,,2011,,,6,1,,,,20151118
010104114002,0101041140,0101041,4,8,8,2,,1981,,,1,1,2,,4,20151118
010104114002,0101041140,0101041,5,9,9,2,,2005,,,6,1,1,1,,20151118
010104115001,0101041150,0101041,5,,7,,1,,1995,9,6,1,2,,5,20151118
010104117002,0101041170,0101041,4,8,8,2,,1977,,,1,1,2,,1,20151118
010104117002,0101041170,0101041,6,9,9,1,,2006,,,6,1,2,,,20151118
