communityID,province,city,urban_nbs,areatype,versionID
0101041,ÔÆÄÏÊ¡,±£É½ÊÐ,0,220,20151118
0101042,ÔÆÄÏÊ¡,±£É½ÊÐ,1,111,20151118
0101043,ÔÆÄÏÊ¡,±£É½ÊÐ,0,220,20151118
0102061,ÔÆÄÏÊ¡,³þÐÛÒÍ×å×ÔÖÎÖÝ,0,220,20151118
0102062,ÔÆÄÏÊ¡,³þÐÛÒÍ×å×ÔÖÎÖÝ,0,220,20151118
0102063,ÔÆÄÏÊ¡,³þÐÛÒÍ×å×ÔÖÎÖÝ,0,220,20151118
0102331,ÔÆÄÏÊ¡,³þÐÛÒÍ×å×ÔÖÎÖÝ,0,220,20151118
0102332,ÔÆÄÏÊ¡,³þÐÛÒÍ×å×ÔÖÎÖÝ,0,220,20151118
0102333,ÔÆÄÏÊ¡,³þÐÛÒÍ×å×ÔÖÎÖÝ,0,220,20151118
0104461,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,1,121,20151118
0104462,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,1,122,20151118
0104463,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,0,220,20151118
0104511,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,0,220,20151118
0104512,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,0,220,20151118
0104513,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,0,220,20151118
0140311,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,1,111,20151118
0140312,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,0,220,20151118
0140313,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,1,111,20151118
0140511,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,1,121,20151118
0140512,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,1,123,20151118
0140513,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,0,220,20151118
0146431,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,1,122,20151118
0146432,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,1,121,20151118
0146433,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,0,220,20151118
0182061,ÔÆÄÏÊ¡,Àö½­ÊÐ,0,220,20151118
0182062,ÔÆÄÏÊ¡,Àö½­ÊÐ,1,122,20151118
0182063,ÔÆÄÏÊ¡,Àö½­ÊÐ,0,220,20151118
