ID,householdID,communityID,i002,i003,i004,i005,i005_1,i006,i007,i008,i009,i010,i011,i012_1,i012_4,i012_3,i012_2,i012_5,i013,i014s1,i014s2,i015,i017,i018,i019,i020,i021,i022,i023,i024,i027_w3,i025,i026,versionID
094004126002,0940041260,0940041,0.0,2,1,,6,1,2,,,2,1,2,0,0,0,0,20,1,,1,1,2,2,2,,4,2,1,2,3,3,20170531
094004103001,0940041030,0940041,0.0,2,1,2011,6,1,2,,,2,1,1,1,1,1,0,,,2,,1,2,2,1,5,4,1,1,2,4,3,20170531
094004111001,0940041110,0940041,0.0,2,1,1977,,1,2,,,1,,2,1,0,0,0,10,1,,1,1,3,1,1,5,4,1,1,2,3,3,20170531
094004110001,0940041100,0940041,0.0,2,1,,6,1,2,,,2,1,2,1,0,0,0,100,1,,1,1,2,2,1,5,4,2,1,2,4,3,20170531
094004108001,0940041080,0940041,0.0,2,1,,6,1,2,,,2,2,1,0,0,1,0,100,1,,1,1,2,2,1,5,4,1,2,1,2,3,20170531
094004112001,0940041120,0940041,0.0,2,1,1989,,1,2,,,2,1,1,1,0,0,0,50,1,,1,1,3,2,1,5,2,1,2,2,4,3,20170531
094004106001,0940041060,0940041,0.0,2,1,1993,,2,,5,2,2,5,2,1,1,1,1,,,2,,1,2,1,1,2,2,1,1,2,2,3,20170531
094004114001,0940041140,0940041,0.0,2,1,,6,1,2,,,2,1,1,0,0,0,0,30,1,,1,1,2,2,1,5,5,1,1,2,4,2,20170531
094004118001,0940041180,0940041,0.0,2,1,,6,1,2,,,2,1,1,1,0,0,0,10,1,,2,1,2,2,2,,5,1,1,2,4,3,20170531
094004101002,0940041010,0940041,0.0,2,1,,6,1,1,,,2,1,2,1,1,0,0,,1,,1,1,3,2,2,,4,1,2,2,4,3,20170531
094004104002,0940041040,0940041,0.0,2,1,,2,2,,2,2,2,4,3,1,1,1,2,,,2,,1,2,1,1,3,2,2,2,2,2,3,20170531
094004119002,0940041190,0940041,0.0,2,1,1985,,1,1,,,1,,1,1,0,0,0,10,1,,1,1,1,2,1,7,4,1,2,2,3,3,20170531
094004122002,0940041220,0940041,0.0,2,1,,6,1,2,,,2,2,1,1,1,1,0,,,2,,1,2,2,1,5,4,2,2,2,4,3,20170531
094004116002,0940041160,0940041,0.0,2,1,1990,,1,2,,,2,3,1,1,0,1,0,25,1,,1,1,2,1,1,5,2,1,1,2,3,3,20170531
094004117001,0940041170,0940041,0.0,2,1,,6,1,2,,,2,1,1,1,1,3,0,,,2,,1,2,2,1,5,2,1,1,1,1,2,20170531
094004107001,0940041070,0940041,0.0,2,1,,6,1,2,,,2,2,3,1,0,0,0,30,1,,1,1,2,2,1,5,4,1,1,2,4,3,20170531
094004310001,0940043100,0940043,0.0,2,7,1994,,2,,2,2,2,5,2,1,1,1,1,,,2,,1,2,1,1,3,2,1,2,2,3,3,20170531
094004313001,0940043130,0940043,0.0,2,1,1990,,2,,3,2,2,5,2,1,1,1,1,,,2,,1,2,1,1,3,2,1,1,2,2,3,20170531
094004317001,0940043170,0940043,0.0,2,1,,4,2,,4,2,2,5,3,1,1,2,1,,,2,,1,2,1,1,3,2,1,2,1,4,3,20170531
094004316001,0940043160,0940043,0.0,2,1,1995,,2,,1,,2,3,1,1,1,11,1,,,2,,1,2,1,1,3,2,1,1,2,4,3,20170531
094004308001,0940043080,0940043,0.0,2,1,,2,2,,6,2,2,5,2,1,1,1,1,,,2,,1,2,1,1,3,2,1,1,2,4,3,20170531
094004303001,0940043030,0940043,0.0,2,1,1995,,2,,1,,2,3,4,1,1,1,2,,,2,,1,2,1,1,3,2,1,1,2,1,3,20170531
094004307001,0940043070,0940043,0.0,2,1,1995,,2,,5,2,2,5,6,2,2,2,4,,,2,,1,2,1,1,5,2,1,1,2,6,6,20170531
094004319001,0940043190,0940043,0.0,2,1,1995,,2,,4,2,2,5,3,1,1,1,2,,,2,,1,2,1,1,3,2,1,1,2,6,6,20170531
094004320002,0940043200,0940043,0.0,2,1,1996,,2,,1,,2,3,2,1,1,2,2,,,2,,1,2,1,1,3,2,1,1,2,1,3,20170531
094004318001,0940043180,0940043,0.0,2,7,1996,,2,,2,2,2,3,2,1,1,1,1,,,2,,1,2,1,1,3,2,1,1,1,6,6,20170531
