ID,householdID,communityID,HH_weight,HH_weight_ad1,INDV_weight,INDV_weight_ad1,INDV_weight_ad2,Biomarker_weight,versionID
094004126001,0940041260,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30345.837890625,,20170531
094004126002,0940041260,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30095.939453125,,20170531
094004103001,0940041030,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30143.70703125,74252.6171875,20170531
094004111002,0940041110,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30363.923828125,,20170531
094004111001,0940041110,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30106.419921875,,20170531
094004110001,0940041100,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30421.548828125,74331.1328125,20170531
094004108001,0940041080,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30135.94921875,74233.5078125,20170531
094004112001,0940041120,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30385.720703125,74848.765625,20170531
094004112002,0940041120,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30111.775390625,69551.8671875,20170531
094004106001,0940041060,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30134.03515625,,20170531
094004114001,0940041140,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30102.890625,74152.078125,20170531
094004118001,0940041180,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30366.990234375,,20170531
094004118002,0940041180,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30111.775390625,,20170531
094004101002,0940041010,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30111.775390625,,20170531
094004104002,0940041040,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30382.560546875,,20170531
094004104001,0940041040,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30115.392578125,,20170531
094004119002,0940041190,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30424.904296875,74339.328125,20170531
094004119001,0940041190,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30149.62890625,,20170531
094004122001,0940041220,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30331.17578125,,20170531
094004122002,0940041220,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30082.447265625,,20170531
094004116001,0940041160,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30395.296875,,20170531
094004116002,0940041160,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30124.59765625,,20170531
094004117002,0940041170,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30418.212890625,74928.8046875,20170531
094004117001,0940041170,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30135.94921875,74233.5078125,20170531
094004107001,0940041070,0940041,15355.697265625,29751.6640625,15355.697265625,29751.6640625,30354.814453125,,20170531
094004310002,0940043100,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48263.17578125,50739.4296875,20170531
094004310001,0940043100,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48696.328125,50208.9296875,20170531
094004313001,0940043130,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48156.1640625,51257.76171875,20170531
094004317002,0940043170,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48244.453125,50460.31640625,20170531
094004317001,0940043170,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48685.71484375,53710.29296875,20170531
094004316002,0940043160,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48547.765625,53922.01953125,20170531
094004316001,0940043160,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48164.125,51266.23828125,20170531
094004308001,0940043080,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48208.64453125,49594.73828125,20170531
094004303001,0940043030,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48680.4453125,50469.1953125,20170531
094004303002,0940043030,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48232.27734375,50142.49609375,20170531
094004307001,0940043070,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48664.8046875,50452.98046875,20170531
094004307002,0940043070,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48232.27734375,50447.58203125,20170531
094004319001,0940043190,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48183.16796875,50190.3828125,20170531
094004320001,0940043200,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48685.71484375,50474.65625,20170531
094004320002,0940043200,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48232.27734375,50447.58203125,20170531
094004318001,0940043180,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48183.16796875,50190.3828125,20170531
094004318002,0940043180,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48580.46484375,,20170531
094004311002,0940043110,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48538.62890625,53911.87109375,20170531
094004311001,0940043110,0940043,18066.267578125,47629.25390625,18066.267578125,47629.25390625,48156.1640625,51257.76171875,20170531
094004219001,0940042190,0940042,22769.06640625,53817.7890625,45538.1328125,107635.578125,109053.90625,,20170531
094004219002,0940042190,0940042,22769.06640625,53817.7890625,45538.1328125,107635.578125,110132.859375,,20170531
094004220002,0940042200,0940042,22769.06640625,53817.7890625,22769.06640625,53817.7890625,55011.515625,,20170531
094004220001,0940042200,0940042,22769.06640625,53817.7890625,22769.06640625,53817.7890625,54485.67578125,,20170531
094004215002,0940042150,0940042,68307.1953125,161453.359375,68307.1953125,161453.359375,165106.828125,,20170531
094004215001,0940042150,0940042,68307.1953125,161453.359375,68307.1953125,161453.359375,163570.25,,20170531
