ID,householdID,communityID,intro_infselect,intro_infselect_1,inf1_rtr,notice1,inf2_rtr,notice2,inf3_rtr,informant_selection,inf1_noiwreason,inf2_noiwreason,infother_reason,dd001_w4,dd002_w4,dd003_w4,dd004_w4,dd005_w4,dd006_w4,dd007_w4,dd008_w4,dd009_w4,dd010_w4,dd011_w4,dd012_w4,dd013_w4,dd014_w4,dd015_w4,dd016_w4,dd017_w4,dd018_w4,dd019_w4,dd020_w4,dd021_w4,dd022_w4,dd023_w4,dd024_w4,dd025_w4,dd026_w4,dd027_w4,dd028_w4,dd029_w4,dd030_w4,dd031_w4,dd032_w4,dd033_w4,dd034_w4,dd035_w4,dd036_w4,dd037_w4,dd039_w4,dd040_w4,dd041_w4,dd042_w4,dd043_w4,dd044_w4,dd045_w4,dd046_w4,dd047_w4,dd048_w4_s1,dd048_w4_s2,dd048_w4_s3,dd048_w4_s4,dd048_w4_s5,dd048_w4_s6,dd049_w4,dd050_w4,dd051_w4,versionID
094004113002,0940041130,0940041,1,,2,2,,,,1,,,,33,1,8,2,,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,6,1,3,3,8,6,3,6,8,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004111002,0940041110,0940041,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200914
094004111001,0940041110,0940041,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200914
094004112001,0940041120,0940041,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200914
094004118001,0940041180,0940041,1,,1,2,,,,1,,,,66,2,5,1,43.0,1,1,2,2,2,2,3,3,3,4,4,3,4,3,4,8,3,3,6,6,3,4,3,3,3,3,8,3,6,3,6,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004118002,0940041180,0940041,1,,1,2,,,,1,,,,66,1,5,1,43.0,1,1,2,2,2,2,3,3,3,4,4,3,4,4,4,4,3,3,4,4,3,3,4,6,4,3,4,3,3,3,3,3,1,1,1,1,2,1,2,1,1,0,0,0,0,0,6,1,2,,20200914
094004119002,0940041190,0940041,1,,8,2,,,,1,,,,77,2,1,8,16.0,2,2,2,2,2,2,3,3,3,3,8,6,3,3,8,3,3,8,8,3,8,3,8,6,6,3,8,8,6,3,3,8,1,1,1,1,8,8,1,1,8,0,0,0,0,0,6,1,2,,20200914
094004109001,0940041090,0940041,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200914
094004109002,0940041090,0940041,1,,1,2,,,,1,,,,60,2,5,1,23.0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004117002,0940041170,0940041,1,,1,2,,,,1,,,,80,2,6,1,53.0,1,1,2,2,2,2,3,3,3,4,6,3,3,4,6,3,3,3,3,1,3,8,3,1,2,3,2,3,2,6,6,3,1,1,1,2,1,2,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004117001,0940041170,0940041,1,,1,2,,,,1,,,,83,1,5,1,53.0,1,1,2,2,1,2,3,5,3,5,5,6,4,3,3,6,3,3,3,3,3,8,3,6,3,6,2,3,3,3,3,3,1,1,1,2,8,2,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004107001,0940041070,0940041,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200914
094004317002,0940043170,0940043,1,,1,2,,,,1,,,,80,1,9,1,63.0,1,1,2,2,2,2,3,3,6,3,3,6,3,3,4,3,3,3,4,4,3,3,3,6,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004317001,0940043170,0940043,1,,1,2,,,,1,,,,80,2,9,1,63.0,1,1,2,2,2,2,3,3,3,3,3,6,3,3,3,8,3,3,3,3,3,3,6,3,3,6,3,3,3,3,3,3,1,1,1,1,1,2,1,8,1,0,0,0,0,0,6,1,2,,20200914
094004308001,0940043080,0940043,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200914
094004303001,0940043030,0940043,1,,1,2,,,,1,,,,76,2,5,1,60.0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004303002,0940043030,0940043,1,,1,2,,,,1,,,,79,1,6,1,60.0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004307001,0940043070,0940043,1,,1,2,,,,1,,,,76,2,9,1,58.0,1,1,2,2,2,2,3,4,3,3,3,6,4,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004307002,0940043070,0940043,1,,1,2,,,,1,,,,76,1,9,1,58.0,1,1,2,2,2,2,4,4,4,4,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004319003,0940043190,0940043,1,,1,2,,,,1,,,,59,2,9,1,35.0,1,2,2,2,2,2,3,3,3,3,8,8,3,3,5,8,6,3,6,8,3,8,3,3,3,6,3,3,2,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004320001,0940043200,0940043,1,,1,2,,,,1,,,,76,2,8,1,46.0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,3,0,0,0,1,2,,20200914
094004320002,0940043200,0940043,1,,1,2,,,,1,,,,79,1,8,1,46.0,1,1,2,2,2,2,3,3,6,3,3,3,3,4,3,4,3,4,2,3,3,3,3,3,3,6,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004309001,0940043090,0940043,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200914
094004219001,0940042190,0940042,1,,2,2,,,,1,,,,59,1,6,2,,1,1,2,2,2,2,3,3,3,3,4,6,3,3,4,3,3,3,5,5,3,5,4,6,3,6,3,3,3,3,6,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004219002,0940042190,0940042,1,,1,2,,,,1,,,,84,2,4,1,64.0,1,1,2,1,2,2,3,3,6,3,3,4,3,3,6,3,3,3,3,4,3,3,6,6,6,6,5,5,6,6,6,4,1,1,2,2,2,2,1,1,2,0,0,0,0,0,6,1,2,,20200914
094004220002,0940042200,0940042,1,,1,2,,,,1,,,,72,2,8,1,43.0,1,1,2,2,2,2,3,3,3,4,3,4,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,2,3,6,1,1,1,1,1,2,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004220001,0940042200,0940042,1,,1,2,,,,1,,,,80,1,8,1,42.0,1,1,2,2,2,2,3,3,3,4,4,3,4,4,5,4,4,4,6,4,4,4,4,3,3,4,4,3,3,3,3,4,1,1,1,1,1,2,2,1,1,0,0,0,0,0,6,1,2,,20200914
094004210002,0940042100,0940042,1,,1,2,,,,1,,,,67,2,5,1,45.0,1,1,2,2,2,2,3,3,4,4,3,3,3,3,4,4,4,4,4,4,3,8,4,4,3,6,3,6,3,6,4,4,1,1,1,1,2,2,8,1,1,0,0,0,0,0,6,1,2,,20200914
094004210001,0940042100,0940042,1,,1,2,,,,1,,,,67,1,5,1,45.0,1,1,2,2,2,2,5,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,6,3,3,2,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,6,1,2,,20200914
094004208002,0940042080,0940042,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200914
094004208001,0940042080,0940042,1,,1,2,,,,1,,,,89,2,8,1,65.0,1,1,2,2,2,2,3,4,4,3,5,3,8,5,4,4,3,4,5,5,3,5,3,4,5,3,6,3,6,6,4,4,1,1,1,2,2,1,8,1,1,0,0,0,0,0,6,1,2,,20200914
094004223002,0940042230,0940042,1,,1,2,,,,1,,,,79,1,9,1,44.0,1,1,2,2,2,2,3,4,3,5,5,5,5,5,5,5,5,3,6,6,3,3,5,3,3,3,3,3,6,3,3,3,1,1,1,1,1,2,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004223001,0940042230,0940042,1,,1,2,,,,1,,,,76,2,6,1,44.0,1,1,2,2,2,2,3,4,6,3,3,3,6,3,3,6,4,3,6,4,3,3,3,3,3,3,3,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,2,,20200914
094004226001,0940042260,0940042,1,,2,2,,,,1,,,,61,1,8,2,,3,1,2,2,2,2,3,5,5,5,5,5,5,8,3,5,3,3,6,6,4,8,3,6,3,6,3,5,5,5,5,6,1,2,1,2,2,2,2,1,2,0,0,0,0,0,6,1,2,,20200914
094004214001,0940042140,0940042,1,,2,2,,,,1,,,,47,2,8,2,,2,1,2,2,1,1,3,4,4,4,4,4,5,4,5,4,4,4,5,5,4,4,5,4,4,5,5,4,4,5,5,5,1,1,1,2,2,2,2,1,1,0,0,0,0,0,6,1,2,,20200914
094004216002,0940042160,0940042,1,,1,2,,,,1,,,,70,2,5,1,46.0,1,1,2,2,2,2,3,3,4,3,3,4,3,3,4,4,3,3,3,5,3,5,4,3,3,3,3,3,3,6,3,3,1,1,1,1,2,2,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004216001,0940042160,0940042,1,,1,2,,,,1,,,,72,1,4,1,46.0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
094004212002,0940042120,0940042,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200914
094004212001,0940042120,0940042,1,,1,2,,,,1,,,,71,2,6,1,47.0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,6,6,4,4,4,4,3,3,3,6,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
194037217001,1940372170,1940372,1,,9,1,9,1,9,3,1,1,,63,1,8,9,37.0,8,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,8,1,1,1,0,2,3,4,0,0,1,2,2,20200914
194037205001,1940372050,1940372,1,,1,2,,,,1,,,,66,1,5,1,40.0,1,1,2,2,2,2,4,3,3,3,1,3,3,3,3,1,1,1,1,2,2,1,2,6,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,0,0,0,1,2,,20200914
194037205002,1940372050,1940372,1,,1,2,,,,1,,,,67,2,1,1,45.0,1,1,2,2,2,2,4,4,4,4,4,3,4,4,4,4,2,3,2,4,4,4,4,4,4,4,4,2,2,2,2,4,1,1,1,2,1,2,2,2,1,0,0,0,4,0,0,2,2,2,20200914
194037221002,1940372210,1940372,1,,1,2,,,,1,,,,66,2,6,1,50.0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,4,0,0,1,2,2,20200914
