feature,importance,rank
chronic_disease_1_2011,40,1
fi_broad_observed_fraction_2011,36,2
systolic_bp_mean_2011,36,3
fi_2011,35,4
chronic_disease_5_2011,33,5
chronic_disease_2_2011,30,6
functional_difficulty_1_2011,29,7
fi_broad_exploratory_2011,24,8
depressed_frequency_2011,24,9
education_code_2011,17,10
health_compared_peer_2011,17,11
chronic_disease_8_2011,11,12
current_smoking_2011,11,13
functional_difficulty_12_2011,11,14
self_rated_health_2011,9,15
alcohol_frequency_code_2011,8,16
functional_difficulty_8_2011,6,17
fi_observed_fraction_2011,4,18
bmi_to_fi_2011,3,19
functional_difficulty_7_2011,2,20
functional_difficulty_18_2011,2,21
functional_difficulty_6_2011,1,22
functional_difficulty_14_2011,1,23
functional_difficulty_2_2011,1,24
chronic_disease_13_2011,1,25
chronic_disease_9_2011,1,26
functional_difficulty_16_2011,0,27
functional_difficulty_17_2011,0,28
chronic_disease_4_2011,0,29
functional_difficulty_19_2011,0,30
functional_difficulty_20_2011,0,31
functional_difficulty_15_2011,0,32
sad_or_depressed_2011,0,33
functional_difficulty_10_2011,0,34
functional_difficulty_13_2011,0,35
functional_difficulty_11_2011,0,36
chronic_disease_6_2011,0,37
functional_difficulty_9_2011,0,38
marital_code_2011,0,39
functional_difficulty_4_2011,0,40
functional_difficulty_3_2011,0,41
chronic_disease_3_2011,0,42
chronic_disease_14_2011,0,43
chronic_disease_12_2011,0,44
chronic_disease_11_2011,0,45
chronic_disease_10_2011,0,46
functional_difficulty_5_2011,0,47
