feature,importance,rank
chronic_disease_1_2011,0.14981392666313972,1
fi_broad_exploratory_2011,0.136670015099043,2
fi_2011,0.12196277159420497,3
fi_broad_observed_fraction_2011,0.09904612589588538,4
functional_difficulty_1_2011,0.07744959437919521,5
systolic_bp_mean_2011,0.06513023475991866,6
chronic_disease_2_2011,0.036988303354597,7
health_compared_peer_2011,0.029618572071265066,8
chronic_disease_5_2011,0.0290270352578246,9
self_rated_health_2011,0.02819952447230986,10
depressed_frequency_2011,0.022039827593235042,11
bmi_to_fi_2011,0.02111255031775008,12
functional_difficulty_5_2011,0.018834305241623824,13
functional_difficulty_6_2011,0.016162258493632155,14
functional_difficulty_14_2011,0.013710124966053146,15
education_code_2011,0.01238256853953705,16
alcohol_frequency_code_2011,0.008514339344643181,17
current_smoking_2011,0.008447938970250618,18
chronic_disease_3_2011,0.007598545746209543,19
marital_code_2011,0.006943751792483278,20
chronic_disease_13_2011,0.0064789480323623905,21
functional_difficulty_4_2011,0.006211141810249286,22
chronic_disease_10_2011,0.005995867946767951,23
sad_or_depressed_2011,0.005766809693381958,24
fi_observed_fraction_2011,0.005542076944817308,25
functional_difficulty_12_2011,0.005388847947443128,26
chronic_disease_9_2011,0.004940007331991548,27
functional_difficulty_16_2011,0.004360195466249342,28
functional_difficulty_18_2011,0.004186479723485953,29
functional_difficulty_8_2011,0.003989187348616695,30
functional_difficulty_2_2011,0.0036838627776037097,31
chronic_disease_8_2011,0.0033233163117562677,32
chronic_disease_6_2011,0.0033010416992806544,33
functional_difficulty_11_2011,0.002989869195071443,34
functional_difficulty_7_2011,0.002604501880656388,35
functional_difficulty_15_2011,0.0024913277436281163,36
functional_difficulty_19_2011,0.0023975772130456234,37
functional_difficulty_17_2011,0.002157154900399,38
chronic_disease_14_2011,0.0020238348312678267,39
functional_difficulty_10_2011,0.0019233368783245503,40
chronic_disease_11_2011,0.0018868107121584243,41
functional_difficulty_20_2011,0.0018539468908621431,42
functional_difficulty_9_2011,0.0014898036841290564,43
functional_difficulty_13_2011,0.0014675149988332822,44
chronic_disease_4_2011,0.001341672403255202,45
chronic_disease_12_2011,0.001329758385923425,46
functional_difficulty_3_2011,0.00122279269563793,47
