feature,importance,rank
age_2011,9.957442889126007,1
chronic_disease_1_2011,7.7868977515331,2
fi_broad_exploratory_2011,6.989345058408273,3
bmi_2011,6.448191069986187,4
fi_2011,6.096389599157551,5
waist_cm_2011,4.654665383665753,6
fi_broad_observed_fraction_2011,4.5678746419752185,7
health_compared_peer_2011,4.43094470997074,8
depressed_frequency_2011,3.9449605123365297,9
systolic_bp_mean_2011,3.6998023854360658,10
sex_code_2011,3.4956454185243255,11
functional_difficulty_1_2011,3.1279696150267537,12
chronic_disease_5_2011,3.1016773808189972,13
self_rated_health_2011,2.8535872144164456,14
education_code_2011,2.843058153619859,15
weight_kg_2011,2.823141654481398,16
height_cm_2011,2.536889968949598,17
chronic_disease_2_2011,2.31248524380001,18
bmi_to_fi_2011,1.8340545676524949,19
marital_code_2011,1.7297361498824046,20
functional_difficulty_12_2011,1.678977834384287,21
sad_or_depressed_2011,1.436160488645358,22
chronic_disease_13_2011,1.4134654964532538,23
alcohol_frequency_code_2011,0.9115162704978969,24
fi_observed_fraction_2011,0.8555886922690912,25
chronic_disease_8_2011,0.8383101495291874,26
functional_difficulty_7_2011,0.7789405274342708,27
functional_difficulty_19_2011,0.641164449011727,28
functional_difficulty_18_2011,0.628106911788353,29
functional_difficulty_8_2011,0.536796008237058,30
functional_difficulty_2_2011,0.5188047342180772,31
functional_difficulty_20_2011,0.49606459712798096,32
functional_difficulty_5_2011,0.43307007075863513,33
functional_difficulty_17_2011,0.32186781943671916,34
current_smoking_2011,0.27138964335689136,35
chronic_disease_9_2011,0.261727972304937,36
functional_difficulty_11_2011,0.2534945116979653,37
chronic_disease_10_2011,0.24392094711385862,38
functional_difficulty_16_2011,0.24104299888730527,39
chronic_disease_14_2011,0.2079137025021255,40
functional_difficulty_6_2011,0.20709386075289896,41
functional_difficulty_4_2011,0.20618153659049843,42
functional_difficulty_10_2011,0.189355868351053,43
functional_difficulty_14_2011,0.18484978897929358,44
chronic_disease_6_2011,0.1684389533574444,45
functional_difficulty_13_2011,0.1436390383978877,46
chronic_disease_4_2011,0.14010405696296963,47
chronic_disease_11_2011,0.1330411136606395,48
functional_difficulty_3_2011,0.1292286969069502,49
chronic_disease_12_2011,0.12262555905302809,50
functional_difficulty_15_2011,0.07993528458093724,51
chronic_disease_3_2011,0.050566815928524446,52
functional_difficulty_9_2011,0.04185623205513786,53
