feature,importance,rank
age_2011,55,1
systolic_bp_mean_2011,31,2
fi_broad_exploratory_2011,30,3
waist_cm_2011,29,4
bmi_2011,26,5
fi_2011,23,6
height_cm_2011,23,7
sex_code_2011,22,8
health_compared_peer_2011,16,9
weight_kg_2011,16,10
chronic_disease_5_2011,14,11
fi_broad_observed_fraction_2011,14,12
education_code_2011,12,13
depressed_frequency_2011,11,14
self_rated_health_2011,10,15
chronic_disease_1_2011,10,16
chronic_disease_2_2011,10,17
functional_difficulty_12_2011,9,18
chronic_disease_13_2011,8,19
functional_difficulty_1_2011,8,20
chronic_disease_8_2011,5,21
alcohol_frequency_code_2011,5,22
functional_difficulty_2_2011,5,23
sad_or_depressed_2011,5,24
functional_difficulty_17_2011,5,25
functional_difficulty_18_2011,4,26
functional_difficulty_7_2011,4,27
functional_difficulty_8_2011,2,28
functional_difficulty_6_2011,2,29
chronic_disease_10_2011,2,30
functional_difficulty_11_2011,1,31
chronic_disease_6_2011,1,32
marital_code_2011,1,33
functional_difficulty_9_2011,0,34
functional_difficulty_3_2011,0,35
chronic_disease_9_2011,0,36
fi_observed_fraction_2011,0,37
current_smoking_2011,0,38
bmi_to_fi_2011,0,39
chronic_disease_11_2011,0,40
chronic_disease_12_2011,0,41
chronic_disease_14_2011,0,42
functional_difficulty_4_2011,0,43
functional_difficulty_10_2011,0,44
functional_difficulty_20_2011,0,45
functional_difficulty_19_2011,0,46
functional_difficulty_5_2011,0,47
chronic_disease_3_2011,0,48
functional_difficulty_16_2011,0,49
functional_difficulty_15_2011,0,50
functional_difficulty_14_2011,0,51
functional_difficulty_13_2011,0,52
chronic_disease_4_2011,0,53
