feature,importance,rank
fi_broad_exploratory_2011,0.09182482304589976,1
age_2011,0.08437968218478649,2
bmi_2011,0.07565898351299222,3
fi_2011,0.0713595030561864,4
waist_cm_2011,0.06758027800686492,5
weight_kg_2011,0.06664473849040639,6
systolic_bp_mean_2011,0.06348273643516532,7
chronic_disease_1_2011,0.06343539632004666,8
height_cm_2011,0.05516813452717898,9
fi_broad_observed_fraction_2011,0.05317661654639227,10
functional_difficulty_1_2011,0.03225695687760955,11
education_code_2011,0.024819252702112323,12
depressed_frequency_2011,0.023956695579550113,13
health_compared_peer_2011,0.01988291041020105,14
self_rated_health_2011,0.01774719895514248,15
sex_code_2011,0.01600091963281104,16
chronic_disease_2_2011,0.015294225672373232,17
chronic_disease_5_2011,0.014004511911631544,18
alcohol_frequency_code_2011,0.012056207770529126,19
marital_code_2011,0.011235751902146573,20
bmi_to_fi_2011,0.009962781980704669,21
functional_difficulty_6_2011,0.008461604185466641,22
chronic_disease_13_2011,0.008427332197441162,23
current_smoking_2011,0.008197881384769639,24
functional_difficulty_5_2011,0.007747957804472319,25
chronic_disease_10_2011,0.007252538350918217,26
fi_observed_fraction_2011,0.005200717942954261,27
functional_difficulty_7_2011,0.0050590450516871865,28
functional_difficulty_14_2011,0.004995706767165893,29
functional_difficulty_8_2011,0.004346077735803355,30
functional_difficulty_4_2011,0.0041038381549221995,31
sad_or_depressed_2011,0.00390632559888396,32
functional_difficulty_2_2011,0.003583868288629942,33
functional_difficulty_19_2011,0.003223264720952163,34
functional_difficulty_16_2011,0.0031894778700333136,35
functional_difficulty_18_2011,0.0031044033081427465,36
functional_difficulty_12_2011,0.003054458348928368,37
chronic_disease_9_2011,0.0030527767522537694,38
chronic_disease_6_2011,0.003026676186068829,39
functional_difficulty_17_2011,0.0028220778844334567,40
chronic_disease_3_2011,0.0027705034876544425,41
functional_difficulty_20_2011,0.0023769190252382615,42
chronic_disease_8_2011,0.0018840512997739763,43
functional_difficulty_13_2011,0.0017835429962540057,44
functional_difficulty_10_2011,0.0016464297216815455,45
functional_difficulty_15_2011,0.0016419353344784373,46
functional_difficulty_11_2011,0.001310989244527456,47
functional_difficulty_9_2011,0.001089411952284519,48
chronic_disease_14_2011,0.0010218904633087723,49
functional_difficulty_3_2011,0.0006767650603331691,50
chronic_disease_12_2011,0.0005269342012122653,51
chronic_disease_11_2011,0.000345707732944179,52
chronic_disease_4_2011,0.00024058542565038178,53
