feature,importance,rank
chronic_disease_1_2011,0.12447418,1
fi_2011,0.058431823,2
functional_difficulty_1_2011,0.05172214,3
fi_broad_exploratory_2011,0.04717858,4
fi_broad_observed_fraction_2011,0.03925175,5
chronic_disease_5_2011,0.03446424,6
bmi_2011,0.029989354,7
chronic_disease_2_2011,0.029855095,8
sex_code_2011,0.027392061,9
age_2011,0.027176227,10
waist_cm_2011,0.02638457,11
chronic_disease_6_2011,0.024102697,12
functional_difficulty_7_2011,0.02384951,13
functional_difficulty_17_2011,0.02338478,14
chronic_disease_13_2011,0.023079325,15
weight_kg_2011,0.022964543,16
depressed_frequency_2011,0.020784277,17
health_compared_peer_2011,0.020577835,18
functional_difficulty_12_2011,0.02022558,19
chronic_disease_3_2011,0.019147525,20
systolic_bp_mean_2011,0.018862143,21
self_rated_health_2011,0.018284103,22
sad_or_depressed_2011,0.017888214,23
height_cm_2011,0.017633421,24
functional_difficulty_13_2011,0.017359244,25
functional_difficulty_2_2011,0.016603904,26
chronic_disease_8_2011,0.016583387,27
functional_difficulty_8_2011,0.016002435,28
marital_code_2011,0.015988702,29
chronic_disease_10_2011,0.015218368,30
alcohol_frequency_code_2011,0.014647403,31
education_code_2011,0.0146338865,32
functional_difficulty_6_2011,0.014371951,33
chronic_disease_9_2011,0.013745147,34
functional_difficulty_11_2011,0.012487998,35
fi_observed_fraction_2011,0.0124256145,36
current_smoking_2011,0.011102593,37
chronic_disease_11_2011,0.011081094,38
functional_difficulty_19_2011,0.008839994,39
bmi_to_fi_2011,0.008628244,40
functional_difficulty_18_2011,0.007167038,41
functional_difficulty_5_2011,0.0060089896,42
chronic_disease_12_2011,0.0,43
chronic_disease_14_2011,0.0,44
chronic_disease_4_2011,0.0,45
functional_difficulty_3_2011,0.0,46
functional_difficulty_14_2011,0.0,47
functional_difficulty_9_2011,0.0,48
functional_difficulty_20_2011,0.0,49
functional_difficulty_10_2011,0.0,50
functional_difficulty_16_2011,0.0,51
functional_difficulty_15_2011,0.0,52
functional_difficulty_4_2011,0.0,53
