feature_set,model,selected_threshold,f1_threshold,f1_at_f1_threshold,youden_threshold,youden_at_youden_threshold,balanced_threshold,balanced_score,best_params,best_valid_roc_auc
primary,logistic_regression,0.5191047322406621,0.5191047322406621,0.31748251748251743,0.5104199376134217,0.2591899076670652,0.5191047322406621,0.5756035560604088,{'C': 0.03967694542223149},0.6588271429641988
primary,random_forest,0.4638108336522501,0.4638108336522501,0.31336405529953915,0.4450838646190463,0.258466153136204,0.4638108336522501,0.5688060188633302,"{'n_estimators': 223, 'max_depth': 8, 'min_samples_leaf': 10}",0.6681107245828058
primary,xgboost,0.43713146448135376,0.43713146448135376,0.31492063492063493,0.43415188789367676,0.2628638986507006,0.43713146448135376,0.577653390039177,"{'n_estimators': 142, 'max_depth': 3, 'learning_rate': 0.025683147749458696, 'subsample': 0.917893642460109, 'colsample_bytree': 0.8967275702272512, 'reg_lambda': 4.708567619590285, 'scale_pos_weight': 5.071466654508563}",0.66669871301851
primary,lightgbm,0.5736135947566802,0.6063199858155714,0.3118440779610195,0.5506835141412338,0.2503461005999077,0.5736135947566802,0.5582218976377766,"{'n_estimators': 142, 'num_leaves': 22, 'max_depth': 2, 'learning_rate': 0.09349986707454126, 'min_child_samples': 60, 'subsample': 0.9434977713519959, 'colsample_bytree': 0.7497319510900466, 'scale_pos_weight': 8.991152314537779}",0.6618133699351973
primary,catboost,0.476307096330737,0.476307096330737,0.3078730904817861,0.476307096330737,0.25396290117102316,0.476307096330737,0.5618359916528093,"{'iterations': 352, 'depth': 4, 'learning_rate': 0.024585043930610614, 'l2_leaf_reg': 4.6061245224589795}",0.6642622042368236
no_body_size_demographic,logistic_regression,0.5089608318067378,0.5089608318067378,0.3005464480874317,0.4665279422433626,0.22465182871274236,0.5089608318067378,0.524981347649235,{'C': 0.03967694542223149},0.6448884589747533
no_body_size_demographic,random_forest,0.48049845618257797,0.48290900376872553,0.304302203567681,0.48049845618257797,0.25665085055948,0.48049845618257797,0.5603963610776945,"{'n_estimators': 253, 'max_depth': 4, 'min_samples_leaf': 2}",0.6583405314369782
no_body_size_demographic,xgboost,0.5895159840583801,0.5895159840583801,0.30407911001236093,0.5692878365516663,0.24285021239335958,0.5895159840583801,0.5441900988543142,"{'n_estimators': 148, 'max_depth': 2, 'learning_rate': 0.02797911365070284, 'subsample': 0.672099077547787, 'colsample_bytree': 0.6677133328811644, 'reg_lambda': 3.124376301798936, 'scale_pos_weight': 9.414326518596924}",0.654896288145019
no_body_size_demographic,lightgbm,0.35044265243844036,0.35044265243844036,0.30351437699680517,0.35044265243844036,0.2523014210831471,0.35044265243844036,0.5558157980799523,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 3.886543362011005}",0.6544875739038176
no_body_size_demographic,catboost,0.4736769866184946,0.5176170721824596,0.3057239057239057,0.4736769866184946,0.24785240140570086,0.4736769866184946,0.5480039931186872,"{'iterations': 131, 'depth': 3, 'learning_rate': 0.022713369064581, 'l2_leaf_reg': 1.1235942874800418}",0.6559424782775037
