feature,importance,rank
fi_broad_exploratory_2011,8.99916148154944,1
chronic_disease_1_2011,8.622191483447507,2
newcho_2011,6.814816715556835,3
functional_difficulty_1_2011,6.230504517444202,4
fi_2011,5.972262597709524,5
newhdl_2011,4.526498779222009,6
newcrp_2011,4.189147154918292,7
systolic_bp_mean_2011,3.7311742584942222,8
newglu_2011,3.640260838254828,9
health_compared_peer_2011,3.624259486276903,10
qc1_vb004_2011,3.442859926737223,11
newldl_2011,3.412709975781383,12
chronic_disease_2_2011,3.2823320259059536,13
bmi_to_fi_2011,3.1676384345256268,14
depressed_frequency_2011,3.150799081967422,15
self_rated_health_2011,2.982559263187856,16
education_code_2011,2.7603247100009844,17
chronic_disease_5_2011,2.5198321401378654,18
newhba1c_2011,2.393961469235561,19
marital_code_2011,1.854024007975533,20
functional_difficulty_12_2011,1.8116894972879454,21
alcohol_frequency_code_2011,1.6019888465886833,22
current_smoking_2011,1.3578849106336908,23
chronic_disease_13_2011,1.1267289008670303,24
sad_or_depressed_2011,1.0035652478063408,25
functional_difficulty_7_2011,0.8270892680077779,26
chronic_disease_8_2011,0.7960600909456941,27
functional_difficulty_8_2011,0.7597661790260485,28
functional_difficulty_19_2011,0.6362592099083627,29
functional_difficulty_14_2011,0.5347338967634591,30
functional_difficulty_20_2011,0.442316506269835,31
chronic_disease_9_2011,0.3650248135168628,32
functional_difficulty_2_2011,0.36105621761531304,33
functional_difficulty_13_2011,0.3007432105277255,34
functional_difficulty_16_2011,0.28049150828243186,35
chronic_disease_6_2011,0.279591012361615,36
functional_difficulty_3_2011,0.25241493094482287,37
chronic_disease_10_2011,0.2479885822913497,38
functional_difficulty_17_2011,0.22890187357902314,39
functional_difficulty_18_2011,0.20651471575971203,40
chronic_disease_11_2011,0.18071030521651527,41
chronic_disease_3_2011,0.17844193437475744,42
functional_difficulty_6_2011,0.14421689314158007,43
functional_difficulty_11_2011,0.12991184128705294,44
chronic_disease_4_2011,0.12527604185714344,45
chronic_disease_12_2011,0.12195932743319834,46
functional_difficulty_10_2011,0.12040556366596109,47
chronic_disease_14_2011,0.11945342947533508,48
functional_difficulty_15_2011,0.08356653172919754,49
functional_difficulty_4_2011,0.040244441780531465,50
functional_difficulty_5_2011,0.01768592272579982,51
functional_difficulty_9_2011,0.0,52
