feature,importance,rank
chronic_disease_1_2011,0.24548259877119702,1
functional_difficulty_1_2011,0.18237385786301227,2
fi_broad_exploratory_2011,0.181587610600678,3
chronic_disease_5_2011,0.15534468469718526,4
functional_difficulty_12_2011,0.1209207506091084,5
health_compared_peer_2011,0.10913025712497215,6
bmi_to_fi_2011,0.1045358869433489,7
chronic_disease_2_2011,0.10289449461926067,8
current_smoking_2011,0.09966181743873642,9
systolic_bp_mean_2011,0.0956414082075031,10
self_rated_health_2011,0.09224293377273908,11
newhba1c_2011,0.0872390370187105,12
functional_difficulty_2_2011,0.08559894423870819,13
newcho_2011,0.07763152979576435,14
newldl_2011,0.07554727807313226,15
fi_2011,0.07451860802062515,16
chronic_disease_8_2011,0.07191506580696205,17
functional_difficulty_14_2011,0.06500245959642649,18
functional_difficulty_7_2011,0.06095855466296525,19
newcrp_2011,0.058995068382851006,20
chronic_disease_10_2011,0.055433345818265325,21
depressed_frequency_2011,0.05384149467701206,22
sad_or_depressed_2011,0.04419768899449763,23
education_code_2011,0.043512186590672956,24
newglu_2011,0.03967033622917966,25
functional_difficulty_19_2011,0.03779574170586475,26
chronic_disease_12_2011,0.03710118392023762,27
chronic_disease_6_2011,0.033303754549769235,28
functional_difficulty_8_2011,0.03214959141637666,29
functional_difficulty_18_2011,0.03023730643489984,30
functional_difficulty_17_2011,0.028301208075025442,31
chronic_disease_13_2011,0.028220309873422094,32
qc1_vb004_2011,0.028077546180951467,33
functional_difficulty_3_2011,0.027151831482045304,34
functional_difficulty_4_2011,0.02621708178609358,35
functional_difficulty_9_2011,0.02553403237491711,36
chronic_disease_11_2011,0.024028320186663815,37
chronic_disease_9_2011,0.020715328688062456,38
functional_difficulty_11_2011,0.02040738019005674,39
chronic_disease_4_2011,0.019790002331594066,40
functional_difficulty_20_2011,0.019405029760031375,41
functional_difficulty_16_2011,0.018141660822280595,42
chronic_disease_3_2011,0.017028807643641765,43
functional_difficulty_13_2011,0.015441384049700245,44
functional_difficulty_5_2011,0.010742457435455807,45
marital_code_2011,0.0092179243274689,46
functional_difficulty_6_2011,0.006765793526198295,47
functional_difficulty_10_2011,0.006546802025739726,48
functional_difficulty_15_2011,0.005741928930966263,49
newhdl_2011,0.002141790370600757,50
chronic_disease_14_2011,0.0008083332427234039,51
alcohol_frequency_code_2011,0.00044948145706061554,52
