feature,importance,rank
chronic_disease_1_2011,0.07712139,1
fi_broad_exploratory_2011,0.061123986,2
functional_difficulty_1_2011,0.053586107,3
fi_2011,0.05323158,4
chronic_disease_5_2011,0.040229544,5
chronic_disease_9_2011,0.035983,6
functional_difficulty_18_2011,0.034717374,7
marital_code_2011,0.03463559,8
bmi_to_fi_2011,0.03242118,9
newhdl_2011,0.031095102,10
depressed_frequency_2011,0.028959204,11
chronic_disease_2_2011,0.028774135,12
current_smoking_2011,0.028484287,13
self_rated_health_2011,0.028328586,14
systolic_bp_mean_2011,0.028277716,15
newhba1c_2011,0.02785401,16
health_compared_peer_2011,0.026024073,17
newcrp_2011,0.026006073,18
newcho_2011,0.026001759,19
functional_difficulty_5_2011,0.025047949,20
functional_difficulty_12_2011,0.02476746,21
newglu_2011,0.024530709,22
newldl_2011,0.022831848,23
functional_difficulty_8_2011,0.022539739,24
qc1_vb004_2011,0.022522481,25
chronic_disease_8_2011,0.021210909,26
chronic_disease_6_2011,0.020502051,27
education_code_2011,0.019307707,28
alcohol_frequency_code_2011,0.0179701,29
functional_difficulty_7_2011,0.017317804,30
chronic_disease_13_2011,0.016135676,31
chronic_disease_3_2011,0.014991178,32
functional_difficulty_19_2011,0.014355966,33
functional_difficulty_10_2011,0.013113749,34
functional_difficulty_4_2011,0.0,35
functional_difficulty_9_2011,0.0,36
chronic_disease_4_2011,0.0,37
functional_difficulty_11_2011,0.0,38
chronic_disease_10_2011,0.0,39
chronic_disease_11_2011,0.0,40
chronic_disease_12_2011,0.0,41
chronic_disease_14_2011,0.0,42
functional_difficulty_13_2011,0.0,43
sad_or_depressed_2011,0.0,44
functional_difficulty_2_2011,0.0,45
functional_difficulty_6_2011,0.0,46
functional_difficulty_3_2011,0.0,47
functional_difficulty_17_2011,0.0,48
functional_difficulty_16_2011,0.0,49
functional_difficulty_15_2011,0.0,50
functional_difficulty_14_2011,0.0,51
functional_difficulty_20_2011,0.0,52
