feature,importance,rank
sex_code_2011,0.28584908485406363,1
chronic_disease_1_2011,0.2225954640393928,2
age_2011,0.20517972731944403,3
fi_broad_exploratory_2011,0.19232688211688126,4
chronic_disease_5_2011,0.16770303031718847,5
functional_difficulty_1_2011,0.15544321667654798,6
health_compared_peer_2011,0.12503220460053383,7
functional_difficulty_12_2011,0.11714370816934554,8
self_rated_health_2011,0.10646432121665025,9
functional_difficulty_2_2011,0.10146921425865323,10
newcho_2011,0.09869630711329222,11
chronic_disease_2_2011,0.09375984087019211,12
fi_2011,0.09317556762715266,13
education_code_2011,0.09290048703889936,14
bmi_2011,0.09033330972781757,15
newhba1c_2011,0.08888908263304215,16
chronic_disease_10_2011,0.07614272999688201,17
height_cm_2011,0.0758613896346737,18
chronic_disease_8_2011,0.07249554878748353,19
depressed_frequency_2011,0.0672426275734905,20
systolic_bp_mean_2011,0.06665950579429578,21
newldl_2011,0.06474713949139624,22
newcrp_2011,0.05987076044284502,23
functional_difficulty_14_2011,0.05800308123776594,24
qc1_vb004_2011,0.052316710073997116,25
functional_difficulty_8_2011,0.05107232935691841,26
sad_or_depressed_2011,0.048324848244868795,27
newglu_2011,0.047854004843627146,28
waist_cm_2011,0.04693546017743977,29
weight_kg_2011,0.04558269716755231,30
functional_difficulty_7_2011,0.045470169596453676,31
alcohol_frequency_code_2011,0.04300999083827272,32
functional_difficulty_19_2011,0.04251157743868239,33
chronic_disease_12_2011,0.03916869941257532,34
functional_difficulty_18_2011,0.03654852524955343,35
chronic_disease_9_2011,0.035559274348226505,36
marital_code_2011,0.035141039253256214,37
bmi_to_fi_2011,0.033712774002376496,38
chronic_disease_6_2011,0.03258403629846686,39
functional_difficulty_4_2011,0.030582935428703384,40
chronic_disease_13_2011,0.02935457419364129,41
functional_difficulty_3_2011,0.028765920170313763,42
newhdl_2011,0.028290003705698143,43
functional_difficulty_5_2011,0.026804169421549236,44
functional_difficulty_17_2011,0.024084778078193335,45
chronic_disease_4_2011,0.023039744366786866,46
functional_difficulty_11_2011,0.02034405310703477,47
functional_difficulty_9_2011,0.019163654295020708,48
chronic_disease_11_2011,0.01711761096038422,49
functional_difficulty_13_2011,0.015321011305938733,50
functional_difficulty_20_2011,0.014268376275460876,51
functional_difficulty_10_2011,0.012657920235452333,52
current_smoking_2011,0.012554986626805148,53
functional_difficulty_16_2011,0.011486387720176744,54
chronic_disease_3_2011,0.008711837357215346,55
functional_difficulty_15_2011,0.004194834293515339,56
functional_difficulty_6_2011,0.003579607921645298,57
chronic_disease_14_2011,0.0007669434865985186,58
