feature,abs_correlation_to_target
fi_2011,0.12925153818849677
chronic_disease_1_2011,0.12502967047339633
health_compared_peer_2011,0.10542586780381233
functional_difficulty_1_2011,0.10153107078208526
fi_broad_exploratory_2011,0.10134807231567357
waist_cm_2011,0.09131290315843872
self_rated_health_2011,0.08795919235704064
chronic_disease_2_2011,0.08348880138274983
bmi_2011,0.07847333122577357
functional_difficulty_5_2011,0.07609314395480438
systolic_bp_mean_2011,0.07043459676494188
chronic_disease_5_2011,0.0689824182502916
functional_difficulty_6_2011,0.06678593924265573
bmi_to_fi_2011,0.061309079903291416
age_2011,0.06130047815279579
sex_code_2011,0.05823142859063823
sad_or_depressed_2011,0.05714034757151995
depressed_frequency_2011,0.05688072360313679
weight_kg_2011,0.0531143984223053
functional_difficulty_4_2011,0.05094424221784704
chronic_disease_3_2011,0.05046213149411899
newhba1c_2011,0.044778199423892766
chronic_disease_14_2011,0.044293916319716166
functional_difficulty_3_2011,0.0424175892079899
chronic_disease_13_2011,0.041298677852850074
chronic_disease_10_2011,0.040507433995447616
alcohol_frequency_code_2011,0.03944222289741945
current_smoking_2011,0.03622477582957224
newldl_2011,0.034334471975588636
newcho_2011,0.031051118505101095
newglu_2011,0.027280326214624343
functional_difficulty_8_2011,0.02662609509942627
functional_difficulty_14_2011,0.025016116763639497
functional_difficulty_12_2011,0.023980645926122937
functional_difficulty_19_2011,0.02345069904659287
chronic_disease_6_2011,0.020146714493996083
functional_difficulty_7_2011,0.018747618441495494
height_cm_2011,0.018483171799649863
functional_difficulty_16_2011,0.018451223525665406
functional_difficulty_20_2011,0.017936438630958385
functional_difficulty_17_2011,0.016836736479799712
functional_difficulty_18_2011,0.015643808337847353
chronic_disease_9_2011,0.013786538851155255
functional_difficulty_9_2011,0.013284132370037241
newhdl_2011,0.011167336932408704
education_code_2011,0.009511360909216103
functional_difficulty_10_2011,0.008371265696302166
functional_difficulty_15_2011,0.008056078375811498
chronic_disease_12_2011,0.007024129189707168
functional_difficulty_2_2011,0.006104992535613629
newcrp_2011,0.005965240046764087
functional_difficulty_11_2011,0.005446528222876842
marital_code_2011,0.003996284760146112
functional_difficulty_13_2011,0.003861956782691658
chronic_disease_4_2011,0.0026952678962648803
qc1_vb004_2011,0.0019540078193263713
chronic_disease_8_2011,0.00019253080151286888
chronic_disease_11_2011,0.00010459404679532722
