target_column,feature_set,model,status,message,threshold,roc_auc,pr_auc,f1,recall,precision,specificity,fpr,fnr,tn,fp,fn,tp,predicted_positive_rate,predicted_negative_rate
heart_related_event_by_2013,primary,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3561240760656717,0.6330316742081448,0.0559716118415862,0.0393873085339168,0.6,0.0203619909502262,0.5101809954751131,0.4898190045248868,0.4,1353,1299,18,27,0.4916573971078977,0.5083426028921023
heart_related_event_by_2013,primary,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.429540150120243,0.6605077928607339,0.0436889158725465,0.048076923076923,0.6666666666666666,0.0249376558603491,0.5576923076923077,0.4423076923076923,0.3333333333333333,1479,1173,15,30,0.4460511679644049,0.5539488320355951
heart_related_event_by_2013,primary,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.450194239616394,0.639693313222725,0.0294673330122302,0.0448493342676944,0.7111111111111111,0.0231548480463096,0.4909502262443438,0.5090497737556561,0.2888888888888888,1302,1350,13,32,0.5124212087504635,0.4875787912495365
heart_related_event_by_2013,primary,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.2657999797614601,0.6625398022456847,0.0390751597101035,0.0440028388928318,0.6888888888888889,0.0227272727272727,0.4973604826546003,0.5026395173453997,0.3111111111111111,1319,1333,14,31,0.5057471264367817,0.4942528735632183
heart_related_event_by_2013,primary,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4203116032163604,0.6454583542818838,0.0564225042151092,0.0438871473354232,0.6222222222222222,0.0227457351746547,0.5463800904977375,0.4536199095022624,0.3777777777777777,1449,1203,17,28,0.4564330737856878,0.5435669262143121
heart_related_event_by_2013,no_body_size_demographic,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3782708069173405,0.6480559745265627,0.0680191783656957,0.0431432973805855,0.6222222222222222,0.0223463687150838,0.5380844645550528,0.4619155354449472,0.3777777777777777,1427,1225,17,28,0.4645902855024101,0.5354097144975899
heart_related_event_by_2013,no_body_size_demographic,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.41669546978114,0.6521283727166081,0.0595639511133152,0.0458781362007168,0.7111111111111111,0.0237037037037037,0.5030165912518854,0.4969834087481146,0.2888888888888888,1334,1318,13,32,0.5005561735261401,0.4994438264738599
heart_related_event_by_2013,no_body_size_demographic,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3878481984138489,0.6355413105413106,0.038858378512553,0.0402830702231899,0.8222222222222222,0.0206473214285714,0.3382352941176471,0.6617647058823529,0.1777777777777777,897,1755,8,37,0.664441972562106,0.335558027437894
heart_related_event_by_2013,no_body_size_demographic,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3034468680057237,0.6800067035361154,0.047450893318603,0.0491659350307287,0.6222222222222222,0.0255941499085923,0.5980392156862745,0.4019607843137255,0.3777777777777777,1586,1066,17,28,0.4056358917315535,0.5943641082684464
heart_related_event_by_2013,no_body_size_demographic,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4191468910605472,0.6568292274174627,0.0527793309211032,0.0425531914893617,0.6,0.0220588235294117,0.5486425339366516,0.4513574660633484,0.4,1455,1197,18,27,0.453837597330367,0.546162402669633
