feature,importance,rank
chronic_disease_1_2011,37,1
newcho_2011,33,2
functional_difficulty_1_2011,32,3
fi_2011,28,4
systolic_bp_mean_2011,25,5
newldl_2011,23,6
newglu_2011,22,7
functional_difficulty_5_2011,21,8
alcohol_frequency_code_2011_3.0,21,9
newcrp_2011,19,10
fi_broad_exploratory_2011,16,11
qc1_vb004_2011,15,12
functional_difficulty_12_2011,15,13
chronic_disease_5_2011,13,14
health_compared_peer_2011_4.0,13,15
newhba1c_2011,7,16
self_rated_health_2011_5.0,7,17
chronic_disease_6_2011,5,18
chronic_disease_11_2011,5,19
sad_or_depressed_2011_3.0,5,20
education_code_2011_1.0,4,21
health_compared_peer_2011_1.0,4,22
functional_difficulty_9_2011,3,23
chronic_disease_2_2011,2,24
alcohol_frequency_code_2011_1.0,2,25
marital_code_2011_5.0,1,26
newhdl_2011,1,27
sad_or_depressed_2011_4.0,0,28
depressed_frequency_2011_1.0,0,29
sad_or_depressed_2011_1.0,0,30
marital_code_2011_3.0,0,31
marital_code_2011_2.0,0,32
marital_code_2011_1.0,0,33
education_code_2011_9.0,0,34
sad_or_depressed_2011_2.0,0,35
marital_code_2011_6.0,0,36
depressed_frequency_2011_4.0,0,37
marital_code_2011_4.0,0,38
depressed_frequency_2011_2.0,0,39
self_rated_health_2011_1.0,0,40
self_rated_health_2011_2.0,0,41
self_rated_health_2011_3.0,0,42
self_rated_health_2011_4.0,0,43
education_code_2011_7.0,0,44
health_compared_peer_2011_2.0,0,45
health_compared_peer_2011_3.0,0,46
health_compared_peer_2011_5.0,0,47
alcohol_frequency_code_2011_0.0,0,48
alcohol_frequency_code_2011_2.0,0,49
depressed_frequency_2011_3.0,0,50
education_code_2011_8.0,0,51
current_smoking_2011,0,52
education_code_2011_6.0,0,53
functional_difficulty_8_2011,0,54
chronic_disease_3_2011,0,55
chronic_disease_4_2011,0,56
chronic_disease_8_2011,0,57
chronic_disease_9_2011,0,58
chronic_disease_10_2011,0,59
chronic_disease_12_2011,0,60
chronic_disease_13_2011,0,61
chronic_disease_14_2011,0,62
functional_difficulty_2_2011,0,63
functional_difficulty_3_2011,0,64
functional_difficulty_4_2011,0,65
functional_difficulty_6_2011,0,66
functional_difficulty_7_2011,0,67
functional_difficulty_10_2011,0,68
education_code_2011_5.0,0,69
functional_difficulty_11_2011,0,70
functional_difficulty_13_2011,0,71
functional_difficulty_14_2011,0,72
functional_difficulty_15_2011,0,73
functional_difficulty_16_2011,0,74
functional_difficulty_17_2011,0,75
functional_difficulty_18_2011,0,76
functional_difficulty_19_2011,0,77
functional_difficulty_20_2011,0,78
bmi_to_fi_2011,0,79
education_code_2011_2.0,0,80
education_code_2011_3.0,0,81
education_code_2011_4.0,0,82
sad_or_depressed_2011_5.0,0,83
