feature,importance,rank
fi_broad_exploratory_2011,0.054110028,1
chronic_disease_1_2011,0.04758356,2
fi_2011,0.034828175,3
functional_difficulty_1_2011,0.033628505,4
bmi_to_fi_2011,0.028418383,5
chronic_disease_2_2011,0.027409183,6
chronic_disease_8_2011,0.027051046,7
depressed_frequency_2011_1.0,0.026965832,8
self_rated_health_2011_3.0,0.025672205,9
marital_code_2011_6.0,0.024152735,10
education_code_2011_5.0,0.023665253,11
chronic_disease_12_2011,0.023586564,12
systolic_bp_mean_2011,0.02349554,13
depressed_frequency_2011_3.0,0.022111084,14
newcho_2011,0.022014344,15
current_smoking_2011,0.021935992,16
functional_difficulty_14_2011,0.021663532,17
health_compared_peer_2011_2.0,0.021485938,18
chronic_disease_5_2011,0.021094553,19
marital_code_2011_1.0,0.020448642,20
newglu_2011,0.020374583,21
education_code_2011_2.0,0.020138167,22
newcrp_2011,0.019596167,23
marital_code_2011_2.0,0.019333936,24
newhdl_2011,0.01899175,25
alcohol_frequency_code_2011_2.0,0.018811394,26
functional_difficulty_6_2011,0.01877786,27
newhba1c_2011,0.018751094,28
health_compared_peer_2011_1.0,0.018306756,29
qc1_vb004_2011,0.01793222,30
sad_or_depressed_2011_2.0,0.017820172,31
newldl_2011,0.01674631,32
education_code_2011_1.0,0.016711881,33
functional_difficulty_15_2011,0.01669439,34
health_compared_peer_2011_4.0,0.016617281,35
education_code_2011_6.0,0.016230047,36
alcohol_frequency_code_2011_1.0,0.016035652,37
functional_difficulty_8_2011,0.015868122,38
functional_difficulty_12_2011,0.015433023,39
chronic_disease_11_2011,0.014980426,40
functional_difficulty_2_2011,0.014109494,41
education_code_2011_4.0,0.013450339,42
self_rated_health_2011_5.0,0.013318204,43
sad_or_depressed_2011_3.0,0.013307424,44
marital_code_2011_5.0,0.012408726,45
alcohol_frequency_code_2011_3.0,0.01091996,46
sad_or_depressed_2011_1.0,0.008526592,47
chronic_disease_10_2011,0.008486957,48
health_compared_peer_2011_5.0,0.0,49
alcohol_frequency_code_2011_0.0,0.0,50
self_rated_health_2011_2.0,0.0,51
health_compared_peer_2011_3.0,0.0,52
chronic_disease_6_2011,0.0,53
chronic_disease_4_2011,0.0,54
depressed_frequency_2011_2.0,0.0,55
chronic_disease_3_2011,0.0,56
depressed_frequency_2011_4.0,0.0,57
self_rated_health_2011_4.0,0.0,58
chronic_disease_9_2011,0.0,59
sad_or_depressed_2011_4.0,0.0,60
functional_difficulty_10_2011,0.0,61
education_code_2011_9.0,0.0,62
self_rated_health_2011_1.0,0.0,63
marital_code_2011_4.0,0.0,64
functional_difficulty_13_2011,0.0,65
functional_difficulty_9_2011,0.0,66
functional_difficulty_16_2011,0.0,67
functional_difficulty_17_2011,0.0,68
functional_difficulty_18_2011,0.0,69
functional_difficulty_19_2011,0.0,70
functional_difficulty_20_2011,0.0,71
functional_difficulty_7_2011,0.0,72
functional_difficulty_5_2011,0.0,73
functional_difficulty_4_2011,0.0,74
functional_difficulty_3_2011,0.0,75
chronic_disease_14_2011,0.0,76
education_code_2011_3.0,0.0,77
chronic_disease_13_2011,0.0,78
education_code_2011_7.0,0.0,79
education_code_2011_8.0,0.0,80
functional_difficulty_11_2011,0.0,81
education_code_2011_10.0,0.0,82
marital_code_2011_3.0,0.0,83
sad_or_depressed_2011_5.0,0.0,84
