feature,importance,rank
fi_broad_exploratory_2011,0.12851542509140093,1
fi_2011,0.08802213069843885,2
chronic_disease_1_2011,0.07737261331752888,3
waist_cm_2011,0.0654500376379215,4
age_2011,0.060948946633102144,5
bmi_2011,0.05623698092162811,6
functional_difficulty_1_2011,0.053584287666811094,7
weight_kg_2011,0.046237896060884374,8
chronic_disease_2_2011,0.03556633574991427,9
systolic_bp_mean_2011,0.0326775188672894,10
newcrp_2011,0.023498323095842554,11
newldl_2011,0.02235567824851206,12
newcho_2011,0.022178605803955292,13
height_cm_2011,0.021195674575366388,14
newhdl_2011,0.019562200833892835,15
sex_code_2011_2.0,0.016233732908236147,16
chronic_disease_5_2011,0.016078110784972104,17
newglu_2011,0.015919798023861162,18
qc1_vb004_2011,0.014833470417355252,19
functional_difficulty_6_2011,0.014456247061049666,20
newhba1c_2011,0.014005954177669559,21
sex_code_2011_1.0,0.012947681185443203,22
functional_difficulty_5_2011,0.012561706655070552,23
bmi_to_fi_2011,0.011312133407806995,24
chronic_disease_3_2011,0.006184041185363876,25
health_compared_peer_2011_4.0,0.005526982846662194,26
health_compared_peer_2011_1.0,0.005517119213069469,27
marital_code_2011_1.0,0.0045541731094925885,28
functional_difficulty_4_2011,0.004352406240876595,29
marital_code_2011_2.0,0.004005430467154792,30
self_rated_health_2011_5.0,0.0039027264403092552,31
depressed_frequency_2011_1.0,0.003682107280196786,32
chronic_disease_14_2011,0.0036413285023272055,33
self_rated_health_2011_3.0,0.003617867176889902,34
education_code_2011_2.0,0.0034165017896836116,35
current_smoking_2011,0.0033803120444638414,36
alcohol_frequency_code_2011_3.0,0.0032787840383146504,37
chronic_disease_10_2011,0.00327227399516302,38
health_compared_peer_2011_2.0,0.003205298729059442,39
alcohol_frequency_code_2011_1.0,0.0028806595114920343,40
functional_difficulty_14_2011,0.0028340279072971144,41
alcohol_frequency_code_2011_2.0,0.0024885340859949075,42
depressed_frequency_2011_4.0,0.002378003081771811,43
self_rated_health_2011_2.0,0.002322147954535013,44
functional_difficulty_2_2011,0.0022518771673139103,45
chronic_disease_13_2011,0.0021587391852549687,46
functional_difficulty_18_2011,0.0021106193857602477,47
health_compared_peer_2011_5.0,0.0020033113920271705,48
education_code_2011_5.0,0.001905740580761265,49
functional_difficulty_8_2011,0.0018328262364670617,50
education_code_2011_1.0,0.0018129551773469579,51
chronic_disease_8_2011,0.001802272873131868,52
marital_code_2011_5.0,0.0017586977672023856,53
self_rated_health_2011_4.0,0.0015606204180192268,54
education_code_2011_6.0,0.0015209435443632579,55
functional_difficulty_7_2011,0.0015066463179275109,56
functional_difficulty_13_2011,0.0013461950917803083,57
functional_difficulty_16_2011,0.0012807059206459558,58
health_compared_peer_2011_3.0,0.00127473366904089,59
depressed_frequency_2011_3.0,0.0012415672126175393,60
chronic_disease_6_2011,0.0011539748184976979,61
depressed_frequency_2011_2.0,0.0011374335732812612,62
functional_difficulty_12_2011,0.0011051659496107975,63
education_code_2011_4.0,0.001082271289319114,64
sad_or_depressed_2011_2.0,0.0010761887771105218,65
functional_difficulty_10_2011,0.0010196685140997262,66
marital_code_2011_6.0,0.0008781382068998883,67
chronic_disease_12_2011,0.0007791354587024234,68
functional_difficulty_19_2011,0.0007683567796140522,69
functional_difficulty_20_2011,0.000765865361985575,70
functional_difficulty_11_2011,0.0007200173927147538,71
chronic_disease_11_2011,0.0006785055159923488,72
functional_difficulty_15_2011,0.0006767473606740822,73
sad_or_depressed_2011_1.0,0.0006457011755776066,74
functional_difficulty_17_2011,0.0005178844521658327,75
functional_difficulty_3_2011,0.0004879369305528264,76
chronic_disease_9_2011,0.00046454800040258233,77
education_code_2011_7.0,0.00037061569565772964,78
sad_or_depressed_2011_3.0,0.00032553642085541174,79
chronic_disease_4_2011,0.0002907683703050826,80
sad_or_depressed_2011_4.0,0.0002795869827358812,81
functional_difficulty_9_2011,0.00024123286246655127,82
education_code_2011_3.0,0.00023376218636406577,83
education_code_2011_9.0,0.00022913694777095035,84
education_code_2011_8.0,0.00019222887759902968,85
alcohol_frequency_code_2011_0.0,0.00013707773678698352,86
marital_code_2011_4.0,8.291661319128058e-05,87
marital_code_2011_3.0,5.8892313027930086e-05,88
sad_or_depressed_2011_5.0,4.003807230611061e-05,89
self_rated_health_2011_1.0,0.0,90
sex_code_2011_0.0,0.0,91
education_code_2011_10.0,0.0,92
