,fi_2011,chronic_disease_1_2011,fi_broad_exploratory_2011,functional_difficulty_1_2011,health_compared_peer_2011,functional_difficulty_5_2011,self_rated_health_2011,functional_difficulty_6_2011,age_2011,waist_cm_2011,chronic_disease_2_2011,bmi_to_fi_2011,chronic_disease_3_2011,chronic_disease_5_2011,bmi_2011,functional_difficulty_4_2011,functional_difficulty_8_2011,functional_difficulty_19_2011,functional_difficulty_17_2011,functional_difficulty_16_2011
fi_2011,1.0,0.4553615245400586,0.5408671098906291,0.24553964145673615,0.3291957467747802,0.2930306901494302,0.3347062839482079,0.2603305358895599,0.13302835705946012,0.18970292734563018,0.16356365353044958,0.40945591520528263,0.2797189802076557,0.4032076149330918,0.19674045783893773,0.23735293224415482,0.14960312611497972,0.12467155502054253,0.14586587311767216,0.1444885462187666
chronic_disease_1_2011,0.4553615245400586,1.0,0.25621774198168334,0.12216246850733611,0.14097650917848428,0.12335218919055858,0.1381925312162862,0.09303567457615193,0.1546363592940229,0.2428706875859232,0.21935650577933716,0.1495668239712268,0.15395779273876523,0.015604988164577628,0.2184410577254642,0.0975627489127965,0.08580339262625507,0.07219551215805675,0.09529083353046337,0.0932667512292455
fi_broad_exploratory_2011,0.5408671098906291,0.25621774198168334,1.0,0.5273608798203495,0.5561068028477008,0.6251732836442141,0.5448017862462062,0.6254385460573343,0.3243241550810337,0.02819533627730506,0.14440366282395828,0.07372490052957718,0.15401015741912558,0.2266981431219601,-0.02513414202016576,0.608149528151433,0.5761139773887515,0.5101191916818358,0.6113755265882268,0.6313095359720187
functional_difficulty_1_2011,0.24553964145673615,0.12216246850733611,0.5273608798203495,1.0,0.3519252895637659,0.45447576712088156,0.3466094719225224,0.3564096119076213,0.28616511960012647,0.03888121697241126,0.04516789345481636,0.07825046102752807,0.06843257552630934,0.10900016095888444,-0.009253547488362416,0.34399855004145813,0.2800053936631,0.2129008269644305,0.22524734653442413,0.23980048969367795
health_compared_peer_2011,0.3291957467747802,0.14097650917848428,0.5561068028477008,0.3519252895637659,1.0,0.33651886249262286,,0.30701608434468547,0.13755722920032235,-0.04878894722260767,0.07717973220513517,0.028621669067921837,0.1104496655120459,0.15777259545390768,-0.07258750505791525,0.29494252631461115,0.27412150853350437,0.21878711123680694,0.25655626203980614,0.25788941720620157
functional_difficulty_5_2011,0.2930306901494302,0.12335218919055858,0.6251732836442141,0.45447576712088156,0.33651886249262286,1.0,0.33822961176212374,0.46993182809982315,0.238913244921787,0.06792274068175325,0.04740693557556103,0.07870095844861826,0.08210495744655674,0.1288145025293774,0.03136291360510432,0.47171775966697294,0.3359095910453476,0.2560062887299411,0.29579941767381224,0.3156212849070827
self_rated_health_2011,0.3347062839482079,0.1381925312162862,0.5448017862462062,0.3466094719225224,,0.33822961176212374,1.0,0.30387498136273244,0.13238691420422444,-0.05838278059943284,0.09098089810204074,0.020237309813148117,0.10067112505429868,0.13455861975953914,-0.0661841010850676,0.2810823245138173,0.2243259825792852,0.19319236049629201,0.2037543977327733,0.22134058526894781
functional_difficulty_6_2011,0.2603305358895599,0.09303567457615193,0.6254385460573343,0.3564096119076213,0.30701608434468547,0.46993182809982315,0.30387498136273244,1.0,0.20710863496773266,0.057670647153614356,0.038315318650546576,0.05933032340873247,0.06879180461255055,0.09143333870332394,0.02312241594680235,0.5073035105919568,0.3459150708052697,0.24732665728127848,0.30912121143458876,0.32896606780146226
age_2011,0.13302835705946012,0.1546363592940229,0.3243241550810337,0.28616511960012647,0.13755722920032235,0.238913244921787,0.13238691420422444,0.20710863496773266,1.0,-0.023683342269387717,0.006888912867083459,-0.006121337805080728,0.03432087669345265,0.11623849275074774,-0.19786992804490922,0.190336494924122,0.2763547880816155,0.21072531018419308,0.24316186996570358,0.24030977898277614
waist_cm_2011,0.18970292734563018,0.2428706875859232,0.02819533627730506,0.03888121697241126,-0.04878894722260767,0.06792274068175325,-0.05838278059943284,0.057670647153614356,-0.023683342269387717,1.0,0.17007133332161195,0.38929954365544306,0.13183933866367661,-0.04123093183799246,0.7730620550099554,0.04604004596815211,-0.01926267162910415,-0.04663840372787336,-0.007812289476768753,-0.006688943285297967
chronic_disease_2_2011,0.16356365353044958,0.21935650577933716,0.14440366282395828,0.04516789345481636,0.07717973220513517,0.04740693557556103,0.09098089810204074,0.038315318650546576,0.006888912867083459,0.17007133332161195,1.0,0.1112719958145781,0.19278979606253488,-0.006204392453858817,0.17057838101196832,0.03983476601069088,0.016029286356095972,0.005335445267028172,0.03568537434399986,0.026670871950264765
bmi_to_fi_2011,0.40945591520528263,0.1495668239712268,0.07372490052957718,0.07825046102752807,0.028621669067921837,0.07870095844861826,0.020237309813148117,0.05933032340873247,-0.006121337805080728,0.38929954365544306,0.1112719958145781,1.0,0.06581736244408079,0.01425819791757863,0.4569341825096547,0.052949038626804404,0.01823239273939127,0.00024536463284729527,0.00760219319193697,0.014222134898472183
chronic_disease_3_2011,0.2797189802076557,0.15395779273876523,0.15401015741912558,0.06843257552630934,0.1104496655120459,0.08210495744655674,0.10067112505429868,0.06879180461255055,0.03432087669345265,0.13183933866367661,0.19278979606253488,0.06581736244408079,1.0,0.011748273037448685,0.10826013456677656,0.057062722209049684,0.033176939998837425,0.028529545371750713,0.04527485288052027,0.03948483986595831
chronic_disease_5_2011,0.4032076149330918,0.015604988164577628,0.2266981431219601,0.10900016095888444,0.15777259545390768,0.1288145025293774,0.13455861975953914,0.09143333870332394,0.11623849275074774,-0.04123093183799246,-0.006204392453858817,0.01425819791757863,0.011748273037448685,1.0,-0.06999241829908753,0.07527100256033646,0.0810579155731592,0.04187036341261378,0.07655960332512013,0.07521334478446765
bmi_2011,0.19674045783893773,0.2184410577254642,-0.02513414202016576,-0.009253547488362416,-0.07258750505791525,0.03136291360510432,-0.0661841010850676,0.02312241594680235,-0.19786992804490922,0.7730620550099554,0.17057838101196832,0.4569341825096547,0.10826013456677656,-0.06999241829908753,1.0,0.02169708589620243,-0.06366188881524501,-0.0747215686771487,-0.05897603284068626,-0.05206014877186061
functional_difficulty_4_2011,0.23735293224415482,0.0975627489127965,0.608149528151433,0.34399855004145813,0.29494252631461115,0.47171775966697294,0.2810823245138173,0.5073035105919568,0.190336494924122,0.04604004596815211,0.03983476601069088,0.052949038626804404,0.057062722209049684,0.07527100256033646,0.02169708589620243,1.0,0.33086047682545594,0.24233397660794317,0.29124567852309063,0.3238041048230961
functional_difficulty_8_2011,0.14960312611497972,0.08580339262625507,0.5761139773887515,0.2800053936631,0.27412150853350437,0.3359095910453476,0.2243259825792852,0.3459150708052697,0.2763547880816155,-0.01926267162910415,0.016029286356095972,0.01823239273939127,0.033176939998837425,0.0810579155731592,-0.06366188881524501,0.33086047682545594,1.0,0.3139871733695315,0.4238796932678561,0.45030584667956036
functional_difficulty_19_2011,0.12467155502054253,0.07219551215805675,0.5101191916818358,0.2129008269644305,0.21878711123680694,0.2560062887299411,0.19319236049629201,0.24732665728127848,0.21072531018419308,-0.04663840372787336,0.005335445267028172,0.00024536463284729527,0.028529545371750713,0.04187036341261378,-0.0747215686771487,0.24233397660794317,0.3139871733695315,1.0,0.39117438615398087,0.3795313629552167
functional_difficulty_17_2011,0.14586587311767216,0.09529083353046337,0.6113755265882268,0.22524734653442413,0.25655626203980614,0.29579941767381224,0.2037543977327733,0.30912121143458876,0.24316186996570358,-0.007812289476768753,0.03568537434399986,0.00760219319193697,0.04527485288052027,0.07655960332512013,-0.05897603284068626,0.29124567852309063,0.4238796932678561,0.39117438615398087,1.0,0.723960426584153
functional_difficulty_16_2011,0.1444885462187666,0.0932667512292455,0.6313095359720187,0.23980048969367795,0.25788941720620157,0.3156212849070827,0.22134058526894781,0.32896606780146226,0.24030977898277614,-0.006688943285297967,0.026670871950264765,0.014222134898472183,0.03948483986595831,0.07521334478446765,-0.05206014877186061,0.3238041048230961,0.45030584667956036,0.3795313629552167,0.723960426584153,1.0
