,fi_2011,chronic_disease_1_2011,health_compared_peer_2011,fi_broad_exploratory_2011,functional_difficulty_1_2011,waist_cm_2011,bmi_2011,chronic_disease_2_2011,self_rated_health_2011,functional_difficulty_5_2011,functional_difficulty_6_2011,systolic_bp_mean_2011,chronic_disease_5_2011,sex_code_2011,bmi_to_fi_2011,weight_kg_2011,chronic_disease_3_2011,depressed_frequency_2011,functional_difficulty_4_2011,sad_or_depressed_2011
fi_2011,1.0,0.4552378411682402,0.32969285498075973,0.5422972860277955,0.24694391387780446,0.18823616467491402,0.19608022886568086,0.16307541665039452,0.33509270236469085,0.2930003905296006,0.2611553649466083,0.1494563682443428,0.40260305874924973,0.0631968019546969,0.41002820770112114,0.10914648702796863,0.2806654628913061,0.18215575514938018,0.23805236444980088,0.17965513712384074
chronic_disease_1_2011,0.4552378411682402,1.0,0.14173230753559468,0.2563415481266015,0.1227228071606145,0.2417212303862085,0.21673471417608886,0.21859925392136867,0.13778760878654478,0.1233433832344289,0.09271919999251284,0.3607999575923512,0.014873927503747018,0.02021800859436402,0.14859289129942851,0.17302880305046467,0.15588865504340993,0.024255816422021678,0.09783714659736573,0.021822864494117387
health_compared_peer_2011,0.32969285498075973,0.14173230753559468,1.0,0.5569678223453103,0.3521648566486308,-0.04932587959496161,-0.07302926269138318,0.07660022437925905,,0.33688219822414417,0.3081069081033079,0.02255747970776314,0.157207831374887,0.08300976243815505,0.028681907104312072,-0.13881098733338626,0.11305812324063962,0.28628593330772684,0.2947041746631025,0.2596978233039308
fi_broad_exploratory_2011,0.5422972860277955,0.2563415481266015,0.5569678223453103,1.0,0.5279162228460386,0.027687793433471174,-0.025147805294254897,0.1439676091305425,0.545556595261795,0.6245740716353049,0.6250632703628006,0.10838871061262487,0.22703282592056,0.1271399679473402,0.07532003314119205,-0.13891256777890232,0.15703074373873085,0.42786213910865445,0.6075472598349352,0.44862832152392734
functional_difficulty_1_2011,0.24694391387780446,0.1227228071606145,0.3521648566486308,0.5279162228460386,1.0,0.04021393238233907,-0.008211446861151363,0.044401702505905874,0.3487438700606472,0.454697126146408,0.35644411960940064,0.09129197472672468,0.10941041160751139,0.16128064431764216,0.07916864625928932,-0.12281613197197908,0.07018399549428954,0.21904859608175867,0.3436886569087513,0.17815998421387177
waist_cm_2011,0.18823616467491402,0.2417212303862085,-0.04932587959496161,0.027687793433471174,0.04021393238233907,1.0,0.7734205235942525,0.16880421545196356,-0.05765609422150784,0.06769106695836821,0.058552717259491044,0.21144449783764424,-0.04088972864327025,0.023478315127759077,0.38955295702516374,0.7195359353957989,0.13226872236543222,-0.057985682667676744,0.04402587604402139,-0.07719027125545704
bmi_2011,0.19608022886568086,0.21673471417608886,-0.07302926269138318,-0.025147805294254897,-0.008211446861151363,0.7734205235942525,1.0,0.16929476633173685,-0.06616037366228368,0.03147111246904594,0.024222818988815512,0.15361736639181608,-0.06987492388466077,0.11783364050710568,0.45869014593145063,0.8288785522816318,0.10834082848340953,-0.05739769682678443,0.02130222995491042,-0.07377974814257032
chronic_disease_2_2011,0.16307541665039452,0.21859925392136867,0.07660022437925905,0.1439676091305425,0.044401702505905874,0.16880421545196356,0.16929476633173685,1.0,0.08954206064698406,0.047615390839923576,0.037794972009306274,0.05698048214825408,-0.005698758288803828,-0.0030912976626114377,0.11036906795936771,0.16699078717144122,0.19355622715125745,0.005125057956363809,0.03929187774157685,-0.02390739917430939
self_rated_health_2011,0.33509270236469085,0.13778760878654478,,0.545556595261795,0.3487438700606472,-0.05765609422150784,-0.06616037366228368,0.08954206064698406,1.0,0.3377168760758445,0.3042630851268342,0.04533523338156141,0.13499854953512175,0.08418444087893456,0.021108141454725494,-0.13615930842450097,0.10128683494953936,0.2701020562510935,0.2820522495966881,0.2265875766509538
functional_difficulty_5_2011,0.2930003905296006,0.1233433832344289,0.33688219822414417,0.6245740716353049,0.454697126146408,0.06769106695836821,0.03147111246904594,0.047615390839923576,0.3377168760758445,1.0,0.4692569684896739,0.05555791762183409,0.12838461639106644,0.15074596980051255,0.07884110235777554,-0.07647491289680114,0.08358810194980208,0.23742315041172907,0.4712288690585919,0.21789972943820918
