feature,abs_correlation_to_target
fi_2011,0.12659295672930979
chronic_disease_1_2011,0.12400416487973433
health_compared_peer_2011,0.1020114407393104
fi_broad_exploratory_2011,0.09918782736420294
functional_difficulty_1_2011,0.0991115475529827
waist_cm_2011,0.09726169413483085
bmi_2011,0.08705983322193456
chronic_disease_2_2011,0.08386847015620207
self_rated_health_2011,0.08169365848864683
functional_difficulty_5_2011,0.0765039692659705
functional_difficulty_6_2011,0.06959104825936381
systolic_bp_mean_2011,0.06403265329277012
chronic_disease_5_2011,0.06322148599846182
sex_code_2011,0.06281022263368635
bmi_to_fi_2011,0.060414359736456015
weight_kg_2011,0.06012450487533163
chronic_disease_3_2011,0.051923169811865594
depressed_frequency_2011,0.05144581960304835
functional_difficulty_4_2011,0.050349522284802946
sad_or_depressed_2011,0.05003153088245614
age_2011,0.04940475598660009
alcohol_frequency_code_2011,0.04431319445025565
current_smoking_2011,0.04210737662814983
functional_difficulty_3_2011,0.04178889909418672
chronic_disease_10_2011,0.04089866292918703
chronic_disease_14_2011,0.04061766017325901
chronic_disease_13_2011,0.040173598839343905
newhba1c_2011,0.03794172242410175
newldl_2011,0.0326036659056998
newcho_2011,0.029908632856686677
functional_difficulty_12_2011,0.026922920194705026
functional_difficulty_14_2011,0.024669008999360982
functional_difficulty_8_2011,0.024517735351443002
functional_difficulty_19_2011,0.02340731848884846
chronic_disease_6_2011,0.02252324701220633
functional_difficulty_20_2011,0.019489589355227103
functional_difficulty_7_2011,0.018669293968470908
height_cm_2011,0.01829598717756409
functional_difficulty_18_2011,0.017565657539823323
functional_difficulty_16_2011,0.01687217362513412
newglu_2011,0.016732496826856496
functional_difficulty_17_2011,0.014876509479946416
chronic_disease_9_2011,0.014063975466819902
newhdl_2011,0.013447205682752202
functional_difficulty_9_2011,0.011855284068900391
newcrp_2011,0.010294704965045944
functional_difficulty_10_2011,0.009277550617554956
functional_difficulty_15_2011,0.009206852215067701
education_code_2011,0.007359092537915944
functional_difficulty_2_2011,0.006643926225591698
chronic_disease_12_2011,0.0056759932483861865
functional_difficulty_11_2011,0.005489802195079176
functional_difficulty_13_2011,0.004893018208357371
marital_code_2011,0.004206093651194429
chronic_disease_8_2011,0.0009436644486568253
chronic_disease_4_2011,0.0006672704156422169
chronic_disease_11_2011,0.00024958321746659985
qc1_vb004_2011,0.00018160736425337643
