,fi_2011,chronic_disease_1_2011,health_compared_peer_2011,functional_difficulty_1_2011,fi_broad_exploratory_2011,waist_cm_2011,self_rated_health_2011,chronic_disease_2_2011,bmi_2011,functional_difficulty_5_2011,systolic_bp_mean_2011,chronic_disease_5_2011,functional_difficulty_6_2011,bmi_to_fi_2011,age_2011,sex_code_2011,sad_or_depressed_2011,depressed_frequency_2011,weight_kg_2011,functional_difficulty_4_2011
fi_2011,1.0,0.45597991836743645,0.3302754944987326,0.24828881842385672,0.5431700879601711,0.18886585579249734,0.3361248906045054,0.16290765628918633,0.19624663599425496,0.2933886385847252,0.1494141958357885,0.4017574259403922,0.26219467012216247,0.4108736461548419,0.1359668728744444,0.06382885816061937,0.1803430475382408,0.18269091782660984,0.10865812157513279,0.23885624772376615
chronic_disease_1_2011,0.45597991836743645,1.0,0.14263899276053704,0.12378103724774808,0.25762436915359005,0.2419368000353647,0.13807704610067675,0.2172507819075985,0.21760460589974165,0.12311920668687741,0.36021432882172033,0.014335303565866386,0.09438725826514531,0.14896761515012294,0.1562191745687187,0.020784721098512555,0.021271789425719053,0.02451689206922585,0.1732888294280321,0.09922710617808823
health_compared_peer_2011,0.3302754944987326,0.14263899276053704,1.0,0.3534535464369552,0.5571235859913365,-0.04863345311728533,,0.07586103681035089,-0.07201178061823654,0.3351724966767606,0.023280813061909163,0.15616116903446522,0.30900631672312867,0.030681563095560936,0.14135396684544513,0.08371891018775834,0.2580437617675554,0.285699442623169,-0.13805921699270948,0.29423726151538754
functional_difficulty_1_2011,0.24828881842385672,0.12378103724774808,0.3534535464369552,1.0,0.5292044693823853,0.04037197777747574,0.3493477280626188,0.04431039304025177,-0.008333422882494616,0.45443607743943104,0.09132964955805098,0.10962488531829175,0.3579154030257637,0.0788295165908979,0.287251837941427,0.16102635429568699,0.18034609774355556,0.21947279627561803,-0.12276090681140041,0.3445080695620092
fi_broad_exploratory_2011,0.5431700879601711,0.25762436915359005,0.5571235859913365,0.5292044693823853,1.0,0.028449424477012986,0.5450179818975454,0.1433081087599662,-0.02394237247785046,0.6241480856674694,0.10891498886922583,0.22694758886353647,0.6250711549251142,0.07558346301996433,0.3256871078369465,0.1273090635048661,0.44904882404154783,0.4276230395865975,-0.1382799156130836,0.6077693395550098
waist_cm_2011,0.18886585579249734,0.2419368000353647,-0.04863345311728533,0.04037197777747574,0.028449424477012986,1.0,-0.05684887829229342,0.1687076141471261,0.7730057817935679,0.0681444899358151,0.20998297511391673,-0.04094208185647921,0.0591638764647688,0.38950030600164337,-0.020154200517692098,0.0228112824207573,-0.07866043786384286,-0.05853625432417615,0.7195793166010651,0.044575921084764894
self_rated_health_2011,0.3361248906045054,0.13807704610067675,,0.3493477280626188,0.5450179818975454,-0.05684887829229342,1.0,0.08997882048616311,-0.06549229606155693,0.3373091698039923,0.04560828004309618,0.13561376648737014,0.3037512428133394,0.02177005133488265,0.13240590434353494,0.08437130365444585,0.2267651940195123,0.27013150294496685,-0.1359178712523683,0.2823778500501968
chronic_disease_2_2011,0.16290765628918633,0.2172507819075985,0.07586103681035089,0.04431039304025177,0.1433081087599662,0.1687076141471261,0.08997882048616311,1.0,0.16909534038136295,0.04675305525210194,0.056199999280147954,-0.005315446754425198,0.037217683991183505,0.1099486094268899,0.009319428762584724,-0.0029645807646096417,-0.025867664961377063,0.004418264176796926,0.16690375174716904,0.03855557304037327
bmi_2011,0.19624663599425496,0.21760460589974165,-0.07201178061823654,-0.008333422882494616,-0.02394237247785046,0.7730057817935679,-0.06549229606155693,0.16909534038136295,1.0,0.03243175429513431,0.1516770406530311,-0.07002909355952648,0.025191544520719287,0.45791587885454965,-0.19402807676960743,0.117015324170181,-0.07477820373260612,-0.05715205871535447,0.8288784754223978,0.022861199658215176
functional_difficulty_5_2011,0.2933886385847252,0.12311920668687741,0.3351724966767606,0.45443607743943104,0.6241480856674694,0.0681444899358151,0.3373091698039923,0.04675305525210194,0.03243175429513431,1.0,0.05509601419337282,0.128749455567085,0.46827279541749384,0.0797566605612803,0.2399268624184016,0.14999930036823828,0.2188622116488583,0.237685885822765,-0.07601608684317254,0.4704512467706696
systolic_bp_mean_2011,0.1494141958357885,0.36021432882172033,0.023280813061909163,0.09132964955805098,0.10891498886922583,0.20998297511391673,0.04560828004309618,0.056199999280147954,0.1516770406530311,0.05509601419337282,1.0,0.009964530006559775,0.052613574292032526,0.1055318190373569,0.2690727485983886,-0.0018677143586482154,-0.004835318150860138,-0.021757922398815296,0.0977176647166217,0.05044969367796057
chronic_disease_5_2011,0.4017574259403922,0.014335303565866386,0.15616116903446522,0.10962488531829175,0.22694758886353647,-0.04094208185647921,0.13561376648737014,-0.005315446754425198,-0.07002909355952648,0.128749455567085,0.009964530006559775,1.0,0.09266087146165695,0.015968021232311627,0.11660820740660184,-0.06299916961303129,0.08375639145657816,0.06670874717688931,-0.06955556922059622,0.07489894137152923
functional_difficulty_6_2011,0.26219467012216247,0.09438725826514531,0.30900631672312867,0.3579154030257637,0.6250711549251142,0.0591638764647688,0.3037512428133394,0.037217683991183505,0.025191544520719287,0.46827279541749384,0.052613574292032526,0.09266087146165695,1.0,0.0604306214700016,0.20809849094800265,0.09870756400075226,0.21875050962202605,0.22531975494841566,-0.05077908410905253,0.5076369493890858
bmi_to_fi_2011,0.4108736461548419,0.14896761515012294,0.030681563095560936,0.0788295165908979,0.07558346301996433,0.38950030600164337,0.02177005133488265,0.1099486094268899,0.45791587885454965,0.0797566605612803,0.1055318190373569,0.015968021232311627,0.0604306214700016,1.0,-0.003116922778204699,0.11255427242409966,0.018556095283942003,0.0025722175481883106,0.357584661162231,0.0534467489777144
