feature,importance,rank
fi_2011,0.09198610856337115,1
functional_difficulty_1_2011,0.09181526431151488,2
fi_broad_exploratory_2011,0.09170380537990261,3
chronic_disease_1_2011,0.060290502403432276,4
fi_high_2011,0.05296386302994325,5
pulse_pressure_2011,0.03884710423276683,6
fi_broad_high_2011,0.03621684546382727,7
diastolic_bp_mean_2011,0.034981878092413876,8
systolic_bp_mean_2011,0.03475970576676907,9
chronic_disease_5_2011,0.03310181714704205,10
newglu_2011,0.031996277205925946,11
newcho_2011,0.031047900672937147,12
functional_difficulty_6_2011,0.030083053275375048,13
qc1_vb004_2011,0.028114598555919974,14
bmi_to_fi_2011,0.02378187509063262,15
newhdl_2011,0.02271255359461803,16
newcrp_2011,0.022473655080205122,17
newldl_2011,0.021728683705940485,18
alcohol_frequency_code_2011_1.0,0.02039147076998079,19
alcohol_frequency_code_2011_3.0,0.01660556176620801,20
functional_difficulty_5_2011,0.012465467094911264,21
functional_difficulty_19_2011,0.012407043024394333,22
newhba1c_2011,0.012205235393528613,23
chronic_disease_14_2011,0.011804381224579736,24
health_compared_peer_2011_4.0,0.010230123964870948,25
depressed_frequency_2011_3.0,0.009911080314548158,26
self_rated_health_2011_3.0,0.007936059931711602,27
functional_difficulty_13_2011,0.007874310210508145,28
marital_code_2011_1.0,0.006729871097412243,29
self_rated_health_2011_5.0,0.005613064712802777,30
functional_difficulty_4_2011,0.005074707204270732,31
depressed_frequency_2011_2.0,0.004644807754128,32
functional_difficulty_16_2011,0.004531351181683428,33
functional_difficulty_7_2011,0.00438400535655341,34
functional_difficulty_8_2011,0.003741686052100312,35
chronic_disease_10_2011,0.003703333473315494,36
education_code_2011_4.0,0.0033389046402942575,37
current_smoking_2011,0.003276402222885946,38
functional_difficulty_2_2011,0.003062488008233158,39
functional_difficulty_11_2011,0.0028118103244472686,40
chronic_disease_3_2011,0.0023924647250959125,41
depressed_frequency_2011_1.0,0.002355808903518954,42
functional_difficulty_15_2011,0.00232117680826577,43
education_code_2011_1.0,0.0020075573585685313,44
high_bp_measured_2011,0.001985021385536104,45
functional_difficulty_14_2011,0.001969013684996957,46
chronic_disease_13_2011,0.0019460602866408865,47
marital_code_2011_4.0,0.0019201310372710088,48
depressed_frequency_2011_4.0,0.0016462922277205936,49
functional_difficulty_17_2011,0.0016341347895608986,50
chronic_disease_12_2011,0.0015743260509116063,51
chronic_disease_11_2011,0.0015400350608888137,52
functional_difficulty_18_2011,0.0015388262412399383,53
chronic_disease_6_2011,0.001500346280321645,54
chronic_disease_2_2011,0.0014431895464023345,55
marital_code_2011_5.0,0.0012896693605191742,56
sad_or_depressed_2011_3.0,0.0012032976632951498,57
functional_difficulty_9_2011,0.0011509665976299943,58
functional_difficulty_12_2011,0.001143008395656146,59
health_compared_peer_2011_5.0,0.0011406257722657118,60
sad_or_depressed_2011_1.0,0.0011331177996158157,61
education_code_2011_7.0,0.0011243596703385283,62
functional_difficulty_20_2011,0.0011192901576951607,63
health_compared_peer_2011_3.0,0.0010457021490044478,64
self_rated_health_2011_2.0,0.0010292400396107054,65
chronic_disease_9_2011,0.0010250481691278564,66
education_code_2011_2.0,0.0010030364767720386,67
alcohol_frequency_code_2011_2.0,0.0009465796079408366,68
sad_or_depressed_2011_4.0,0.0009066423357516059,69
marital_code_2011_2.0,0.0007413566212231917,70
education_code_2011_5.0,0.0006934199825705109,71
health_compared_peer_2011_2.0,0.0006697718811452631,72
self_rated_health_2011_1.0,0.0006491462762408024,73
self_rated_health_2011_4.0,0.0006484991969199628,74
education_code_2011_8.0,0.0004387531935539665,75
health_compared_peer_2011_1.0,0.0004210321175430125,76
education_code_2011_6.0,0.00038591463210938556,77
functional_difficulty_10_2011,0.00037824507880292646,78
sad_or_depressed_2011_2.0,0.0002989280936724316,79
education_code_2011_9.0,0.0002913070481489581,80
functional_difficulty_3_2011,1.3011262044375288e-16,81
chronic_disease_8_2011,8.82609659096142e-17,82
chronic_disease_4_2011,0.0,83
alcohol_frequency_code_2011_0.0,0.0,84
marital_code_2011_6.0,0.0,85
marital_code_2011_3.0,0.0,86
education_code_2011_10.0,0.0,87
education_code_2011_3.0,0.0,88
sad_or_depressed_2011_5.0,0.0,89
