feature,importance,rank
diastolic_bp_mean_2011,36,1
weight_kg_2011,28,2
fi_broad_age_interaction_2011,27,3
waist_height_ratio_2011,25,4
newcho_2011,25,5
chronic_disease_1_2011,21,6
pulse_pressure_2011,21,7
chronic_disease_5_2011,18,8
fi_age_interaction_2011,17,9
newglu_2011,16,10
systolic_bp_mean_2011,14,11
age_2011,13,12
fi_2011,10,13
fi_broad_exploratory_2011,10,14
functional_difficulty_1_2011,10,15
sex_code_2011_1.0,10,16
height_cm_2011,10,17
alcohol_frequency_code_2011_1.0,9,18
newldl_2011,9,19
newcrp_2011,8,20
waist_cm_2011,7,21
depressed_frequency_2011_4.0,5,22
qc1_vb004_2011,5,23
newhba1c_2011,4,24
bmi_2011,4,25
bmi_to_fi_2011,3,26
chronic_disease_14_2011,2,27
sad_or_depressed_2011_2.0,2,28
functional_difficulty_11_2011,2,29
marital_code_2011_1.0,1,30
sex_code_2011_2.0,1,31
alcohol_frequency_code_2011_3.0,1,32
marital_code_2011_4.0,0,33
health_compared_peer_2011_3.0,0,34
sad_or_depressed_2011_4.0,0,35
sad_or_depressed_2011_3.0,0,36
sad_or_depressed_2011_1.0,0,37
depressed_frequency_2011_3.0,0,38
depressed_frequency_2011_2.0,0,39
education_code_2011_3.0,0,40
depressed_frequency_2011_1.0,0,41
alcohol_frequency_code_2011_2.0,0,42
alcohol_frequency_code_2011_0.0,0,43
education_code_2011_4.0,0,44
education_code_2011_5.0,0,45
health_compared_peer_2011_5.0,0,46
health_compared_peer_2011_4.0,0,47
education_code_2011_6.0,0,48
education_code_2011_2.0,0,49
health_compared_peer_2011_2.0,0,50
health_compared_peer_2011_1.0,0,51
self_rated_health_2011_5.0,0,52
self_rated_health_2011_4.0,0,53
education_code_2011_7.0,0,54
education_code_2011_8.0,0,55
education_code_2011_9.0,0,56
education_code_2011_10.0,0,57
self_rated_health_2011_3.0,0,58
self_rated_health_2011_2.0,0,59
self_rated_health_2011_1.0,0,60
marital_code_2011_6.0,0,61
marital_code_2011_5.0,0,62
marital_code_2011_2.0,0,63
marital_code_2011_3.0,0,64
fi_high_2011,0,65
education_code_2011_1.0,0,66
chronic_disease_12_2011,0,67
functional_difficulty_7_2011,0,68
functional_difficulty_6_2011,0,69
functional_difficulty_5_2011,0,70
functional_difficulty_4_2011,0,71
functional_difficulty_3_2011,0,72
functional_difficulty_2_2011,0,73
chronic_disease_13_2011,0,74
chronic_disease_11_2011,0,75
newhdl_2011,0,76
chronic_disease_10_2011,0,77
chronic_disease_9_2011,0,78
chronic_disease_8_2011,0,79
chronic_disease_6_2011,0,80
chronic_disease_4_2011,0,81
chronic_disease_3_2011,0,82
chronic_disease_2_2011,0,83
functional_difficulty_8_2011,0,84
functional_difficulty_9_2011,0,85
functional_difficulty_10_2011,0,86
functional_difficulty_12_2011,0,87
fi_broad_high_2011,0,88
current_smoking_2011,0,89
high_bp_measured_2011,0,90
central_obesity_2011,0,91
bmi_obesity_2011,0,92
bmi_overweight_2011,0,93
bmi_underweight_2011,0,94
functional_difficulty_20_2011,0,95
functional_difficulty_19_2011,0,96
functional_difficulty_18_2011,0,97
functional_difficulty_17_2011,0,98
functional_difficulty_16_2011,0,99
functional_difficulty_15_2011,0,100
functional_difficulty_14_2011,0,101
functional_difficulty_13_2011,0,102
sad_or_depressed_2011_5.0,0,103
