feature,importance,rank
fi_broad_exploratory_2011,0.8043547880013903,1
depressed_frequency_2011_4.0,0.5930019375836056,2
self_rated_health_2011_3.0,0.530682702459547,3
self_rated_health_2011_1.0,0.5150205236777,4
sad_or_depressed_2011_3.0,0.5009429441875423,5
sex_code_2011_2.0,0.4434324180463494,6
sex_code_2011_1.0,0.441921014697269,7
marital_code_2011_4.0,0.3961466440934584,8
education_code_2011_2.0,0.391068020258933,9
central_obesity_2011,0.38513304556531214,10
depressed_frequency_2011_2.0,0.37387411135466647,11
fi_high_2011,0.35954435868394075,12
health_compared_peer_2011_1.0,0.355816516381752,13
weight_kg_2011,0.3461728458160801,14
marital_code_2011_1.0,0.3440096047084187,15
sad_or_depressed_2011_4.0,0.34191907871905003,16
sad_or_depressed_2011_1.0,0.30571481252381494,17
education_code_2011_9.0,0.2933870637384414,18
education_code_2011_7.0,0.2844560203635806,19
high_bp_measured_2011,0.28278081020276324,20
bmi_overweight_2011,0.2819905099539317,21
self_rated_health_2011_5.0,0.28086992602475525,22
chronic_disease_1_2011,0.28064515076590685,23
functional_difficulty_1_2011,0.27677668477899947,24
self_rated_health_2011_2.0,0.2748505633155872,25
marital_code_2011_3.0,0.26267256321941485,26
newglu_2011,0.24523335813929387,27
depressed_frequency_2011_3.0,0.22910258061415747,28
alcohol_frequency_code_2011_3.0,0.22161263055610286,29
fi_age_interaction_2011,0.20294469661307388,30
functional_difficulty_12_2011,0.19368933810856268,31
bmi_to_fi_2011,0.19040021808999247,32
current_smoking_2011,0.18526906477399974,33
waist_height_ratio_2011,0.17805556590194793,34
functional_difficulty_7_2011,0.1765819673524006,35
chronic_disease_11_2011,0.17183029081489268,36
newcho_2011,0.16802894976523872,37
fi_broad_high_2011,0.16752751257662304,38
chronic_disease_13_2011,0.1541300757105166,39
functional_difficulty_4_2011,0.14951111133342612,40
pulse_pressure_2011,0.1468745812000467,41
marital_code_2011_5.0,0.1452917893704732,42
chronic_disease_5_2011,0.14455154098222994,43
health_compared_peer_2011_5.0,0.1360027023252084,44
chronic_disease_9_2011,0.13444421782962035,45
newhba1c_2011,0.13304652278853402,46
health_compared_peer_2011_4.0,0.1329083603583713,47
systolic_bp_mean_2011,0.13199760183181591,48
alcohol_frequency_code_2011_1.0,0.12761509476052227,49
chronic_disease_8_2011,0.12653496315624174,50
functional_difficulty_15_2011,0.12490251233048967,51
sad_or_depressed_2011_5.0,0.12467341171993547,52
functional_difficulty_16_2011,0.11489935431457157,53
functional_difficulty_18_2011,0.11232980621085184,54
height_cm_2011,0.10755725299583115,55
chronic_disease_4_2011,0.10086009783334969,56
functional_difficulty_5_2011,0.09606795495464902,57
health_compared_peer_2011_2.0,0.09518275818553025,58
chronic_disease_6_2011,0.08689728229994306,59
functional_difficulty_14_2011,0.08101859784376818,60
education_code_2011_3.0,0.07848759738747747,61
waist_cm_2011,0.07604987174205152,62
functional_difficulty_11_2011,0.07570480510306327,63
chronic_disease_14_2011,0.07438662240055707,64
bmi_underweight_2011,0.07193823048616342,65
functional_difficulty_17_2011,0.07123596143593161,66
education_code_2011_1.0,0.07099216956163679,67
education_code_2011_8.0,0.06809900676396034,68
education_code_2011_4.0,0.06733393363066609,69
marital_code_2011_6.0,0.06623576754834687,70
chronic_disease_12_2011,0.06469439082996303,71
functional_difficulty_6_2011,0.06341354042946752,72
age_2011,0.0557381457196665,73
diastolic_bp_mean_2011,0.055402287567645696,74
alcohol_frequency_code_2011_2.0,0.04711993766547687,75
alcohol_frequency_code_2011_0.0,0.04536619478102294,76
functional_difficulty_3_2011,0.04206271372612221,77
functional_difficulty_2_2011,0.04154821232164458,78
education_code_2011_5.0,0.040364562292456906,79
fi_2011,0.03596650469228014,80
functional_difficulty_19_2011,0.03430308916081405,81
bmi_2011,0.033808020478535664,82
chronic_disease_3_2011,0.03329977245065635,83
functional_difficulty_20_2011,0.03291539756944417,84
qc1_vb004_2011,0.028026667613011275,85
functional_difficulty_13_2011,0.02750060016287058,86
chronic_disease_10_2011,0.026389738289408844,87
newhdl_2011,0.02611587988646076,88
functional_difficulty_8_2011,0.023897593831876042,89
functional_difficulty_10_2011,0.021639007594470187,90
bmi_obesity_2011,0.021595869472466805,91
newldl_2011,0.021593315239744334,92
sad_or_depressed_2011_2.0,0.020506131986305458,93
functional_difficulty_9_2011,0.018416807542894417,94
newcrp_2011,0.014757841261894212,95
fi_broad_age_interaction_2011,0.014046955648852073,96
chronic_disease_2_2011,0.013579254657955205,97
self_rated_health_2011_4.0,0.011154219421758536,98
education_code_2011_6.0,0.011048673940583531,99
depressed_frequency_2011_1.0,0.008463351036140692,100
education_code_2011_10.0,0.007233078326314463,101
health_compared_peer_2011_3.0,0.006765901138273792,102
marital_code_2011_2.0,0.0005193702646385297,103
