feature,importance,rank
fi_broad_age_interaction_2011,0.05209445,1
central_obesity_2011,0.04854141,2
fi_2011,0.046950087,3
chronic_disease_1_2011,0.045887336,4
fi_broad_exploratory_2011,0.024700565,5
functional_difficulty_1_2011,0.022498587,6
bmi_2011,0.022292746,7
age_2011,0.022209728,8
sex_code_2011_1.0,0.02157802,9
waist_cm_2011,0.021087611,10
chronic_disease_2_2011,0.020599896,11
chronic_disease_5_2011,0.019727666,12
functional_difficulty_17_2011,0.019579282,13
functional_difficulty_14_2011,0.019311579,14
fi_age_interaction_2011,0.018874347,15
sex_code_2011_2.0,0.018673452,16
waist_height_ratio_2011,0.018155405,17
education_code_2011_1.0,0.017986605,18
functional_difficulty_2_2011,0.017454553,19
marital_code_2011_1.0,0.017436642,20
weight_kg_2011,0.016588746,21
education_code_2011_2.0,0.016154103,22
self_rated_health_2011_3.0,0.015851226,23
height_cm_2011,0.01578416,24
health_compared_peer_2011_1.0,0.014999845,25
alcohol_frequency_code_2011_3.0,0.014879244,26
chronic_disease_4_2011,0.0148273,27
newcrp_2011,0.014650381,28
chronic_disease_10_2011,0.01395195,29
depressed_frequency_2011_4.0,0.013803264,30
newglu_2011,0.013779453,31
pulse_pressure_2011,0.01374336,32
newldl_2011,0.013111751,33
newhdl_2011,0.013043432,34
systolic_bp_mean_2011,0.012859775,35
alcohol_frequency_code_2011_1.0,0.012764677,36
health_compared_peer_2011_4.0,0.012728189,37
newcho_2011,0.012709232,38
chronic_disease_3_2011,0.012524847,39
qc1_vb004_2011,0.012435457,40
marital_code_2011_2.0,0.01181149,41
functional_difficulty_15_2011,0.011363881,42
current_smoking_2011,0.011361864,43
education_code_2011_7.0,0.011342829,44
diastolic_bp_mean_2011,0.011244592,45
depressed_frequency_2011_2.0,0.011203562,46
alcohol_frequency_code_2011_2.0,0.010753794,47
sad_or_depressed_2011_2.0,0.010607745,48
newhba1c_2011,0.010542721,49
education_code_2011_4.0,0.010412908,50
functional_difficulty_4_2011,0.009417056,51
sad_or_depressed_2011_5.0,0.008967035,52
functional_difficulty_5_2011,0.008962857,53
education_code_2011_5.0,0.008936823,54
chronic_disease_13_2011,0.008470335,55
functional_difficulty_18_2011,0.0077191996,56
education_code_2011_6.0,0.00747699,57
functional_difficulty_19_2011,0.007290126,58
sad_or_depressed_2011_1.0,0.0070403367,59
health_compared_peer_2011_3.0,0.0064662755,60
depressed_frequency_2011_3.0,0.0058945003,61
chronic_disease_8_2011,0.004633284,62
self_rated_health_2011_5.0,0.0012494585,63
self_rated_health_2011_2.0,0.0,64
self_rated_health_2011_4.0,0.0,65
functional_difficulty_3_2011,0.0,66
health_compared_peer_2011_2.0,0.0,67
chronic_disease_14_2011,0.0,68
fi_high_2011,0.0,69
health_compared_peer_2011_5.0,0.0,70
alcohol_frequency_code_2011_0.0,0.0,71
marital_code_2011_6.0,0.0,72
chronic_disease_12_2011,0.0,73
chronic_disease_11_2011,0.0,74
depressed_frequency_2011_1.0,0.0,75
chronic_disease_9_2011,0.0,76
chronic_disease_6_2011,0.0,77
sad_or_depressed_2011_3.0,0.0,78
sad_or_depressed_2011_4.0,0.0,79
self_rated_health_2011_1.0,0.0,80
marital_code_2011_4.0,0.0,81
marital_code_2011_5.0,0.0,82
functional_difficulty_11_2011,0.0,83
bmi_to_fi_2011,0.0,84
bmi_obesity_2011,0.0,85
bmi_overweight_2011,0.0,86
bmi_underweight_2011,0.0,87
functional_difficulty_20_2011,0.0,88
functional_difficulty_16_2011,0.0,89
sex_code_2011_0.0,0.0,90
functional_difficulty_13_2011,0.0,91
functional_difficulty_12_2011,0.0,92
functional_difficulty_10_2011,0.0,93
high_bp_measured_2011,0.0,94
education_code_2011_3.0,0.0,95
functional_difficulty_9_2011,0.0,96
functional_difficulty_8_2011,0.0,97
education_code_2011_8.0,0.0,98
education_code_2011_9.0,0.0,99
education_code_2011_10.0,0.0,100
functional_difficulty_7_2011,0.0,101
functional_difficulty_6_2011,0.0,102
marital_code_2011_3.0,0.0,103
fi_broad_high_2011,0.0,104
