feature,importance,rank
chronic_disease_1_2011,21.44885745270875,1
functional_difficulty_1_2011,14.19329680611441,2
fi_broad_exploratory_2011,11.99126090361053,3
fi_2011,9.548382753708971,4
chronic_disease_5_2011,4.1335007065578155,5
bmi_to_fi_2011,4.108519310651164,6
chronic_disease_2_2011,3.396787790811247,7
newhdl_2011,3.047037757902291,8
pulse_pressure_2011,2.6061403697083794,9
health_compared_peer_2011_1.0,2.4863203310252486,10
systolic_bp_mean_2011,2.065848352478722,11
qc1_vb004_2011,1.9090519961224952,12
newcho_2011,1.6568988329659626,13
diastolic_bp_mean_2011,1.4483603871842259,14
newhba1c_2011,1.421083101352934,15
depressed_frequency_2011_3.0,1.2310679445398798,16
newglu_2011,1.1399483162795094,17
self_rated_health_2011_5.0,1.125300831441152,18
newldl_2011,0.9324337277351014,19
newcrp_2011,0.7844760532175281,20
marital_code_2011_3.0,0.5901873721019627,21
functional_difficulty_12_2011,0.5554383558349663,22
fi_broad_high_2011,0.5307961016103325,23
education_code_2011_7.0,0.5017621728107289,24
functional_difficulty_15_2011,0.4939630751840691,25
self_rated_health_2011_3.0,0.487104600574954,26
health_compared_peer_2011_4.0,0.4803034339009512,27
depressed_frequency_2011_1.0,0.4151185927833543,28
marital_code_2011_2.0,0.3508955408564498,29
alcohol_frequency_code_2011_1.0,0.3264402703515338,30
alcohol_frequency_code_2011_3.0,0.2997279756876823,31
marital_code_2011_1.0,0.2990953026724807,32
sad_or_depressed_2011_5.0,0.2877295121233598,33
functional_difficulty_14_2011,0.2699531488566943,34
education_code_2011_5.0,0.2617695344245179,35
functional_difficulty_3_2011,0.25993316332114613,36
fi_high_2011,0.25881451374728665,37
current_smoking_2011,0.25632399918168386,38
chronic_disease_6_2011,0.2288569308913624,39
functional_difficulty_19_2011,0.22379697947456834,40
education_code_2011_2.0,0.2015321218190177,41
self_rated_health_2011_4.0,0.17416305040645894,42
functional_difficulty_8_2011,0.16529032581600753,43
chronic_disease_13_2011,0.1361256952120125,44
functional_difficulty_13_2011,0.13561535321464496,45
functional_difficulty_10_2011,0.12597491888660087,46
sad_or_depressed_2011_4.0,0.12067971626593484,47
chronic_disease_9_2011,0.09882680346730645,48
sad_or_depressed_2011_2.0,0.09202745400838175,49
sad_or_depressed_2011_1.0,0.08438404968607845,50
chronic_disease_12_2011,0.08304751396406605,51
education_code_2011_8.0,0.08096600399596227,52
self_rated_health_2011_2.0,0.0772273903158217,53
functional_difficulty_6_2011,0.07241710270074404,54
functional_difficulty_20_2011,0.07219375016687213,55
depressed_frequency_2011_4.0,0.05818712420537396,56
functional_difficulty_5_2011,0.047030915352724474,57
functional_difficulty_18_2011,0.03469796870025839,58
functional_difficulty_16_2011,0.027867717022633787,59
alcohol_frequency_code_2011_2.0,0.02784973594584856,60
marital_code_2011_5.0,0.013373159938876255,61
education_code_2011_1.0,0.011958277277773917,62
education_code_2011_10.0,0.005979549124184437,63
alcohol_frequency_code_2011_0.0,0.0,64
chronic_disease_8_2011,0.0,65
high_bp_measured_2011,0.0,66
chronic_disease_4_2011,0.0,67
education_code_2011_6.0,0.0,68
depressed_frequency_2011_2.0,0.0,69
chronic_disease_3_2011,0.0,70
functional_difficulty_11_2011,0.0,71
functional_difficulty_17_2011,0.0,72
sad_or_depressed_2011_3.0,0.0,73
health_compared_peer_2011_5.0,0.0,74
health_compared_peer_2011_2.0,0.0,75
health_compared_peer_2011_3.0,0.0,76
education_code_2011_4.0,0.0,77
chronic_disease_10_2011,0.0,78
chronic_disease_11_2011,0.0,79
functional_difficulty_9_2011,0.0,80
functional_difficulty_7_2011,0.0,81
self_rated_health_2011_1.0,0.0,82
marital_code_2011_6.0,0.0,83
marital_code_2011_4.0,0.0,84
functional_difficulty_4_2011,0.0,85
functional_difficulty_2_2011,0.0,86
education_code_2011_9.0,0.0,87
education_code_2011_3.0,0.0,88
chronic_disease_14_2011,0.0,89
