feature,importance,rank
marital_code_2011_3.0,0.8655048183817672,1
sad_or_depressed_2011_5.0,0.7087285381445606,2
systolic_bp_mean_2011,0.595947477819241,3
health_compared_peer_2011_1.0,0.5266262988865597,4
pulse_pressure_2011,0.3299155316189121,5
education_code_2011_7.0,0.3099471751866743,6
marital_code_2011_4.0,0.30922308504554147,7
sad_or_depressed_2011_3.0,0.3087205455576082,8
chronic_disease_1_2011,0.3051810559350889,9
self_rated_health_2011_1.0,0.2983686347687519,10
diastolic_bp_mean_2011,0.29784154555829045,11
health_compared_peer_2011_5.0,0.26458740473626136,12
sad_or_depressed_2011_1.0,0.26451032487526943,13
health_compared_peer_2011_4.0,0.25895591168965526,14
education_code_2011_10.0,0.2571441243511096,15
self_rated_health_2011_3.0,0.23346144475089975,16
marital_code_2011_5.0,0.22129980673569458,17
alcohol_frequency_code_2011_0.0,0.219759816712456,18
self_rated_health_2011_2.0,0.21493884390250673,19
marital_code_2011_1.0,0.20755275655162259,20
chronic_disease_5_2011,0.20422327768055365,21
self_rated_health_2011_5.0,0.20192001068280868,22
functional_difficulty_1_2011,0.18031325840632212,23
fi_broad_exploratory_2011,0.17230842819334474,24
depressed_frequency_2011_3.0,0.15530265656710163,25
bmi_to_fi_2011,0.15098835071891,26
fi_2011,0.14882917475772298,27
functional_difficulty_12_2011,0.1235771609201249,28
alcohol_frequency_code_2011_2.0,0.12339990024731978,29
fi_high_2011,0.11844825788285464,30
chronic_disease_10_2011,0.11336843316654673,31
education_code_2011_9.0,0.10467379457902806,32
chronic_disease_2_2011,0.10442244428554619,33
marital_code_2011_2.0,0.0987677126503583,34
current_smoking_2011,0.09850690712441382,35
education_code_2011_6.0,0.0933215084547408,36
newhba1c_2011,0.08855609665794399,37
functional_difficulty_2_2011,0.08516844664161913,38
newcho_2011,0.08444565352800569,39
sad_or_depressed_2011_2.0,0.08047272513814345,40
newldl_2011,0.07977654676375266,41
depressed_frequency_2011_1.0,0.07227515402129123,42
chronic_disease_8_2011,0.07020633449555799,43
functional_difficulty_14_2011,0.06865182612693915,44
chronic_disease_9_2011,0.06121545259419488,45
newcrp_2011,0.05939540025071905,46
health_compared_peer_2011_3.0,0.057636695466209385,47
alcohol_frequency_code_2011_3.0,0.056395458637182906,48
functional_difficulty_7_2011,0.05603440903836738,49
sad_or_depressed_2011_4.0,0.05565564944270244,50
health_compared_peer_2011_2.0,0.05518441987474319,51
self_rated_health_2011_4.0,0.052519063667302295,52
chronic_disease_3_2011,0.051624605291136716,53
depressed_frequency_2011_2.0,0.049864158448273715,54
chronic_disease_11_2011,0.04930454029651269,55
functional_difficulty_19_2011,0.04167291982871022,56
alcohol_frequency_code_2011_1.0,0.0405951646971305,57
chronic_disease_12_2011,0.03947182166330311,58
newglu_2011,0.03926726814167144,59
qc1_vb004_2011,0.036339373252191706,60
depressed_frequency_2011_4.0,0.03379405096672162,61
chronic_disease_13_2011,0.03359694573443297,62
chronic_disease_6_2011,0.03304325034888726,63
functional_difficulty_8_2011,0.0323827780204346,64
education_code_2011_1.0,0.03154694940780307,65
education_code_2011_8.0,0.03148637669224117,66
education_code_2011_5.0,0.03061153559914275,67
functional_difficulty_18_2011,0.030372322988786497,68
functional_difficulty_17_2011,0.02862302271666423,69
functional_difficulty_3_2011,0.028359004741619284,70
marital_code_2011_6.0,0.028030750529389577,71
chronic_disease_14_2011,0.02781585504560705,72
functional_difficulty_11_2011,0.02749591491271927,73
functional_difficulty_4_2011,0.024230846956539237,74
functional_difficulty_9_2011,0.021732216845629808,75
functional_difficulty_20_2011,0.019756132550505547,76
education_code_2011_2.0,0.019402613596863304,77
functional_difficulty_5_2011,0.018234373823800776,78
functional_difficulty_13_2011,0.018147141622315056,79
high_bp_measured_2011,0.016910709093002657,80
functional_difficulty_16_2011,0.015500880187272666,81
education_code_2011_4.0,0.008911436518872006,82
functional_difficulty_6_2011,0.006770230917235997,83
functional_difficulty_10_2011,0.005394654466962731,84
functional_difficulty_15_2011,0.0046776847693236305,85
chronic_disease_4_2011,0.004519961072437701,86
newhdl_2011,0.0031928486222482,87
education_code_2011_3.0,0.0008314959984570917,88
fi_broad_high_2011,0.0005670254808756705,89
