feature,importance,rank
age_2011,7.960173130514614,1
chronic_disease_1_2011,5.849297292879755,2
fi_broad_age_interaction_2011,5.614410130386082,3
bmi_2011,4.4935255478361675,4
fi_age_interaction_2011,3.681854726605126,5
newcho_2011,3.6194563911173723,6
functional_difficulty_1_2011,3.6023230089766844,7
waist_height_ratio_2011,3.516396624388402,8
fi_broad_exploratory_2011,3.503764329483057,9
newglu_2011,3.24169405281027,10
fi_2011,3.1180375875531707,11
pulse_pressure_2011,2.8720221763543963,12
waist_cm_2011,2.629151079964155,13
newhdl_2011,2.613812787817297,14
chronic_disease_5_2011,2.388778888907869,15
weight_kg_2011,2.3523555464817156,16
newcrp_2011,2.351076208801684,17
sex_code_2011_1.0,2.2971315260567478,18
systolic_bp_mean_2011,2.113845984004795,19
sex_code_2011_2.0,1.9596007609724635,20
diastolic_bp_mean_2011,1.77320662462143,21
chronic_disease_13_2011,1.6889051269642286,22
newhba1c_2011,1.684016108977139,23
chronic_disease_2_2011,1.557927630902201,24
newldl_2011,1.446334712089458,25
health_compared_peer_2011_1.0,1.3822672105469498,26
height_cm_2011,1.3804216294146587,27
qc1_vb004_2011,1.3300750472462823,28
bmi_to_fi_2011,1.0774086934960605,29
depressed_frequency_2011_3.0,1.0299797332514629,30
self_rated_health_2011_5.0,0.9845784795367527,31
health_compared_peer_2011_4.0,0.90709968447293,32
functional_difficulty_12_2011,0.8943566578843447,33
functional_difficulty_7_2011,0.6318029895787719,34
marital_code_2011_3.0,0.5821640194871386,35
alcohol_frequency_code_2011_1.0,0.5386433196797962,36
central_obesity_2011,0.5139970707651154,37
functional_difficulty_17_2011,0.50657887237969,38
functional_difficulty_8_2011,0.46449523031224893,39
health_compared_peer_2011_2.0,0.44136328052934165,40
education_code_2011_7.0,0.41540311108546635,41
functional_difficulty_2_2011,0.41432836682900265,42
sad_or_depressed_2011_4.0,0.39690252916592345,43
depressed_frequency_2011_2.0,0.3966181754757418,44
self_rated_health_2011_3.0,0.3927149731526086,45
chronic_disease_10_2011,0.3608702462094503,46
functional_difficulty_5_2011,0.32622813348718993,47
sad_or_depressed_2011_1.0,0.30722710339383646,48
functional_difficulty_19_2011,0.2884632163789037,49
marital_code_2011_5.0,0.2784506983173779,50
fi_broad_high_2011,0.27449729742269335,51
functional_difficulty_11_2011,0.2589973770264075,52
education_code_2011_5.0,0.24779116290426229,53
self_rated_health_2011_2.0,0.23532741620959077,54
chronic_disease_9_2011,0.21987581456457597,55
chronic_disease_3_2011,0.21770876622397173,56
sad_or_depressed_2011_5.0,0.2107119429175696,57
functional_difficulty_18_2011,0.20877407915777438,58
self_rated_health_2011_4.0,0.2062581858844153,59
marital_code_2011_1.0,0.201909768860025,60
alcohol_frequency_code_2011_3.0,0.19737900889547239,61
sad_or_depressed_2011_2.0,0.19657438918306616,62
functional_difficulty_20_2011,0.19302000915206807,63
functional_difficulty_3_2011,0.1919931140476926,64
marital_code_2011_2.0,0.1747651666718495,65
functional_difficulty_6_2011,0.1717551251228312,66
depressed_frequency_2011_4.0,0.16457398804739962,67
alcohol_frequency_code_2011_2.0,0.14365347758997127,68
depressed_frequency_2011_1.0,0.14349098432367716,69
high_bp_measured_2011,0.1359945692031218,70
education_code_2011_2.0,0.1355453305432053,71
chronic_disease_8_2011,0.13155435391819803,72
health_compared_peer_2011_5.0,0.12155773841337382,73
bmi_underweight_2011,0.10790328926433133,74
marital_code_2011_6.0,0.10244791276860901,75
sad_or_depressed_2011_3.0,0.10132855917212032,76
marital_code_2011_4.0,0.09273069796775696,77
functional_difficulty_16_2011,0.08661743722951712,78
education_code_2011_1.0,0.0848564944534355,79
chronic_disease_11_2011,0.08041758362627445,80
health_compared_peer_2011_3.0,0.07983058659316764,81
functional_difficulty_13_2011,0.07604228852507472,82
education_code_2011_6.0,0.0703810923963091,83
education_code_2011_9.0,0.07035822172112187,84
bmi_obesity_2011,0.06675178139264766,85
functional_difficulty_14_2011,0.0584524985893055,86
chronic_disease_14_2011,0.057645586638763506,87
self_rated_health_2011_1.0,0.05166711213414743,88
functional_difficulty_4_2011,0.043054711513092564,89
fi_high_2011,0.04144075496375751,90
education_code_2011_8.0,0.036789733216198064,91
chronic_disease_4_2011,0.03644238072464483,92
chronic_disease_6_2011,0.030282702785765604,93
functional_difficulty_9_2011,0.02798862724755099,94
functional_difficulty_15_2011,0.020221834702904715,95
alcohol_frequency_code_2011_0.0,0.017896051645919887,96
chronic_disease_12_2011,0.0030726858605342293,97
education_code_2011_10.0,0.00013385104048041857,98
functional_difficulty_10_2011,0.0,99
education_code_2011_4.0,0.0,100
education_code_2011_3.0,0.0,101
bmi_overweight_2011,0.0,102
current_smoking_2011,0.0,103
