,fi_age_interaction_2011,fi_2011,fi_broad_exploratory_2011,fi_broad_age_interaction_2011,fi_high_2011,chronic_disease_1_2011,functional_difficulty_1_2011,fi_broad_high_2011,chronic_disease_5_2011,self_rated_health_2011,health_compared_peer_2011,age_2011,functional_difficulty_6_2011,functional_difficulty_5_2011,functional_difficulty_19_2011,functional_difficulty_17_2011,bmi_to_fi_2011,functional_difficulty_8_2011,functional_difficulty_16_2011,chronic_disease_14_2011
fi_age_interaction_2011,1.0,0.9719522370060532,0.5698819290238687,0.5613411309863494,0.7090594874527225,0.4623407746768754,0.277774957226438,0.43454563874984015,0.42048403913043697,0.3364986630223144,0.3307619019173376,0.29832652652417696,0.28609850588955066,0.31393850823242314,0.15871477864803832,0.19134228364786673,0.38427214140243515,0.19853172759514887,0.18549305154587023,0.3200022954643724
fi_2011,0.9719522370060532,1.0,0.5380106647199818,0.48908703029068434,0.7151757410687469,0.45665403931066945,0.24624870300327717,0.40017781375468153,0.40487839958909133,0.33570739640045855,0.32661337293758036,0.12950998067311004,0.2620498643583764,0.2912529516642043,0.1242219758956599,0.14739111250927744,0.4084006167655062,0.14989898739668112,0.14431875292439272,0.30089615333796116
fi_broad_exploratory_2011,0.5698819290238687,0.5380106647199818,1.0,0.9724928077436731,0.3825677312145196,0.2552684277952909,0.5266440224254575,0.8034329832819807,0.22699837014680502,0.5446688501464371,0.5552377525977943,0.32321144570883686,0.6269315846357914,0.6233934234585732,0.5136270632027584,0.6170882190466311,0.07311705841440447,0.5788990929991852,0.6353631861754585,0.17293286547582312
fi_broad_age_interaction_2011,0.5613411309863494,0.48908703029068434,0.9724928077436731,1.0,0.3533378110261109,0.25262547263149576,0.5096862612304203,0.7863501369311088,0.22339182354513376,0.49780006119494036,0.5174939984941944,0.47219347857307115,0.602478790806118,0.5978842443715535,0.5221198595033256,0.6346385521581919,0.06270129502702261,0.6013601820033122,0.649137707359371,0.1736599359768083
fi_high_2011,0.7090594874527225,0.7151757410687469,0.3825677312145196,0.3533378110261109,1.0,0.2968956406315698,0.16050434792471974,0.33798015716336643,0.3596493842202806,0.2145492830762263,0.22104723280693542,0.09889368492457759,0.1809154632608037,0.1973721651801781,0.0836453707792449,0.11433281265412847,0.24172991463012833,0.1068398312759178,0.11336799064084557,0.2953873886498111
chronic_disease_1_2011,0.4623407746768754,0.45665403931066945,0.2552684277952909,0.25262547263149576,0.2968956406315698,1.0,0.12002703966587515,0.16683867411728262,0.017613274298673688,0.13816977788988297,0.14260036586563243,0.15202648699938665,0.09778892121416914,0.12381578553209598,0.06922200982360609,0.09401126113915774,0.14694204335157565,0.08624616425965592,0.09273433627657549,0.010348655333276276
functional_difficulty_1_2011,0.277774957226438,0.24624870300327717,0.5266440224254575,0.5096862612304203,0.16050434792471974,0.12002703966587515,1.0,0.39111718878077395,0.11218131062800978,0.3452525439042528,0.35172442771587537,0.2853946526956722,0.35629626758226135,0.4510315699099601,0.2144540248262477,0.22782859967746275,0.07747140305711639,0.28052205414753856,0.242225968848523,0.09239653072358614
fi_broad_high_2011,0.43454563874984015,0.40017781375468153,0.8034329832819807,0.7863501369311088,0.33798015716336643,0.16683867411728262,0.39111718878077395,1.0,0.18282307809658913,0.3578387891847871,0.41509770347047353,0.25959922247470696,0.531680079240037,0.5021466020136485,0.4391240912291942,0.5415564141884803,0.0525774716538975,0.5081059573367271,0.5686957419208049,0.14103052945716818
chronic_disease_5_2011,0.42048403913043697,0.40487839958909133,0.22699837014680502,0.22339182354513376,0.3596493842202806,0.017613274298673688,0.11218131062800978,0.18282307809658913,1.0,0.13781151466745148,0.15636022185127202,0.11924346256171961,0.09060949932545721,0.13042472763111357,0.04345979400971213,0.07649075334413466,0.011303376818805475,0.08120013097819125,0.07562671282742207,0.32801778973152046
self_rated_health_2011,0.3364986630223144,0.33570739640045855,0.5446688501464371,0.49780006119494036,0.2145492830762263,0.13816977788988297,0.3452525439042528,0.3578387891847871,0.13781151466745148,1.0,,0.13109975169380406,0.30366392399633335,0.334869162325115,0.193717561766047,0.20454629973472685,0.019890313773522874,0.22659081937274955,0.2228169260594778,0.1016040112984586
