,fi_age_interaction_2011,fi_2011,chronic_disease_1_2011,fi_broad_exploratory_2011,fi_broad_age_interaction_2011,functional_difficulty_1_2011,health_compared_peer_2011,fi_broad_high_2011,functional_difficulty_5_2011,fi_high_2011,self_rated_health_2011,waist_height_ratio_2011,functional_difficulty_6_2011,central_obesity_2011,age_2011,waist_cm_2011,chronic_disease_2_2011,bmi_to_fi_2011,chronic_disease_3_2011,chronic_disease_5_2011
fi_age_interaction_2011,1.0,0.9718145706343292,0.4613552415596419,0.5727249991292789,0.5647084407186892,0.27735906073877387,0.3335269512082668,0.43561495898970287,0.31651370262961215,0.7075943384281723,0.33529582705365146,0.21650641965484002,0.28499471490825695,0.1819860070140651,0.3016793820171113,0.16568577725085148,0.15196126505092342,0.3860526842531245,0.27141309413526915,0.4176805944226734
fi_2011,0.9718145706343292,1.0,0.4553615245400586,0.5408671098906291,0.4922187337492662,0.24553964145673615,0.3291957467747802,0.40053402613745365,0.2930306901494302,0.7132915007309188,0.3347062839482079,0.22298617600236098,0.2603305358895599,0.20654905214843028,0.13302835705946012,0.18970292734563018,0.16356365353044958,0.40945591520528263,0.2797189802076557,0.4032076149330918
chronic_disease_1_2011,0.4613552415596419,0.4553615245400586,1.0,0.25621774198168334,0.253986771941233,0.12216246850733611,0.14097650917848428,0.16736303306401001,0.12335218919055858,0.2967682658864831,0.1381925312162862,0.23744607189748626,0.09303567457615193,0.19979701618883258,0.1546363592940229,0.2428706875859232,0.21935650577933716,0.1495668239712268,0.15395779273876523,0.015604988164577628
fi_broad_exploratory_2011,0.5727249991292789,0.5408671098906291,0.25621774198168334,1.0,0.9723707311704303,0.5273608798203495,0.5561068028477008,0.8022118194239618,0.6251732836442141,0.38349234686056277,0.5448017862462062,0.12739446848525424,0.6254385460573343,0.06357073084563279,0.3243241550810337,0.02819533627730506,0.14440366282395828,0.07372490052957718,0.15401015741912558,0.2266981431219601
fi_broad_age_interaction_2011,0.5647084407186892,0.4922187337492662,0.253986771941233,0.9723707311704303,1.0,0.5102558924293041,0.5180378039668059,0.7858703045030312,0.5998019721626365,0.35450486502832146,0.4974379972747523,0.13049605344443213,0.6010797452811345,0.05261502102344903,0.47350508311929435,0.020050998918180612,0.12206027771869353,0.06430338633871505,0.1389041014205817,0.22287493826964608
functional_difficulty_1_2011,0.27735906073877387,0.24553964145673615,0.12216246850733611,0.5273608798203495,0.5102558924293041,1.0,0.3519252895637659,0.3909109724689171,0.45447576712088156,0.15978152722659328,0.3466094719225224,0.13389897264038877,0.3564096119076213,0.0743593053680948,0.28616511960012647,0.03888121697241126,0.04516789345481636,0.07825046102752807,0.06843257552630934,0.10900016095888444
health_compared_peer_2011,0.3335269512082668,0.3291957467747802,0.14097650917848428,0.5561068028477008,0.5180378039668059,0.3519252895637659,1.0,0.4140237020904898,0.33651886249262286,0.22146918635207716,,0.016024616947004883,0.30701608434468547,0.0005654450493109201,0.13755722920032235,-0.04878894722260767,0.07717973220513517,0.028621669067921837,0.1104496655120459,0.15777259545390768
fi_broad_high_2011,0.43561495898970287,0.40053402613745365,0.16736303306401001,0.8022118194239618,0.7858703045030312,0.3909109724689171,0.4140237020904898,1.0,0.5036984843455126,0.3392561055049078,0.3558042406154385,0.100384563842937,0.530379010301195,0.0507891924970083,0.261352349776494,0.02354312127890807,0.09672124372502484,0.051331697738989074,0.11523440354682522,0.18357367800776309
functional_difficulty_5_2011,0.31651370262961215,0.2930306901494302,0.12335218919055858,0.6251732836442141,0.5998019721626365,0.45447576712088156,0.33651886249262286,0.5036984843455126,1.0,0.19839681031565565,0.33822961176212374,0.15116075011890254,0.46993182809982315,0.09148669393351437,0.238913244921787,0.06792274068175325,0.04740693557556103,0.07870095844861826,0.08210495744655674,0.1288145025293774
fi_high_2011,0.7075943384281723,0.7132915007309188,0.2967682658864831,0.38349234686056277,0.35450486502832146,0.15978152722659328,0.22146918635207716,0.3392561055049078,0.19839681031565565,1.0,0.21450065692231912,0.11213816616984139,0.17802933317798098,0.0880220753034078,0.10106670518507842,0.08813646984620267,0.12735183682667908,0.2429229715017023,0.23417656336861611,0.3570231081502175
