,fi_age_interaction_2011,fi_2011,chronic_disease_1_2011,health_compared_peer_2011,waist_height_ratio_2011,fi_broad_exploratory_2011,functional_difficulty_1_2011,waist_cm_2011,central_obesity_2011,fi_broad_age_interaction_2011,bmi_2011,fi_high_2011,chronic_disease_2_2011,self_rated_health_2011,functional_difficulty_5_2011,fi_broad_high_2011,bmi_obesity_2011,functional_difficulty_6_2011,systolic_bp_mean_2011,chronic_disease_5_2011
fi_age_interaction_2011,1.0,0.9718931688622651,0.461586875298568,0.33490437141308504,0.21612057547452185,0.5743266432365489,0.27883003138023676,0.16477483685714198,0.1825542087692406,0.566189547677069,0.13922718202356885,0.7071428496793806,0.15173132595671565,0.33569621931757304,0.3165637187602204,0.4363477787769457,0.21930621258742067,0.2858324061538573,0.18753557678420815,0.4167846452939148
fi_2011,0.9718931688622651,1.0,0.4552378411682402,0.32969285498075973,0.22208272162071535,0.5422972860277955,0.24694391387780446,0.18823616467491402,0.20682185491048666,0.4936202146790556,0.19608022886568086,0.7129379162853251,0.16307541665039452,0.33509270236469085,0.2930003905296006,0.4011863113000098,0.2590532467203097,0.2611553649466083,0.1494563682443428,0.40260305874924973
chronic_disease_1_2011,0.461586875298568,0.4552378411682402,1.0,0.14173230753559468,0.23694221835966445,0.2563415481266015,0.1227228071606145,0.2417212303862085,0.19994938120572103,0.2544666504910692,0.21673471417608886,0.29626889043643073,0.21859925392136867,0.13778760878654478,0.1233433832344289,0.1673154960502804,0.1746543430711961,0.09271919999251284,0.3607999575923512,0.014873927503747018
health_compared_peer_2011,0.33490437141308504,0.32969285498075973,0.14173230753559468,1.0,0.016264188429705104,0.5569678223453103,0.3521648566486308,-0.04932587959496161,-0.00020899182700628323,0.5192292619867284,-0.07302926269138318,0.2217731748746773,0.07660022437925905,,0.33688219822414417,0.4150789608445505,-0.017733619719604916,0.3081069081033079,0.02255747970776314,0.157207831374887
waist_height_ratio_2011,0.21612057547452185,0.22208272162071535,0.23694221835966445,0.016264188429705104,1.0,0.1272501101253199,0.1357813984402859,0.892287331767542,0.7585720910492024,0.13067512564985284,0.7392888607504405,0.11114370826737126,0.13982655548346018,0.013420043504358518,0.1509410627777993,0.09949513070331426,0.4992360713578655,0.11665195584400265,0.23252221671698897,-0.02849416679706222
fi_broad_exploratory_2011,0.5743266432365489,0.5422972860277955,0.2563415481266015,0.5569678223453103,0.1272501101253199,1.0,0.5279162228460386,0.027687793433471174,0.06423858005375654,0.9723870764912202,-0.025147805294254897,0.3842635579313491,0.1439676091305425,0.545556595261795,0.6245740716353049,0.8018289199445768,0.029133377393596265,0.6250632703628006,0.10838871061262487,0.22703282592056
functional_difficulty_1_2011,0.27883003138023676,0.24694391387780446,0.1227228071606145,0.3521648566486308,0.1357813984402859,0.5279162228460386,1.0,0.04021393238233907,0.07592517753108481,0.5107724875047153,-0.008211446861151363,0.16035765688209627,0.044401702505905874,0.3487438700606472,0.454697126146408,0.39031536057046995,0.038138581199559284,0.35644411960940064,0.09129197472672468,0.10941041160751139
waist_cm_2011,0.16477483685714198,0.18823616467491402,0.2417212303862085,-0.04932587959496161,0.892287331767542,0.027687793433471174,0.04021393238233907,1.0,0.782759173081478,0.019954964573268296,0.7734205235942525,0.0870384709186215,0.16880421545196356,-0.05765609422150784,0.06769106695836821,0.023005186802006458,0.5122685760697726,0.058552717259491044,0.21144449783764424,-0.04088972864327025
central_obesity_2011,0.1825542087692406,0.20682185491048666,0.19994938120572103,-0.00020899182700628323,0.7585720910492024,0.06423858005375654,0.07592517753108481,0.782759173081478,1.0,0.05348682487732344,0.6335744088390348,0.08796716887470456,0.13705958223569478,-0.01975154673332754,0.0916624271395077,0.050714873300727034,0.38865491590696905,0.07630313071717171,0.18053737605182874,-0.041221445142330115
fi_broad_age_interaction_2011,0.566189547677069,0.4936202146790556,0.2544666504910692,0.5192292619867284,0.13067512564985284,0.9723870764912202,0.5107724875047153,0.019954964573268296,0.05348682487732344,1.0,-0.061815474665007114,0.3550467065041269,0.12177133955137273,0.49813985107770936,0.5991231301256189,0.7855092781861878,0.00748826361733643,0.6007192956580598,0.15108658994193697,0.22299201576920902
