,fi_age_interaction_2011,fi_2011,chronic_disease_1_2011,health_compared_peer_2011,functional_difficulty_1_2011,fi_broad_exploratory_2011,waist_height_ratio_2011,fi_broad_age_interaction_2011,waist_cm_2011,central_obesity_2011,self_rated_health_2011,fi_high_2011,chronic_disease_2_2011,bmi_2011,functional_difficulty_5_2011,fi_broad_high_2011,systolic_bp_mean_2011,chronic_disease_5_2011,bmi_obesity_2011,functional_difficulty_6_2011
fi_age_interaction_2011,1.0,0.9719526008661998,0.4621903160246042,0.3353492563484432,0.27982617747923516,0.575048854018322,0.21724424851475735,0.5670244433683964,0.1653942131243424,0.18327751245734009,0.3366089188107365,0.7070818194474358,0.15191358437606745,0.13966268524840367,0.3170768022685035,0.4368546834446035,0.1874761327058998,0.4162087641752053,0.2193491203956207,0.2868682432400419
fi_2011,0.9719526008661998,1.0,0.45597991836743645,0.3302754944987326,0.24828881842385672,0.5431700879601711,0.22329467234512954,0.49468182447915654,0.18886585579249734,0.20756980173251982,0.3361248906045054,0.7126286530414279,0.16290765628918633,0.19624663599425496,0.2933886385847252,0.40172345603038856,0.1494141958357885,0.4017574259403922,0.2589804911293358,0.26219467012216247
chronic_disease_1_2011,0.4621903160246042,0.45597991836743645,1.0,0.14263899276053704,0.12378103724774808,0.25762436915359005,0.23750503983153795,0.255606584613566,0.2419368000353647,0.2005065141266436,0.13807704610067675,0.29723081252138556,0.2172507819075985,0.21760460589974165,0.12311920668687741,0.16825067620878323,0.36021432882172033,0.014335303565866386,0.17437634468333651,0.09438725826514531
health_compared_peer_2011,0.3353492563484432,0.3302754944987326,0.14263899276053704,1.0,0.3534535464369552,0.5571235859913365,0.016804734927106275,0.5193570549876725,-0.04863345311728533,0.0005537542557966985,,0.22190123354842134,0.07586103681035089,-0.07201178061823654,0.3351724966767606,0.41494865760223576,0.023280813061909163,0.15616116903446522,-0.01701775652256563,0.30900631672312867
functional_difficulty_1_2011,0.27982617747923516,0.24828881842385672,0.12378103724774808,0.3534535464369552,1.0,0.5292044693823853,0.13581519544086335,0.5118526252074359,0.04037197777747574,0.07578694765089561,0.3493477280626188,0.1613944359011854,0.04431039304025177,-0.008333422882494616,0.45443607743943104,0.39080807240423115,0.09132964955805098,0.10962488531829175,0.037794345560940745,0.3579154030257637
fi_broad_exploratory_2011,0.575048854018322,0.5431700879601711,0.25762436915359005,0.5571235859913365,0.5292044693823853,1.0,0.12827041794497285,0.9724474332716077,0.028449424477012986,0.06484281965794811,0.5450179818975454,0.38483185004684833,0.1433081087599662,-0.02394237247785046,0.6241480856674694,0.8015553957270375,0.10891498886922583,0.22694758886353647,0.029299711033370025,0.6250711549251142
waist_height_ratio_2011,0.21724424851475735,0.22329467234512954,0.23750503983153795,0.016804734927106275,0.13581519544086335,0.12827041794497285,1.0,0.13168945356046732,0.892271530006735,0.7587283962294407,0.014534325508329726,0.11156860106342958,0.1397086202799381,0.7391436434336537,0.15164728531885693,0.10034563063590318,0.23103726082069176,-0.028759430617111472,0.4990147449750797,0.11674679009033574
fi_broad_age_interaction_2011,0.5670244433683964,0.49468182447915654,0.255606584613566,0.5193570549876725,0.5118526252074359,0.9724474332716077,0.13168945356046732,1.0,0.020812735215534547,0.05414621354383319,0.4977628621244264,0.3558255752929345,0.12141071967151504,-0.06032330280631595,0.5989605812477828,0.7854635920492631,0.15152677368583162,0.22309195477492,0.007814634263583404,0.6008154826966526
waist_cm_2011,0.1653942131243424,0.18886585579249734,0.2419368000353647,-0.04863345311728533,0.04037197777747574,0.028449424477012986,0.892271530006735,0.020812735215534547,1.0,0.7827484699888851,-0.05684887829229342,0.08693574939996727,0.1687076141471261,0.7730057817935679,0.0681444899358151,0.023700703165403406,0.20998297511391673,-0.04094208185647921,0.5118394495115629,0.0591638764647688
central_obesity_2011,0.18327751245734009,0.20756980173251982,0.2005065141266436,0.0005537542557966985,0.07578694765089561,0.06484281965794811,0.7587283962294407,0.05414621354383319,0.7827484699888851,1.0,-0.018641509805896038,0.08799066832946478,0.13717002079700089,0.6333084542213077,0.09179297152556455,0.05130339018130899,0.17919072420289836,-0.04156244725771274,0.3883266570485576,0.07629643696953864
self_rated_health_2011,0.3366089188107365,0.3361248906045054,0.13807704610067675,,0.3493477280626188,0.5450179818975454,0.014534325508329726,0.4977628621244264,-0.05684887829229342,-0.018641509805896038,1.0,0.21631430989607292,0.08997882048616311,-0.06549229606155693,0.3373091698039923,0.3550456905471098,0.04560828004309618,0.13561376648737014,-0.007916063206887258,0.3037512428133394
fi_high_2011,0.7070818194474358,0.7126286530414279,0.29723081252138556,0.22190123354842134,0.1613944359011854,0.38483185004684833,0.11156860106342958,0.3558255752929345,0.08693574939996727,0.08799066832946478,0.21631430989607292,1.0,0.1262830350509312,0.08874759013764082,0.19822640248751022,0.341336780946341,0.10144703306091396,0.3556595945449519,0.2055146362431296,0.17893534376466105
chronic_disease_2_2011,0.15191358437606745,0.16290765628918633,0.2172507819075985,0.07586103681035089,0.04431039304025177,0.1433081087599662,0.1397086202799381,0.12141071967151504,0.1687076141471261,0.13717002079700089,0.08997882048616311,0.1262830350509312,1.0,0.16909534038136295,0.04675305525210194,0.09530987321900163,0.056199999280147954,-0.005315446754425198,0.138750386140779,0.037217683991183505
bmi_2011,0.13966268524840367,0.19624663599425496,0.21760460589974165,-0.07201178061823654,-0.008333422882494616,-0.02394237247785046,0.7391436434336537,-0.06032330280631595,0.7730057817935679,0.6333084542213077,-0.06549229606155693,0.08874759013764082,0.16909534038136295,1.0,0.03243175429513431,-0.02437839638034308,0.1516770406530311,-0.07002909355952648,0.6476746145223321,0.025191544520719287
functional_difficulty_5_2011,0.3170768022685035,0.2933886385847252,0.12311920668687741,0.3351724966767606,0.45443607743943104,0.6241480856674694,0.15164728531885693,0.5989605812477828,0.0681444899358151,0.09179297152556455,0.3373091698039923,0.19822640248751022,0.04675305525210194,0.03243175429513431,1.0,0.5024952801079758,0.05509601419337282,0.128749455567085,0.057448317109901545,0.46827279541749384
fi_broad_high_2011,0.4368546834446035,0.40172345603038856,0.16825067620878323,0.41494865760223576,0.39080807240423115,0.8015553957270375,0.10034563063590318,0.7854635920492631,0.023700703165403406,0.05130339018130899,0.3550456905471098,0.341336780946341,0.09530987321900163,-0.02437839638034308,0.5024952801079758,1.0,0.08200368411677494,0.18297963627938846,0.019193988996863216,0.5294346234266609
systolic_bp_mean_2011,0.1874761327058998,0.1494141958357885,0.36021432882172033,0.023280813061909163,0.09132964955805098,0.10891498886922583,0.23103726082069176,0.15152677368583162,0.20998297511391673,0.17919072420289836,0.04560828004309618,0.10144703306091396,0.056199999280147954,0.1516770406530311,0.05509601419337282,0.08200368411677494,1.0,0.009964530006559775,0.11917949973394772,0.052613574292032526
