target_column,feature_set,model,selected_threshold,f1_threshold,f1_at_f1_threshold,youden_threshold,youden_at_youden_threshold,balanced_threshold,balanced_score,best_params,best_valid_roc_auc
heart_related_event_by_2013,primary,logistic_regression,0.34573055004375547,0.5797121419240084,0.05992509363295881,0.34573055004375547,0.23715434891905485,0.34573055004375547,0.28581996901324636,{'C': 0.03967694542223149},0.6045332662979722
heart_related_event_by_2013,primary,random_forest,0.3897392295866974,0.6449659797095509,0.058823529411764705,0.3897392295866974,0.2702111613876319,0.3897392295866974,0.31866338211441525,"{'n_estimators': 160, 'max_depth': 3, 'min_samples_leaf': 2}",0.6306686777275012
heart_related_event_by_2013,primary,xgboost,0.4288536012172699,0.6562387347221375,0.055096418732782364,0.4288536012172699,0.19826546003016587,0.4288536012172699,0.24235363638287127,"{'n_estimators': 148, 'max_depth': 2, 'learning_rate': 0.02797911365070284, 'subsample': 0.672099077547787, 'colsample_bytree': 0.6677133328811644, 'reg_lambda': 3.124376301798936, 'scale_pos_weight': 84.5983374447099}",0.6074660633484164
heart_related_event_by_2013,primary,lightgbm,0.35378964201767604,0.5503793829720367,0.06711409395973154,0.3207546147169807,0.20827048768225254,0.35378964201767604,0.25889202540578704,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 34.924973781545305}",0.6102103234456177
heart_related_event_by_2013,primary,catboost,0.5116730838092507,0.5179870974866163,0.05750798722044729,0.5116730838092507,0.19635495223730515,0.5116730838092507,0.2536701860231272,"{'iterations': 131, 'depth': 3, 'learning_rate': 0.022713369064581, 'l2_leaf_reg': 1.1235942874800418}",0.6083877995642701
heart_related_event_by_2013,no_body_size_demographic,logistic_regression,0.3762472269021991,0.8995336143500496,0.06666666666666667,0.3762472269021991,0.2465811965811966,0.3762472269021991,0.2962209083506121,{'C': 0.03967694542223149},0.6053293112116641
heart_related_event_by_2013,no_body_size_demographic,random_forest,0.4127897598409157,0.5836889599593565,0.06521739130434782,0.38646563436056386,0.27840623428858713,0.4127897598409157,0.3267395390557154,"{'n_estimators': 160, 'max_depth': 3, 'min_samples_leaf': 2}",0.6491955756661639
heart_related_event_by_2013,no_body_size_demographic,xgboost,0.48035353422164917,0.6938603520393372,0.05577689243027889,0.48035353422164917,0.18780794369029663,0.48035353422164917,0.23294413046072465,"{'n_estimators': 148, 'max_depth': 2, 'learning_rate': 0.02797911365070284, 'subsample': 0.672099077547787, 'colsample_bytree': 0.6677133328811644, 'reg_lambda': 3.124376301798936, 'scale_pos_weight': 84.5983374447099}",0.5855790179319591
heart_related_event_by_2013,no_body_size_demographic,lightgbm,0.39312575116284004,0.4706594368557763,0.07457627118644067,0.39312575116284004,0.21108597285067887,0.39312575116284004,0.2749157600847214,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 34.924973781545305}",0.5901667504608681
heart_related_event_by_2013,no_body_size_demographic,catboost,0.45610297520045145,0.6723825010956636,0.06201550387596899,0.41889715995884924,0.24130216189039722,0.45610297520045145,0.29153213042101933,"{'iterations': 131, 'depth': 3, 'learning_rate': 0.022713369064581, 'l2_leaf_reg': 1.1235942874800418}",0.6174417630299983
heart_related_event_by_2013,literature_fi_minimal,logistic_regression,0.4973054237337829,0.7162712511029284,0.0880503144654088,0.4973054237337829,0.26968325791855197,0.4973054237337829,0.3266452832350077,{'C': 0.03967694542223149},0.6561295458354282
heart_related_event_by_2013,literature_fi_minimal,random_forest,0.41603644872663315,0.7185846021444156,0.08333333333333333,0.41603644872663315,0.3075666163901458,0.41603644872663315,0.3603171815747728,"{'n_estimators': 160, 'max_depth': 3, 'min_samples_leaf': 2}",0.6524007038712922
heart_related_event_by_2013,literature_fi_minimal,xgboost,0.38518279790878296,0.721552848815918,0.078125,0.38518279790878296,0.3121417797888386,0.38518279790878296,0.36737190531185115,"{'n_estimators': 135, 'max_depth': 2, 'learning_rate': 0.05405168976824286, 'subsample': 0.9234300275727488, 'colsample_bytree': 0.8493304284349246, 'reg_lambda': 0.42255958396806576, 'scale_pos_weight': 49.08158414264563}",0.6629378247025305
heart_related_event_by_2013,literature_fi_minimal,lightgbm,0.32052395537630934,0.6073039321473643,0.12173913043478263,0.32052395537630934,0.3276018099547511,0.32052395537630934,0.38479418430483775,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 34.924973781545305}",0.6576629797218032
heart_related_event_by_2013,literature_fi_minimal,catboost,0.4299138701091761,0.7172107103842333,0.10218978102189781,0.4299138701091761,0.27589240824534933,0.4299138701091761,0.32550261377334366,"{'iterations': 131, 'depth': 3, 'learning_rate': 0.022713369064581, 'l2_leaf_reg': 1.1235942874800418}",0.6501927266633148
heart_related_event_by_2013,broad_fi_minimal,logistic_regression,0.5116124231095169,0.6082289141942326,0.06698564593301434,0.5116124231095169,0.2686023127199597,0.5116124231095169,0.328770784440778,{'C': 0.03967694542223149},0.6618736383442266
heart_related_event_by_2013,broad_fi_minimal,random_forest,0.42929284218662245,0.683059294309168,0.07518796992481201,0.42929284218662245,0.2153846153846155,0.42929284218662245,0.26483516483516495,"{'n_estimators': 160, 'max_depth': 3, 'min_samples_leaf': 2}",0.6217990615049439
heart_related_event_by_2013,broad_fi_minimal,xgboost,0.48869118094444275,0.7912374138832092,0.08108108108108109,0.48869118094444275,0.2461035696329814,0.48869118094444275,0.2930834354047935,"{'n_estimators': 148, 'max_depth': 2, 'learning_rate': 0.02797911365070284, 'subsample': 0.672099077547787, 'colsample_bytree': 0.6677133328811644, 'reg_lambda': 3.124376301798936, 'scale_pos_weight': 84.5983374447099}",0.6309870956929781
heart_related_event_by_2013,broad_fi_minimal,lightgbm,0.2781983899605769,0.6314772235042323,0.08823529411764705,0.2781983899605769,0.2178733031674207,0.2781983899605769,0.2635480436518498,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 34.924973781545305}",0.6274886877828054
heart_related_event_by_2013,broad_fi_minimal,catboost,0.41770343633855145,0.7302581306961158,0.09375000000000001,0.41770343633855145,0.2431623931623932,0.41770343633855145,0.291720815013683,"{'iterations': 131, 'depth': 3, 'learning_rate': 0.022713369064581, 'l2_leaf_reg': 1.1235942874800418}",0.6357759343053461
heart_related_event_by_2015,primary,logistic_regression,0.43980088067416667,0.6966479221967348,0.13397129186602869,0.43980088067416667,0.20908943878376185,0.43980088067416667,0.3322104122984362,{'C': 0.05912861141060978},0.6301363954930184
heart_related_event_by_2015,primary,random_forest,0.2810271691437883,0.5159222895300736,0.13528336380255943,0.2810271691437883,0.2011159631246966,0.2810271691437883,0.31300407501280847,"{'n_estimators': 352, 'max_depth': 7, 'min_samples_leaf': 18}",0.6277157798264057
heart_related_event_by_2015,primary,xgboost,0.49931490421295166,0.6527290344238281,0.13227513227513227,0.49931490421295166,0.2096797671033479,0.49931490421295166,0.32803003608123193,"{'n_estimators': 148, 'max_depth': 2, 'learning_rate': 0.02797911365070284, 'subsample': 0.672099077547787, 'colsample_bytree': 0.6677133328811644, 'reg_lambda': 3.124376301798936, 'scale_pos_weight': 29.734006136617175}",0.6353940913256779
